"source_page","a_page_status","b_page_status","a_layout_checked","b_layout_checked","a_expected_observation_count","b_expected_observation_count","a_source_structures","b_source_structures","a_relevant_record_families","b_relevant_record_families","difference_fields"
"1","NO_ELIGIBLE_DATA","ELIGIBLE_DATA_EXTRACTED","NO","YES","0","2","","DOCUMENT | SUBSCRIPTION MATERIALS OF LUBERT-ADLER REAL ESTATE FUND VII, L.P.","","document_context | subscription_reference","page_status|layout_checked|expected_observation_count|source_structures|relevant_record_families"
"2","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","A. Summary Of Privacy Policy And Privacy Notice For Individuals | B. Confidential Purchaser Questionnaire | C. Subscription Agreement | D. Certificates of Specified Entities | E. Capital Contribution | F. Delivery of Documents | Instructions | SUBSCRIPTION MATERIALS OF LUBERT-ADLER REAL ESTATE FUND VII, L.P.","","","layout_checked|source_structures"
"3","NO_ELIGIBLE_DATA","ELIGIBLE_DATA_EXTRACTED","NO","YES","0","1","","F. Delivery of Documents","","subscription_reference","page_status|layout_checked|expected_observation_count|source_structures|relevant_record_families"
"4","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","A. CONFIDENTIAL PURCHASER QUESTIONNAIRE | LUBERT-ADLER REAL ESTATE FUND VII, L.P. (the ""Fund"")","","","layout_checked|source_structures"
"5","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","1. Background Information and General Questions","","","layout_checked|source_structures"
"6","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","1. Background Information and General Questions","","","layout_checked|source_structures"
"7","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","1. Background Information and General Questions","","","layout_checked|source_structures"
"8","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","Correspondence Chart","","","layout_checked|source_structures"
"9","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","1.12. Please complete the following tax information | 1.13. Please complete the following bank account information for cash distributions | 1.14. Are you relying on the knowledge and experience of another person in making an investment in the Interests?","","","layout_checked|source_structures"
"10","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","WIRE INSTRUCTIONS","","","layout_checked|source_structures"
"11","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","2. Additional Questions for Purchasers who are Individuals","","","layout_checked|source_structures"
"12","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","3. Additional Questions for Purchasers that are not Individuals","","","layout_checked|source_structures"
"13","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","3.2. Additional Questions for Purchasers that are not Individuals | 3.3. Additional Questions for Purchasers that are not Individuals","","","layout_checked|source_structures"
"14","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","3.3. In order to acquire Interests in the Fund, the Purchaser must be an accredited investor. | 3.4. For purposes of determining whether the Purchaser will be a Qualified Purchaser","","","layout_checked|source_structures"
"15","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","3.3. In order to acquire Interests in the Fund, the Purchaser must be an accredited investor. | 3.4. For purposes of determining whether the Purchaser will be a Qualified Purchaser","","","layout_checked|source_structures"
"16","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","3.4. For purposes of determining whether the Purchaser will be a Qualified Purchaser | 3.5. (a) | 3.6. (a)","","","layout_checked|source_structures"
"17","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","3.10. Type of entity | 3.6. (b) | 3.7. (a) | 3.7. (b) | 3.8. | 3.9. (a) | 3.9. (b)","","","layout_checked|source_structures"
"18","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","4. Definitions Relating to Qualified Purchaser Information.","","","layout_checked|source_structures"
"19","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","4.2. Valuation. | 4.3. Net Investments. | 4.4. Qualified Institutional Buyers. | 4.5. Joint Investments. | 4.6. Investments of Parents and Subsidiaries. | 4.7. Retirement Plan Investments.","","","layout_checked|source_structures"
"20","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","Consent to Electronic Delivery of Tax Form – Schedule K-1 | IMPORTANT DISCLOSURE INFORMATION","","","layout_checked|source_structures"
"21","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","All Purchasers must complete the following section | IN WITNESS WHEREOF | Name of Purchaser","","","layout_checked|source_structures"
"22","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","ANNEX A-1—ADDITIONAL QUESTIONS FOR PURCHASERS WHO HAVE SELECTED QUESTION 3.3(k) OF THE CONFIDENTIAL PURCHASER QUESTIONNAIRE","","","layout_checked|source_structures"
"23","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","Equity Owner Number | Equity Owners that are Individuals | Equity Owners that are not Individuals","","","layout_checked|source_structures"
"24","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","Equity Owners that are Individuals | Equity Owners that are not Individuals","","","layout_checked|source_structures"
"25","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","Equity Owners that are Individuals | Equity Owners that are not Individuals","","","layout_checked|source_structures"
"26","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","ANNEX A-2—ADDITIONAL QUESTIONS FOR PURCHASERS WHO HAVE SELECTED QUESTION 3.4(e) OF THE CONFIDENTIAL PURCHASER QUESTIONNAIRE","","","layout_checked|source_structures"
"27","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","Beneficial Owner Number | Beneficial Owners that are Individuals | Beneficial Owners that are not Individuals","","","layout_checked|source_structures"
"28","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","Beneficial Owners that are Individuals | Beneficial Owners that are not Individuals","","","layout_checked|source_structures"
"29","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","4","3","B. SUBSCRIPTION AGREEMENT | DOCUMENT","1. Subscription | B. SUBSCRIPTION AGREEMENT","document_context | subscription_reference","subscription_reference","expected_observation_count|source_structures|relevant_record_families"
"30","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","3. Securities Laws","","","layout_checked|source_structures"
"31","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","3. Securities Laws | 4. Binding Obligation | 5. Authority for Entities | 6. General Partner Representations and Warranties","","","layout_checked|source_structures"
"32","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","10. Advice | 6. General Partner Representations and Warranties | 7. Confidential Purchaser Questionnaire | 8. Rejection of Subscription | 9. Risk Factors","","","layout_checked|source_structures"
"33","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","11. Fees | 12. Certain ERISA Matters","","","layout_checked|source_structures"
"34","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","13. Power of Attorney | 14. Copies of Memorandum | 15. Certain Fiduciary Matters | 16. Ownership of General Partner","","","layout_checked|source_structures"
"35","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","16. Ownership of General Partner | 17. Purchaser Representative | 18. Investment Company Act | 19. Publicly Traded Partnership | 20. Indemnification | 21. Successors and Assigns | 22. Adoption of Partnership Agreement","","","layout_checked|source_structures"
"36","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","22. Adoption of Partnership Agreement | 23. Anti-Money Laundering and Tax Information","","","layout_checked|source_structures"
"37","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","23. Anti-Money Laundering and Tax Information | 24. Distribution Proceeds | 25. Conflict","","","layout_checked|source_structures"
"38","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","26. Accuracy of Representations | 27. Amendment | 28 Gender, Etc. | 29. Counterparts and Facsimile | 30. Entire Agreement | 31. Validity | 32. Indulgences, Etc. | 33. Governing Law | 34. Disclosure of Tax Treatment and Tax Structure | 35. Parallel Fund","","","layout_checked|source_structures"
"39","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","35. Parallel Fund | IRS ""Circular 230"" Notice","","","layout_checked|source_structures"
"40","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","CERTIFICATION OF NON-FOREIGN STATUS AND TAXPAYER IDENTIFICATION NUMBER","","","layout_checked|source_structures"
"41","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","3","5","IN WITNESS WHEREOF","IN WITNESS WHEREOF","subscription_reference","subscription_reference","expected_observation_count"
"42","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","DUPLICATE SIGNATURE PAGE FOR SUBSCRIPTION AGREEMENT","","","layout_checked|source_structures"
"43","NO_ELIGIBLE_DATA","ELIGIBLE_DATA_EXTRACTED","NO","YES","0","5","","IN WITNESS WHEREOF","","subscription_reference","page_status|layout_checked|expected_observation_count|source_structures|relevant_record_families"
