source_holding_id,source_document_id,source_page,holding_label,subject_type,refusal_code,refusal_reason,owner_id,source_observation_ids
15f5f5cf79fade7daeec,SRC373,7,Total. Add lines 1 through 3,other_printed_scope,NON_INVESTEE_AGGREGATE,The printed row does not identify one investee position.,OWNER_PACKARD_FOUNDATION,9e1589517493fb7b0cc3
1ecb5200a0e0d2b3686e,SRC373,7,3 (SEE STATEMENT),other_printed_scope,NON_INVESTEE_AGGREGATE,The printed row does not identify one investee position.,OWNER_PACKARD_FOUNDATION,b0a9b93fb954f434d0ff
21a40de232553549822e,SRC407,7,Total Investments,portfolio,NON_INVESTEE_AGGREGATE,A portfolio row is an aggregate and not one investee position.,OWNER_POMONA_INVESTMENT_FUND,4e7c5738bf6c34496d08;c0501df7badb321685ad;dba8b3f81adbe5b31fbf
22618a260f8825b491e9,SRC407,7,Total Short-Term Investments,portfolio,NON_INVESTEE_AGGREGATE,A portfolio row is an aggregate and not one investee position.,OWNER_POMONA_INVESTMENT_FUND,9759262718c655d56fee;d9e79964fd352196f088
227cd2b331dcb59da7d1,SRC407,11,Total,portfolio,NON_INVESTEE_AGGREGATE,A portfolio row is an aggregate and not one investee position.,OWNER_POMONA_INVESTMENT_FUND,744e36084fa9f2a0f6f1;a11a4aa6b46387a99c66;f3dab12ba949d2eb9247
256f6859a5cebe3c75e3,SRC407,7,Total Secondary Investments,portfolio,NON_INVESTEE_AGGREGATE,A portfolio row is an aggregate and not one investee position.,OWNER_POMONA_INVESTMENT_FUND,93d55a8d6a01d5be2c1c;b4482b45b094e4e4820f
26131ca50505443f344b,SRC377,12,Swaps,asset_class,NON_INVESTEE_AGGREGATE,An asset-class row is an aggregate and not one investee position.,OWNER_GATES_FOUNDATION_TRUST,d532acb0703411fbf918;e2226447831d5e369f16
28bad095c21aaaf863df,SRC377,12,Options,asset_class,NON_INVESTEE_AGGREGATE,An asset-class row is an aggregate and not one investee position.,OWNER_GATES_FOUNDATION_TRUST,bdb929c3518dbfa44d60;f512ee3d87fe6feb93b7
2914b2977bbc470c68cb,SRC407,11,Money Market Funds,portfolio,NON_INVESTEE_AGGREGATE,A portfolio row is an aggregate and not one investee position.,OWNER_POMONA_INVESTMENT_FUND,d880fbcbb863bab01438;e05d1455feae1fbae7e4
30d2e75cdfc8631fed61,SRC377,12,Options,asset_class,NON_INVESTEE_AGGREGATE,An asset-class row is an aggregate and not one investee position.,OWNER_GATES_FOUNDATION_TRUST,86b22a17cb6714432d8b;eb85b6ab9ab73b200128
