observation_id,fund_id,document_id,source_page,source_table,field,printed_value,inherited_value,rule,source_observation_id,source_document_id,source_evidence_page,source_evidence_table,source_evidence_quote,source_printed_value
4f8079377a1c2def08b4,FUND_0832,SRC152,1,i. Fair Value Levels,asset_class,,Short term,asset_class_status=unique,2a60354bb2dbb461349e,SRC152,2,Investments and Derivative Instruments Measured at Fair Value,"PSERS Short-Term Investment Fund $ 5,565,178 $ 5,565,178 $ - $ -",Short term
c35dfcdbc30ee6ceeece,FUND_0832,SRC152,1,i. Fair Value Levels,asset_class,,Short term,asset_class_status=unique,2a60354bb2dbb461349e,SRC152,2,Investments and Derivative Instruments Measured at Fair Value,"PSERS Short-Term Investment Fund $ 5,565,178 $ 5,565,178 $ - $ -",Short term
a7de1c1a813d190b5b2c,FUND_0832,SRC152,1,i. Fair Value Levels,asset_class,,Short term,asset_class_status=unique,2a60354bb2dbb461349e,SRC152,2,Investments and Derivative Instruments Measured at Fair Value,"PSERS Short-Term Investment Fund $ 5,565,178 $ 5,565,178 $ - $ -",Short term
594df31b7104caa7303e,FUND_0832,SRC152,1,i. Fair Value Levels,asset_class,,Short term,asset_class_status=unique,2a60354bb2dbb461349e,SRC152,2,Investments and Derivative Instruments Measured at Fair Value,"PSERS Short-Term Investment Fund $ 5,565,178 $ 5,565,178 $ - $ -",Short term
303dbadf91812a4c17ac,FUND_0832,SRC152,5,UNTITLED_TABLE_1,asset_class,,Short term,asset_class_status=unique,2a60354bb2dbb461349e,SRC152,2,Investments and Derivative Instruments Measured at Fair Value,"PSERS Short-Term Investment Fund $ 5,565,178 $ 5,565,178 $ - $ -",Short term
c91805a4a64754d6e88a,FUND_0832,SRC152,5,UNTITLED_TABLE_1,asset_class,,Short term,asset_class_status=unique,2a60354bb2dbb461349e,SRC152,2,Investments and Derivative Instruments Measured at Fair Value,"PSERS Short-Term Investment Fund $ 5,565,178 $ 5,565,178 $ - $ -",Short term
e44180b97be6022a41de,FUND_0718,SRC058,1,Real Estate Portfolio,strategy,,Opportunistic,strategy_status=unique,12eaeaf9fe73898146c2,SRC457,9,Investment Detail,"Lone Star Fund VII (U.S.), L.P. 50,000,000 3,081,775 336,542 5.52% 21.77% (19.82%) (26.75%) (16.57%) (0.31%) 46.48% 6/15/2011 1.71 0.01 1.70 0.99",Opportunistic
a46c44f288581d6175e1,FUND_0718,SRC058,1,Real Estate Portfolio,strategy,,Opportunistic,strategy_status=unique,12eaeaf9fe73898146c2,SRC457,9,Investment Detail,"Lone Star Fund VII (U.S.), L.P. 50,000,000 3,081,775 336,542 5.52% 21.77% (19.82%) (26.75%) (16.57%) (0.31%) 46.48% 6/15/2011 1.71 0.01 1.70 0.99",Opportunistic
66d87222bfaf088265bb,FUND_0718,SRC058,1,Real Estate Portfolio,strategy,,Opportunistic,strategy_status=unique,12eaeaf9fe73898146c2,SRC457,9,Investment Detail,"Lone Star Fund VII (U.S.), L.P. 50,000,000 3,081,775 336,542 5.52% 21.77% (19.82%) (26.75%) (16.57%) (0.31%) 46.48% 6/15/2011 1.71 0.01 1.70 0.99",Opportunistic
b982b9c20fcb948c3f10,FUND_0718,SRC058,1,Real Estate Portfolio,strategy,,Opportunistic,strategy_status=unique,12eaeaf9fe73898146c2,SRC457,9,Investment Detail,"Lone Star Fund VII (U.S.), L.P. 50,000,000 3,081,775 336,542 5.52% 21.77% (19.82%) (26.75%) (16.57%) (0.31%) 46.48% 6/15/2011 1.71 0.01 1.70 0.99",Opportunistic
6d8d368324b1d7431b57,FUND_0718,SRC058,1,Real Estate Portfolio,strategy,,Opportunistic,strategy_status=unique,12eaeaf9fe73898146c2,SRC457,9,Investment Detail,"Lone Star Fund VII (U.S.), L.P. 50,000,000 3,081,775 336,542 5.52% 21.77% (19.82%) (26.75%) (16.57%) (0.31%) 46.48% 6/15/2011 1.71 0.01 1.70 0.99",Opportunistic
514d2355e618d5b73779,FUND_0718,SRC058,1,Real Estate Portfolio,strategy,,Opportunistic,strategy_status=unique,12eaeaf9fe73898146c2,SRC457,9,Investment Detail,"Lone Star Fund VII (U.S.), L.P. 50,000,000 3,081,775 336,542 5.52% 21.77% (19.82%) (26.75%) (16.57%) (0.31%) 46.48% 6/15/2011 1.71 0.01 1.70 0.99",Opportunistic
d088202000774d8d0201,FUND_0726,SRC058,1,Real Estate Portfolio,strategy,,Opportunistic,strategy_status=unique,0288bfc806cbf7a038f3,SRC457,9,Investment Detail,"Lone Star Real Estate Fund II (U.S.), L.P. 25,000,000 2,847,542 675,429 5.29% (7.79%) 0.40% 3.77% 12.71% 16.71% 24.75% 5/15/2011 1.48 0.03 1.45 1.00",Opportunistic
7f2b3b79b6620f383702,FUND_0726,SRC058,1,Real Estate Portfolio,strategy,,Opportunistic,strategy_status=unique,0288bfc806cbf7a038f3,SRC457,9,Investment Detail,"Lone Star Real Estate Fund II (U.S.), L.P. 25,000,000 2,847,542 675,429 5.29% (7.79%) 0.40% 3.77% 12.71% 16.71% 24.75% 5/15/2011 1.48 0.03 1.45 1.00",Opportunistic
1099fa94b4524f58c773,FUND_0726,SRC058,1,Real Estate Portfolio,strategy,,Opportunistic,strategy_status=unique,0288bfc806cbf7a038f3,SRC457,9,Investment Detail,"Lone Star Real Estate Fund II (U.S.), L.P. 25,000,000 2,847,542 675,429 5.29% (7.79%) 0.40% 3.77% 12.71% 16.71% 24.75% 5/15/2011 1.48 0.03 1.45 1.00",Opportunistic
a31f76dadd7df6efb0c8,FUND_0726,SRC058,1,Real Estate Portfolio,strategy,,Opportunistic,strategy_status=unique,0288bfc806cbf7a038f3,SRC457,9,Investment Detail,"Lone Star Real Estate Fund II (U.S.), L.P. 25,000,000 2,847,542 675,429 5.29% (7.79%) 0.40% 3.77% 12.71% 16.71% 24.75% 5/15/2011 1.48 0.03 1.45 1.00",Opportunistic
0906d285c292a234b3d9,FUND_0726,SRC058,1,Real Estate Portfolio,strategy,,Opportunistic,strategy_status=unique,0288bfc806cbf7a038f3,SRC457,9,Investment Detail,"Lone Star Real Estate Fund II (U.S.), L.P. 25,000,000 2,847,542 675,429 5.29% (7.79%) 0.40% 3.77% 12.71% 16.71% 24.75% 5/15/2011 1.48 0.03 1.45 1.00",Opportunistic
66e22679ef58059def00,FUND_0726,SRC058,1,Real Estate Portfolio,strategy,,Opportunistic,strategy_status=unique,0288bfc806cbf7a038f3,SRC457,9,Investment Detail,"Lone Star Real Estate Fund II (U.S.), L.P. 25,000,000 2,847,542 675,429 5.29% (7.79%) 0.40% 3.77% 12.71% 16.71% 24.75% 5/15/2011 1.48 0.03 1.45 1.00",Opportunistic
