level,entity_id,status,primary_reason,additional_reasons,population
fund,FUND_SYNTH_000001,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000002,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000003,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000004,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000005,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000006,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000007,EXCLUDED,NO_COMMON_DATE_RECORD,[],fixture
fund,FUND_SYNTH_000008,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000009,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000010,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000011,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000012,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000013,EXCLUDED,NO_COMMON_DATE_RECORD,[],fixture
fund,FUND_SYNTH_000014,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000015,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000016,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000017,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000018,EXCLUDED,NO_COMMON_DATE_RECORD,[],fixture
fund,FUND_SYNTH_000019,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000020,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000021,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000022,EXCLUDED,NO_COMMON_DATE_RECORD,[],fixture
fund,FUND_SYNTH_000023,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000024,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000025,EXCLUDED,NO_COMMON_DATE_RECORD,[],fixture
fund,FUND_SYNTH_000026,EXCLUDED,NO_COMMON_DATE_RECORD,[],fixture
fund,FUND_SYNTH_000027,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000028,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000029,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000030,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000031,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000032,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000033,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000034,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000035,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000036,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000037,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000038,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000039,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000040,EXCLUDED,NO_COMMON_DATE_RECORD,[],fixture
fund,FUND_SYNTH_000041,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000042,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000043,EXCLUDED,NO_COMMON_DATE_RECORD,[],fixture
fund,FUND_SYNTH_000044,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000045,EXCLUDED,NO_COMMON_DATE_RECORD,[],fixture
fund,FUND_SYNTH_000046,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000047,EXCLUDED,NO_COMMON_DATE_RECORD,[],fixture
fund,FUND_SYNTH_000048,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000049,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000050,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000051,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000052,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000053,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000054,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000055,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000056,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000057,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000058,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000059,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000060,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000061,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000062,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000063,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000064,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000065,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000066,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000067,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000068,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000069,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000070,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000071,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000072,EXCLUDED,NO_COMMON_DATE_RECORD,[],fixture
fund,FUND_SYNTH_000073,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000074,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000075,EXCLUDED,NO_COMMON_DATE_RECORD,[],fixture
fund,FUND_SYNTH_000076,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000077,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000078,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000079,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000080,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000081,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000082,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000083,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000084,EXCLUDED,NO_COMMON_DATE_RECORD,[],fixture
fund,FUND_SYNTH_000085,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000086,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000087,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000088,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000089,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000090,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000091,EXCLUDED,NO_COMMON_DATE_RECORD,[],fixture
fund,FUND_SYNTH_000092,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000093,EXCLUDED,NO_COMMON_DATE_RECORD,[],fixture
fund,FUND_SYNTH_000094,EXCLUDED,NO_COMMON_DATE_RECORD,[],fixture
fund,FUND_SYNTH_000095,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000096,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000097,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000098,EXCLUDED,NO_COMMON_DATE_RECORD,[],fixture
fund,FUND_SYNTH_000099,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000100,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000101,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000102,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000103,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000104,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000105,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000106,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000107,EXCLUDED,NO_COMMON_DATE_RECORD,[],fixture
fund,FUND_SYNTH_000108,EXCLUDED,NO_COMMON_DATE_RECORD,[],fixture
fund,FUND_SYNTH_000109,EXCLUDED,NO_COMMON_DATE_RECORD,[],fixture
fund,FUND_SYNTH_000110,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000111,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000112,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000113,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000114,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000115,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000116,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000117,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000118,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000119,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000120,EXCLUDED,NO_COMMON_DATE_RECORD,[],fixture
fund,FUND_SYNTH_000121,EXCLUDED,NO_COMMON_DATE_RECORD,[],fixture
fund,FUND_SYNTH_000122,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000123,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000124,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000125,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000126,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000127,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000128,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000129,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000130,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000131,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000132,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000133,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000134,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000135,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000136,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000137,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000138,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000139,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000140,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000141,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000142,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000143,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000144,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
fund,FUND_SYNTH_000145,AVAILABLE,CURRENT_RECORD_AVAILABLE,[],fixture
