entity_level,entity_id,strategy,sub_strategy,field_name,status,reason,population
fund,FUND_SYNTH_000001,buyout,middle_market,current_period,AVAILABLE,,fixture
fund,FUND_SYNTH_000001,buyout,middle_market,xirr,AVAILABLE,,fixture
fund,FUND_SYNTH_000001,buyout,middle_market,holdings,AVAILABLE,,fixture
fund,FUND_SYNTH_000001,buyout,middle_market,base_terms,AVAILABLE,,fixture
fund,FUND_SYNTH_000001,buyout,middle_market,economic_loss,UNSUPPORTED_DEFINITION,SNAPSHOT_COST_IS_NOT_INVESTED_COST_LEDGER,fixture
fund,FUND_SYNTH_000001,buyout,middle_market,geography_concentration,AVAILABLE_CONSTANT,PARENT_FIXTURE_GEOGRAPHY_IS_NORTH_AMERICA,fixture
fund,FUND_SYNTH_000001,buyout,middle_market,strategy_pme,AVAILABLE,,fixture
fund,FUND_SYNTH_000002,infrastructure,core_plus,current_period,AVAILABLE,,fixture
fund,FUND_SYNTH_000002,infrastructure,core_plus,xirr,AVAILABLE,,fixture
fund,FUND_SYNTH_000002,infrastructure,core_plus,holdings,AVAILABLE,,fixture
fund,FUND_SYNTH_000002,infrastructure,core_plus,base_terms,AVAILABLE,,fixture
fund,FUND_SYNTH_000002,infrastructure,core_plus,economic_loss,UNSUPPORTED_DEFINITION,SNAPSHOT_COST_IS_NOT_INVESTED_COST_LEDGER,fixture
fund,FUND_SYNTH_000002,infrastructure,core_plus,geography_concentration,AVAILABLE_CONSTANT,PARENT_FIXTURE_GEOGRAPHY_IS_NORTH_AMERICA,fixture
fund,FUND_SYNTH_000002,infrastructure,core_plus,strategy_pme,UNKNOWN,BENCHMARK_CURRENCY_UNSUPPORTED,fixture
fund,FUND_SYNTH_000003,venture,early_stage,current_period,AVAILABLE,,fixture
fund,FUND_SYNTH_000003,venture,early_stage,xirr,AVAILABLE,,fixture
fund,FUND_SYNTH_000003,venture,early_stage,holdings,AVAILABLE,,fixture
fund,FUND_SYNTH_000003,venture,early_stage,base_terms,AVAILABLE,,fixture
fund,FUND_SYNTH_000003,venture,early_stage,economic_loss,UNSUPPORTED_DEFINITION,SNAPSHOT_COST_IS_NOT_INVESTED_COST_LEDGER,fixture
fund,FUND_SYNTH_000003,venture,early_stage,geography_concentration,AVAILABLE_CONSTANT,PARENT_FIXTURE_GEOGRAPHY_IS_NORTH_AMERICA,fixture
fund,FUND_SYNTH_000003,venture,early_stage,strategy_pme,AVAILABLE,,fixture
fund,FUND_SYNTH_000004,venture,early_stage,current_period,AVAILABLE,,fixture
fund,FUND_SYNTH_000004,venture,early_stage,xirr,AVAILABLE,,fixture
fund,FUND_SYNTH_000004,venture,early_stage,holdings,AVAILABLE,,fixture
fund,FUND_SYNTH_000004,venture,early_stage,base_terms,AVAILABLE,,fixture
fund,FUND_SYNTH_000004,venture,early_stage,economic_loss,UNSUPPORTED_DEFINITION,SNAPSHOT_COST_IS_NOT_INVESTED_COST_LEDGER,fixture
fund,FUND_SYNTH_000004,venture,early_stage,geography_concentration,AVAILABLE_CONSTANT,PARENT_FIXTURE_GEOGRAPHY_IS_NORTH_AMERICA,fixture
fund,FUND_SYNTH_000004,venture,early_stage,strategy_pme,AVAILABLE,,fixture
fund,FUND_SYNTH_000005,real_estate,value_add,current_period,AVAILABLE,,fixture
fund,FUND_SYNTH_000005,real_estate,value_add,xirr,AVAILABLE,,fixture
fund,FUND_SYNTH_000005,real_estate,value_add,holdings,AVAILABLE,,fixture
fund,FUND_SYNTH_000005,real_estate,value_add,base_terms,AVAILABLE,,fixture
fund,FUND_SYNTH_000005,real_estate,value_add,economic_loss,UNSUPPORTED_DEFINITION,SNAPSHOT_COST_IS_NOT_INVESTED_COST_LEDGER,fixture
fund,FUND_SYNTH_000005,real_estate,value_add,geography_concentration,AVAILABLE_CONSTANT,PARENT_FIXTURE_GEOGRAPHY_IS_NORTH_AMERICA,fixture
fund,FUND_SYNTH_000005,real_estate,value_add,strategy_pme,UNKNOWN,BENCHMARK_CURRENCY_UNSUPPORTED,fixture
fund,FUND_SYNTH_000006,buyout,middle_market,current_period,AVAILABLE,,fixture
fund,FUND_SYNTH_000006,buyout,middle_market,xirr,AVAILABLE,,fixture
fund,FUND_SYNTH_000006,buyout,middle_market,holdings,AVAILABLE,,fixture
fund,FUND_SYNTH_000006,buyout,middle_market,base_terms,AVAILABLE,,fixture
fund,FUND_SYNTH_000006,buyout,middle_market,economic_loss,UNSUPPORTED_DEFINITION,SNAPSHOT_COST_IS_NOT_INVESTED_COST_LEDGER,fixture
fund,FUND_SYNTH_000006,buyout,middle_market,geography_concentration,AVAILABLE_CONSTANT,PARENT_FIXTURE_GEOGRAPHY_IS_NORTH_AMERICA,fixture
