"source_page","a_page_status","b_page_status","a_layout_checked","b_layout_checked","a_expected_observation_count","b_expected_observation_count","a_source_structures","b_source_structures","a_relevant_record_families","b_relevant_record_families","difference_fields"
"1","NO_ELIGIBLE_DATA","ELIGIBLE_DATA_EXTRACTED","NO","YES","0","2","","MANAGEMENT AGREEMENT FOR REAL ASSET PORTFOLIO MANAGEMENT IN PUBLICLY TRADED MASTER LIMITED PARTNERSHIP SECURITIES | WITNESSETH:","","document_context | legal_term","page_status|layout_checked|expected_observation_count|source_structures|relevant_record_families"
"2","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","Engagement | MANAGER's Services | Power and Authority | SERS Policies and Guidelines","","","layout_checked|source_structures"
"3","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","2","1","3. MANAGER's Services | DOCUMENT","MANAGER's Services","document_context | legal_clause","legal_clause","expected_observation_count|source_structures|relevant_record_families"
"4","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","ClassActions | Compliance with Laws | MANAGER's Investments for Own Account","","","layout_checked|source_structures"
"5","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","Compensation | Other Contracts | Standard of Performance","","","layout_checked|source_structures"
"6","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","Due Diligence Visits | MANAGER's Insurance | Representations of MANAGER","","","layout_checked|source_structures"
"7","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","Evidence of Authority | General Representations | No Finder's, Solicitor's or Similar Fee | Reaffirmation","","","layout_checked|source_structures"
"8","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","1","2","10. Changes in MANAGER's Status","10. Changes in MANAGER's Status | 8. Representations of MANAGER","legal_clause","legal_clause","expected_observation_count|source_structures"
"10","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","13. Conflict of Interest | 14. Soft Dollars Report | 15. Other Business","","","layout_checked|source_structures"
"11","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","1","1","16. Assignment or Other Transfer","16. Assignment or Other Transfer","legal_clause","legal_clause","DETERMINISTIC_SAMPLE"
"13","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","2","4","20. Expiration and Termination","20. Expiration and Termination","legal_clause | legal_term","legal_clause | legal_term","expected_observation_count"
"14","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","1","1","21. Applicable Law","21. Applicable Law","legal_clause","legal_clause","DETERMINISTIC_SAMPLE"
"15","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","25. Counterparts | 26. Severability | 27. Headings | 28. Entire Agreement","","","layout_checked|source_structures"
"16","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","Approved | ATTEST | IN WITNESS WHEREOF","","","layout_checked|source_structures"
"17","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","Approved | ATTEST | IN WITNESS WHEREOF","","","layout_checked|source_structures"
"18","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","Approved | ATTEST | IN WITNESS WHEREOF","","","layout_checked|source_structures"
"19","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","Statement of Investment Policy","","","layout_checked|source_structures"
"20","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","Statement of Investment Policy","","","layout_checked|source_structures"
"21","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","I. Introduction | II. Statement of Purpose of Investment Policy | III. Prudent Investor Standard","","","layout_checked|source_structures"
"22","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","A. Board of Trustees | IV. Fiduciary Status, Duties, and Responsibilities of Board, Staff, Investment Advisors, Other Agents, and State Treasurer","","","layout_checked|source_structures"
"23","NO_ELIGIBLE_DATA","ELIGIBLE_DATA_EXTRACTED","NO","YES","0","2","","A. Board of Trustees","","legal_clause","page_status|layout_checked|expected_observation_count|source_structures|relevant_record_families"
"24","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","B. State Employees' Retirement Board Staff | C. Chief Audit Executive | D. Investment Advisors","","","layout_checked|source_structures"
"25","NO_ELIGIBLE_DATA","ELIGIBLE_DATA_EXTRACTED","NO","YES","0","1","","D. Investment Advisors","","legal_clause","page_status|layout_checked|expected_observation_count|source_structures|relevant_record_families"
"26","NO_ELIGIBLE_DATA","ELIGIBLE_DATA_EXTRACTED","NO","YES","0","2","","E. General Investment Consultant | F. Alternative Investment Consultant","","legal_term","page_status|layout_checked|expected_observation_count|source_structures|relevant_record_families"
"27","NO_ELIGIBLE_DATA","ELIGIBLE_DATA_EXTRACTED","NO","YES","0","1","","H. Portfolio Evaluation Advisor","","legal_term","page_status|layout_checked|expected_observation_count|source_structures|relevant_record_families"
"28","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","V. Investment Objectives | VI. Investment Guidelines","","","layout_checked|source_structures"
"29","NO_ELIGIBLE_DATA","ELIGIBLE_DATA_EXTRACTED","NO","YES","0","1","","VI. Investment Guidelines","","legal_term","page_status|layout_checked|expected_observation_count|source_structures|relevant_record_families"
"30","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","IX. Corporate Governance Standards | VII. Prohibited Transactions | VIII. Investment Advisor Evaluations","","","layout_checked|source_structures"
"31","NO_ELIGIBLE_DATA","ELIGIBLE_DATA_EXTRACTED","NO","YES","0","2","","A. Proxy Voting Procedures","","legal_clause","page_status|layout_checked|expected_observation_count|source_structures|relevant_record_families"
"32","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","XI. Public Access to Records | XII. Procedures for Amending this Policy Statement","","","layout_checked|source_structures"
"33","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","XIII. Separate Documents Related to this Policy Statement","","","layout_checked|source_structures"
"34","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","XIV. Glossary of Terms","","","layout_checked|source_structures"
"35","NO_ELIGIBLE_DATA","ELIGIBLE_DATA_EXTRACTED","NO","YES","0","2","","APPENDIX I","","legal_term","page_status|layout_checked|expected_observation_count|source_structures|relevant_record_families"
"36","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","Section 5931. Management of fund and accounts","","","layout_checked|source_structures"
"37","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","EXHIBIT B","","","layout_checked|source_structures"
