fund_term_clause_id,fund_id,lp_id,lp_name,share_class_name,perspective,term_scope,overrides_fund_term_id,effective_date,effective_end_date,source_document_id,metric_id,clause_title,value_raw,value_text,currency,provenance_type,source_page,source_anchor,extractor_version,synthetic_parameter_set_id,record_status
FTC_FUND_SYNTH_000001_RISK_01,FUND_SYNTH_000001,,,,fund_total,base_fund,,2018-09-30,,,terms.risk_factor,Synthetic concentration risk,Portfolio concentration can increase valuation volatility.,Portfolio concentration can increase valuation volatility.,,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE
FTC_FUND_SYNTH_000001_RISK_02,FUND_SYNTH_000001,,,,fund_total,base_fund,,2018-09-30,,,terms.risk_factor,Synthetic valuation policy risk,Unquoted holdings carry a valuation estimate the manager reviews each quarter.,Unquoted holdings carry a valuation estimate the manager reviews each quarter.,,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE
FTC_FUND_SYNTH_000001_SPEC_01,FUND_SYNTH_000001,,,,fund_total,base_fund,,2018-09-30,,,terms.special_term,Synthetic advisory committee right,An advisory committee reviews conflicts and valuation policy each quarter.,An advisory committee reviews conflicts and valuation policy each quarter.,,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE
FTC_FUND_SYNTH_000001_SPEC_02,FUND_SYNTH_000001,,,,fund_total,base_fund,,2018-09-30,,,terms.special_term,Synthetic key person suspension,Departure of two named principals suspends the investment period.,Departure of two named principals suspends the investment period.,,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE
FTC_FUND_SYNTH_000002_RISK_01,FUND_SYNTH_000002,,,,fund_total,base_fund,,2024-06-30,,,terms.risk_factor,Synthetic concentration risk,Portfolio concentration can increase valuation volatility.,Portfolio concentration can increase valuation volatility.,,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE
FTC_FUND_SYNTH_000002_RISK_02,FUND_SYNTH_000002,,,,fund_total,base_fund,,2024-06-30,,,terms.risk_factor,Synthetic valuation policy risk,Unquoted holdings carry a valuation estimate the manager reviews each quarter.,Unquoted holdings carry a valuation estimate the manager reviews each quarter.,,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE
FTC_FUND_SYNTH_000002_SPEC_01,FUND_SYNTH_000002,,,,fund_total,base_fund,,2024-06-30,,,terms.special_term,Synthetic advisory committee right,An advisory committee reviews conflicts and valuation policy each quarter.,An advisory committee reviews conflicts and valuation policy each quarter.,,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE
FTC_FUND_SYNTH_000002_SPEC_02,FUND_SYNTH_000002,,,,fund_total,base_fund,,2024-06-30,,,terms.special_term,Synthetic key person suspension,Departure of two named principals suspends the investment period.,Departure of two named principals suspends the investment period.,,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE
FTC_FUND_SYNTH_000003_RISK_01,FUND_SYNTH_000003,,,,fund_total,base_fund,,2017-12-31,,,terms.risk_factor,Synthetic concentration risk,Portfolio concentration can increase valuation volatility.,Portfolio concentration can increase valuation volatility.,,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE
FTC_FUND_SYNTH_000003_RISK_02,FUND_SYNTH_000003,,,,fund_total,base_fund,,2017-12-31,,,terms.risk_factor,Synthetic valuation policy risk,Unquoted holdings carry a valuation estimate the manager reviews each quarter.,Unquoted holdings carry a valuation estimate the manager reviews each quarter.,,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE
FTC_FUND_SYNTH_000003_SPEC_01,FUND_SYNTH_000003,,,,fund_total,base_fund,,2017-12-31,,,terms.special_term,Synthetic advisory committee right,An advisory committee reviews conflicts and valuation policy each quarter.,An advisory committee reviews conflicts and valuation policy each quarter.,,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE
FTC_FUND_SYNTH_000003_SPEC_02,FUND_SYNTH_000003,,,,fund_total,base_fund,,2017-12-31,,,terms.special_term,Synthetic key person suspension,Departure of two named principals suspends the investment period.,Departure of two named principals suspends the investment period.,,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE
FTC_FUND_SYNTH_000004_RISK_01,FUND_SYNTH_000004,,,,fund_total,base_fund,,2016-12-31,,,terms.risk_factor,Synthetic concentration risk,Portfolio concentration can increase valuation volatility.,Portfolio concentration can increase valuation volatility.,,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE
FTC_FUND_SYNTH_000004_RISK_02,FUND_SYNTH_000004,,,,fund_total,base_fund,,2016-12-31,,,terms.risk_factor,Synthetic valuation policy risk,Unquoted holdings carry a valuation estimate the manager reviews each quarter.,Unquoted holdings carry a valuation estimate the manager reviews each quarter.,,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE
FTC_FUND_SYNTH_000004_SPEC_01,FUND_SYNTH_000004,,,,fund_total,base_fund,,2016-12-31,,,terms.special_term,Synthetic advisory committee right,An advisory committee reviews conflicts and valuation policy each quarter.,An advisory committee reviews conflicts and valuation policy each quarter.,,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE
FTC_FUND_SYNTH_000004_SPEC_02,FUND_SYNTH_000004,,,,fund_total,base_fund,,2016-12-31,,,terms.special_term,Synthetic key person suspension,Departure of two named principals suspends the investment period.,Departure of two named principals suspends the investment period.,,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE
FTC_FUND_SYNTH_000005_RISK_01,FUND_SYNTH_000005,,,,fund_total,base_fund,,2019-12-31,,,terms.risk_factor,Synthetic concentration risk,Portfolio concentration can increase valuation volatility.,Portfolio concentration can increase valuation volatility.,,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE
FTC_FUND_SYNTH_000005_RISK_02,FUND_SYNTH_000005,,,,fund_total,base_fund,,2019-12-31,,,terms.risk_factor,Synthetic valuation policy risk,Unquoted holdings carry a valuation estimate the manager reviews each quarter.,Unquoted holdings carry a valuation estimate the manager reviews each quarter.,,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE
FTC_FUND_SYNTH_000005_SPEC_01,FUND_SYNTH_000005,,,,fund_total,base_fund,,2019-12-31,,,terms.special_term,Synthetic advisory committee right,An advisory committee reviews conflicts and valuation policy each quarter.,An advisory committee reviews conflicts and valuation policy each quarter.,,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE
FTC_FUND_SYNTH_000005_SPEC_02,FUND_SYNTH_000005,,,,fund_total,base_fund,,2019-12-31,,,terms.special_term,Synthetic key person suspension,Departure of two named principals suspends the investment period.,Departure of two named principals suspends the investment period.,,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE
FTC_FUND_SYNTH_000006_RISK_01,FUND_SYNTH_000006,,,,fund_total,base_fund,,2016-09-30,,,terms.risk_factor,Synthetic concentration risk,Portfolio concentration can increase valuation volatility.,Portfolio concentration can increase valuation volatility.,,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE
FTC_FUND_SYNTH_000006_RISK_02,FUND_SYNTH_000006,,,,fund_total,base_fund,,2016-09-30,,,terms.risk_factor,Synthetic valuation policy risk,Unquoted holdings carry a valuation estimate the manager reviews each quarter.,Unquoted holdings carry a valuation estimate the manager reviews each quarter.,,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE
FTC_FUND_SYNTH_000006_SPEC_01,FUND_SYNTH_000006,,,,fund_total,base_fund,,2016-09-30,,,terms.special_term,Synthetic advisory committee right,An advisory committee reviews conflicts and valuation policy each quarter.,An advisory committee reviews conflicts and valuation policy each quarter.,,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE
FTC_FUND_SYNTH_000006_SPEC_02,FUND_SYNTH_000006,,,,fund_total,base_fund,,2016-09-30,,,terms.special_term,Synthetic key person suspension,Departure of two named principals suspends the investment period.,Departure of two named principals suspends the investment period.,,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE
FTC_FUND_SYNTH_000007_RISK_01,FUND_SYNTH_000007,,,,fund_total,base_fund,,2012-09-30,,,terms.risk_factor,Synthetic concentration risk,Portfolio concentration can increase valuation volatility.,Portfolio concentration can increase valuation volatility.,,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE
FTC_FUND_SYNTH_000007_RISK_02,FUND_SYNTH_000007,,,,fund_total,base_fund,,2012-09-30,,,terms.risk_factor,Synthetic valuation policy risk,Unquoted holdings carry a valuation estimate the manager reviews each quarter.,Unquoted holdings carry a valuation estimate the manager reviews each quarter.,,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE
FTC_FUND_SYNTH_000007_SPEC_01,FUND_SYNTH_000007,,,,fund_total,base_fund,,2012-09-30,,,terms.special_term,Synthetic advisory committee right,An advisory committee reviews conflicts and valuation policy each quarter.,An advisory committee reviews conflicts and valuation policy each quarter.,,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE
