fund_id,fund_name,legal_name,fund_manager_id,fund_manager_name,strategy,sub_strategy,vintage_year,domicile,base_currency,fund_size,fund_size_currency,first_close_date,final_close_date,termination_date,fund_status,provenance_type,source_document_id,source_page,source_anchor,synthetic_parameter_set_id,record_status,created_at
FUND_REAL_COLLISION_000075,Synthetic Venture Fund 0075,"Synthetic Venture Fund 0075, L.P.",MANAGER_SYNTH_00019,Synthetic Alternatives Manager 0019,venture,early_stage,2013,"Delaware, US",EUR,160.40,EUR,2013-08-15,2018-12-31,2025-12-31,liquidated,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,2026-06-30T00:00:00Z
FUND_REAL_COLLISION_000158,Synthetic Private Credit Fund 0158,"Synthetic Private Credit Fund 0158, L.P.",MANAGER_SYNTH_00040,Synthetic Alternatives Manager 0040,private_credit,direct_lending,2024,"Delaware, US",USD,814.40,USD,2024-05-15,2025-03-31,2036-12-31,active,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,2026-06-30T00:00:00Z
FUND_REAL_COLLISION_000230,Synthetic Buyout Fund 0230,"Synthetic Buyout Fund 0230, L.P.",MANAGER_SYNTH_00058,Synthetic Alternatives Manager 0058,buyout,middle_market,2018,"Delaware, US",USD,742.69,USD,2018-11-15,2022-03-31,2030-12-31,active,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,2026-06-30T00:00:00Z
FUND_REAL_COLLISION_000368,Synthetic Real Estate Fund 0368,"Synthetic Real Estate Fund 0368, L.P.",MANAGER_SYNTH_00092,Synthetic Alternatives Manager 0092,real_estate,value_add,2020,"Delaware, US",GBP,710.34,GBP,2020-05-15,2022-12-31,2032-12-31,active,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,2026-06-30T00:00:00Z
FUND_REAL_COLLISION_000415,Synthetic Infrastructure Fund 0415,"Synthetic Infrastructure Fund 0415, L.P.",MANAGER_SYNTH_00104,Synthetic Alternatives Manager 0104,infrastructure,core_plus,2016,"Delaware, US",USD,1307.70,USD,2016-05-15,2020-09-30,2028-12-31,active,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,2026-06-30T00:00:00Z
FUND_REAL_COLLISION_000419,Synthetic Growth Fund 0419,"Synthetic Growth Fund 0419, L.P.",MANAGER_SYNTH_00105,Synthetic Alternatives Manager 0105,growth,growth_equity,2015,"Delaware, US",USD,619.55,USD,2015-11-15,2020-06-30,2027-12-31,active,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,2026-06-30T00:00:00Z
FUND_REAL_COLLISION_000510,Synthetic Growth Fund 0510,"Synthetic Growth Fund 0510, L.P.",MANAGER_SYNTH_00128,Synthetic Alternatives Manager 0128,growth,growth_equity,2013,"Delaware, US",USD,795.17,USD,2013-02-15,2018-09-30,2025-12-31,liquidated,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,2026-06-30T00:00:00Z
FUND_REAL_COLLISION_000517,Synthetic Infrastructure Fund 0517,"Synthetic Infrastructure Fund 0517, L.P.",MANAGER_SYNTH_00130,Synthetic Alternatives Manager 0130,infrastructure,core_plus,2013,"Delaware, US",USD,491.29,USD,2013-11-15,2019-03-31,2025-12-31,liquidated,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,2026-06-30T00:00:00Z
FUND_REAL_COLLISION_000590,Synthetic Infrastructure Fund 0590,"Synthetic Infrastructure Fund 0590, L.P.",MANAGER_SYNTH_00148,Synthetic Alternatives Manager 0148,infrastructure,core_plus,2012,"Delaware, US",USD,455.00,USD,2012-11-15,2018-03-31,2024-12-31,liquidated,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,2026-06-30T00:00:00Z
FUND_REAL_COLLISION_000593,Synthetic Infrastructure Fund 0593,"Synthetic Infrastructure Fund 0593, L.P.",MANAGER_SYNTH_00149,Synthetic Alternatives Manager 0149,infrastructure,core_plus,2021,"Delaware, US",EUR,873.02,EUR,2021-11-15,2023-12-31,2033-12-31,active,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,2026-06-30T00:00:00Z
