record_group,field_name,source_labels_seen,definition,first_seen_file_id,files_processed,files_checked_for_field,files_with_field,presence_pct,total_observations,avg_observations_when_present,extractability,alt_investment_use,provisional_class,merged_into,example_file_id,example_page,notes
statement_context,fund_name,Fund / INVESTEE FUND / Fund Vehicle,Exact printed fund or vehicle name.,SRC462,3,3,3,100.0,3,1,HIGH,Fund/account identity,CORE,,SRC462,1,Observation counts use document-level field presence; repeated row multiplicity is not estimated.
statement_context,investor_lp,Limited Partner / INVESTOR / <Investor Name>,Exact printed LP/investor account holder.,SRC462,3,3,3,100.0,3,1,HIGH,LP account identity,CORE,,SRC462,1,Standardized from investor_name after challenger review. Observation counts use document-level field presence; repeated row multiplicity is not estimated.
statement_context,period_start,Year-to-Date / Quarter to / Year to column context,Start of reporting period when explicitly stated or determinable from printed period heading.,SRC462,3,3,2,66.7,2,1,MEDIUM,Period alignment,CORE,,SRC011,2,Blank when source gives only period_end/as_of_date. Observation counts use document-level field presence; repeated row multiplicity is not estimated.
statement_context,period_end,"March 31, 2017 / 31 December 2022",End of the reporting period.,SRC462,3,3,3,100.0,3,1,HIGH,Period alignment,CORE,,SRC011,2,Observation counts use document-level field presence; repeated row multiplicity is not estimated.
statement_context,as_of_date,Date of valuation / At 31 December 2022 / statement date,Valuation/as-of date for account balances.,SRC462,3,3,3,100.0,3,1,HIGH,NAV/account timing,CORE,,SRC463,1,Observation counts use document-level field presence; repeated row multiplicity is not estimated.
statement_context,currency,euros / € / $,Printed currency for monetary amounts.,SRC462,3,3,3,100.0,3,1,HIGH,Prevent currency mismatch,CORE,,SRC463,1,Observation counts use document-level field presence; repeated row multiplicity is not estimated.
statement_context,unit_scale,euros / €000 / full currency units,Printed monetary scale.,SRC462,3,3,3,100.0,3,1,LAYOUT_SENSITIVE,Prevent scaling errors,CORE,,SRC011,1,Separated from currency after challenger review. Observation counts use document-level field presence; repeated row multiplicity is not estimated.
commitment_summary,commitment_amount,Commitment / Initial Commitment / Original Commitment,Investor commitment amount.,SRC462,3,3,3,100.0,3,1,HIGH,Commitment pacing/exposure,CORE,,SRC463,1,Observation counts use document-level field presence; repeated row multiplicity is not estimated.
commitment_summary,paid_in_capital,Paid-in capital / Contributions from Investor (Paid-in Capital) / cumulative contributions,"Capital funded by the investor, with period scope retained.",SRC462,3,3,3,100.0,3,1,MEDIUM,Funding and performance denominator context,CORE,,SRC011,1,Observation counts use document-level field presence; repeated row multiplicity is not estimated.
commitment_summary,unfunded_commitment,Unfunded commitment / Residual Commitment / Unfunded Commitment available for Capital Calls,Remaining callable commitment.,SRC462,3,3,3,100.0,3,1,HIGH,Future liquidity obligation,CORE,,SRC462,2,Observation counts use document-level field presence; repeated row multiplicity is not estimated.
commitment_summary,recallable_distributions,Recallable Distributions / distributed proceeds restoring commitment,Source-identified distributions that restore or affect callable commitment.,SRC462,3,3,2,66.7,2,1,MEDIUM,Commitment reconciliation,CORE,,SRC011,1,Do not infer recallability if source does not state it. Observation counts use document-level field presence; repeated row multiplicity is not estimated.
commitment_summary,ownership_pct,Ownership of partnership / Ownership of total fund / Ownership % of Fund,Printed LP ownership percentage and scope.,SRC462,3,3,2,66.7,2,1,HIGH,Allocation/account context,CORE,,SRC462,2,Preserve source label/scope; do not collapse partnership vs fund without scope. Observation counts use document-level field presence; repeated row multiplicity is not estimated.
capital_account_summary,beginning_capital,Beginning capital / Capital Account at Fair Value opening balance,Opening investor capital for the period.,SRC462,3,3,2,66.7,2,1,HIGH,Capital roll-forward anchor,CORE,,SRC462,1,Observation counts use document-level field presence; repeated row multiplicity is not estimated.
capital_account_summary,period_contributions,Total contributions / Contributions from Investor,Contributions recognized in the stated period.,SRC462,3,3,2,66.7,2,1,HIGH,Capital roll-forward,CORE,,SRC011,2,Observation counts use document-level field presence; repeated row multiplicity is not estimated.
capital_account_summary,period_distributions,Total distributions / Distributions to Investors / Total Distribution,Distributions recognized in the stated period or table scope.,SRC462,3,3,3,100.0,3,1,HIGH,Capital roll-forward and realization,CORE,,SRC462,1,Observation counts use document-level field presence; repeated row multiplicity is not estimated.
capital_account_summary,income_loss,Net investment income (loss) / Other investment income/(expense),Reported investment income/loss component of the capital-account bridge.,SRC462,3,3,2,66.7,2,1,MEDIUM,Performance-driver separation,CORE,,SRC462,1,Exact detailed source rows remain available in capital_account_activity. Observation counts use document-level field presence; repeated row multiplicity is not estimated.
capital_account_summary,realized_gain_loss,Realized gain (loss) / Realised portfolio gains/(losses),Realized investment gain/loss allocated to the account.,SRC462,3,3,2,66.7,2,1,HIGH,Realized performance driver,CORE,,SRC011,2,Observation counts use document-level field presence; repeated row multiplicity is not estimated.
capital_account_summary,unrealized_gain_loss,Unrealized gain (loss) / Unrealised portfolio gains/(losses),Change in unrealized value allocated to the account.,SRC462,3,3,2,66.7,2,1,HIGH,Valuation performance driver,CORE,,SRC011,2,Observation counts use document-level field presence; repeated row multiplicity is not estimated.
capital_account_summary,management_fees,Management fees,Management-fee amount charged/allocated to the capital account.,SRC462,3,3,2,66.7,2,1,HIGH,Net return/fee drag,CORE,,SRC011,2,Observation counts use document-level field presence; repeated row multiplicity is not estimated.
capital_account_summary,carry_accrual,Realized/Unrealized carried interest / Net change in provision for carried interest,Carry allocation or provision affecting investor capital.,SRC462,3,3,2,66.7,2,1,MEDIUM,Gross-to-net economics,CORE,,SRC011,2,Standardized from carry_allocation after challenger review. Observation counts use document-level field presence; repeated row multiplicity is not estimated.
capital_account_summary,ending_capital,Ending capital / Capital Account at Fair Value,Closing capital-account balance where labeled as capital.,SRC462,3,3,2,66.7,2,1,HIGH,Capital roll-forward anchor,CORE,,SRC011,2,Kept separate from NAV after challenger review. Observation counts use document-level field presence; repeated row multiplicity is not estimated.
capital_account_summary,ending_nav,Net Asset Value (NAV),Closing NAV where the source explicitly labels NAV.,SRC463,3,3,1,33.3,1,1,HIGH,Ending valuation,CORE,,SRC463,1,Key context retained despite one-document label; do not relabel ending capital as NAV. Observation counts use document-level field presence; repeated row multiplicity is not estimated.
capital_account_activity,line_group,Contributions / Income (loss) analysis / Distributions / COMMITMENT / CAPITAL CALLS / NET ASSET VALUE,Printed section/group containing a detailed row.,SRC462,3,3,3,100.0,3,1,LAYOUT_SENSITIVE,Detailed account structure without schema explosion,EXTENSION,,SRC463,1,Standardized from activity_category after challenger review. Observation counts use document-level field presence; repeated row multiplicity is not estimated.
capital_account_activity,line_name,Printed accounting row label,Exact printed line item within the account/commitment table.,SRC462,3,3,3,100.0,3,1,LAYOUT_SENSITIVE,Preserves detailed accounting data,EXTENSION,,SRC462,1,Standardized from line_item_label after challenger review. Observation counts use document-level field presence; repeated row multiplicity is not estimated.
capital_account_activity,event_date,DATE / cash-call or distribution date,Printed transaction date when a row is event-level.,SRC463,3,3,1,33.3,1,1,HIGH,Cash-flow timing,EXTENSION,,SRC463,2,Optional; absent on aggregate accounting rows. Observation counts use document-level field presence; repeated row multiplicity is not estimated.
