"source_page","a_page_status","b_page_status","a_layout_checked","b_layout_checked","a_expected_observation_count","b_expected_observation_count","a_source_structures","b_source_structures","a_relevant_record_families","b_relevant_record_families","difference_fields"
"1","REFERENCE_ONLY","REFERENCE_ONLY","YES","YES","1","1","Consolidated Financial Statements","Consolidated Financial Statements","document_context","document_context","DETERMINISTIC_SAMPLE"
"2","REFERENCE_ONLY","REFERENCE_ONLY","YES","YES","0","0","Independent Auditors’ Report","Independent Auditors' Report","","","source_structures"
"3","REFERENCE_ONLY","REFERENCE_ONLY","YES","YES","0","0","Independent Auditors’ Report","Independent Auditors' Report","","","source_structures"
"6","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","4","4","Consolidated Statements of Cash Flows","Consolidated Statements of Cash Flows","financial_statement_observation","financial_statement_observation","DETERMINISTIC_SAMPLE"
"7","REFERENCE_ONLY","REFERENCE_ONLY","YES","YES","0","0","(1) Organization | (a) Strategic Priorities | Global Programs | U.S. Program","Notes to Consolidated Financial Statements: (1) Organization","","","source_structures"
"8","ELIGIBLE_DATA_EXTRACTED","REFERENCE_ONLY","YES","YES","3","0","(a) Basis of Financial Presentation | (b) Cash | (c) Program-Related Investments (PRIs)","Notes to Consolidated Financial Statements: (2) Summary of Significant Accounting Policies","definition_context","","page_status|expected_observation_count|source_structures|relevant_record_families"
"9","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","3","2","(d) Fair Value","(d) Fair Value","definition_context","definition_context","expected_observation_count"
"10","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","5","1","(d) Fair Value | (e) Property and Equipment | (f) Programmatic Investment Losses, Net | (g) Grant Expense | (h) Self-Insurance","(d) Fair Value","definition_context","definition_context","expected_observation_count|source_structures"
"11","ELIGIBLE_DATA_EXTRACTED","REFERENCE_ONLY","YES","YES","7","0","(3) Related Parties | (i) Contributed Services | (j) Contributions and Bequests from Unrelated Parties | (k) Presentation of Expenses on the Consolidated Statements of Activities | (l) Tax-Exempt Status | (m) Use of Estimates | (n) Reclassifications","Notes to Consolidated Financial Statements: (2) Summary of Significant Accounting Policies (continued)","definition_context","","page_status|expected_observation_count|source_structures|relevant_record_families"
"12","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","10","10","(4) Beneficial Interest in Net Assets of Gates Foundation Trust | (5) Liquidity","(4) Beneficial Interest in Net Assets of Gates Foundation Trust | (5) Liquidity","definition_context | financial_statement_observation","financial_statement_observation","relevant_record_families"
"13","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","20","7","(6) Program-Related Investments (PRI) | (a) Loan PRIs","(a) Loan PRIs","definition_context | financial_statement_observation","financial_statement_observation","expected_observation_count|source_structures|relevant_record_families"
"14","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","24","15","(b) Equity PRIs | (c) PRI Guarantees and Commitments","(b) Equity PRIs","definition_context | financial_statement_observation | fund_economics_observation","financial_statement_observation | fund_economics_observation","expected_observation_count|source_structures|relevant_record_families"
"16","DEFERRED_BY_SCOPE","ELIGIBLE_DATA_EXTRACTED","YES","YES","0","14","(8) Analysis of Expenses","(8) Analysis of Expenses - December 31, 2023 | (8) Analysis of Expenses - December 31, 2024","","financial_statement_observation","page_status|expected_observation_count|source_structures|relevant_record_families"
"17","DEFERRED_BY_SCOPE","DEFERRED_BY_SCOPE","YES","YES","0","0","(8) Analysis of Expenses | (9) Grants Payable and Conditional Grant Commitments","(9) Grants Payable and Conditional Grant Commitments | Subsidiary entity expenses","","","source_structures"
"18","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","(10) Retirement Plan | (11) Federal Excise Taxes | (12) Commitments and Contingencies | (a) Lease Commitments","(10) Retirement Plan | (11) Federal Excise Taxes | (12) Commitments and Contingencies | Grants payable maturity schedule","","","source_structures"
"19","DEFERRED_BY_SCOPE","DEFERRED_BY_SCOPE","YES","YES","0","0","(13) Subsequent Events | (a) Lease Commitments | (b) Legal Matters","Operating lease information","","","source_structures"
"20","NO_ELIGIBLE_DATA","DEFERRED_BY_SCOPE","YES","YES","0","0","(13) Subsequent Events | (a) Lease Commitments | (b) Legal Matters","(12)(b) Legal Matters | (13) Subsequent Events | Future lease maturities","","","page_status|source_structures"
