"source_page","final_page_status","final_expected_observation_count","reason"
"1","REFERENCE_ONLY","1","Cover page: entity name, statement title, date line and the auditors'-report line, and no figure at all. It carries the document identity row, which is bookkeeping and never makes a page eligible."
"2","REFERENCE_ONLY","0","NO_ELIGIBLE_REASON: Independent auditors' report; the page prints no figure in an allowed category. Both lanes agree on the status and the zero; only the apostrophe in the structure name differed."
"3","REFERENCE_ONLY","0","Second page of the independent auditors' report; no figure in an allowed category."
"5","ELIGIBLE_DATA_EXTRACTED","22","Neither lane's count is the page's count: each counted what it extracted. Counting the printed cells directly gives fourteen net-asset and capital cells lane A read, fourteen Trust, expense and beneficial-interest cells lane B read, and six the two share, so twenty-two."
"6","ELIGIBLE_DATA_EXTRACTED","4","PARTIAL_BY_SCOPE: Cash, beginning of year and Cash, end of year in both columns. Every other line of the cash flow statement is an operating or investing flow outside the allowed categories, and both lanes agree."
"7","REFERENCE_ONLY","0","Note (1) Organization narrative on offices, trustee and board; no figure in an allowed category."
"8","ELIGIBLE_DATA_EXTRACTED","3","The page prints three lettered accounting-policy notes, (a) Basis of Financial Presentation, (b) Cash and (c) Program-Related Investments (PRIs). Each printed policy note is one definition_context row; lane B declared the page reference-only."
"9","ELIGIBLE_DATA_EXTRACTED","3","The page prints (d) Fair Value and the Level 1 and Level 2 input definitions. Lane B took the two levels and not the note that introduces them."
"10","ELIGIBLE_DATA_EXTRACTED","5","The page prints Level 3 Inputs and the lettered notes (e) Property and Equipment, (f) Programmatic Investment Losses Net, (g) Grant Expense and (h) Self-Insurance."
"11","ELIGIBLE_DATA_EXTRACTED","7","The page prints the lettered notes (i) Contributed Services through (n) Reclassifications and note (3) Related Parties. Lane B declared the page reference-only."
"12","ELIGIBLE_DATA_EXTRACTED","12","Ten printed value cells across the note-4 rollforward and the note-5 liquidity table, including the change-in-net-assets-of-the-Trust line lane A missed, plus the two narrative notes lane B missed. Trust contributions to the Foundation, Other financial assets and Available financial assets stay out: a grant from the related trust and a liquidity subtotal fall in no allowed category, and both lanes excluded them."
"13","ELIGIBLE_DATA_EXTRACTED","20","Eighteen printed value cells in the loan rollforward, the two em-dashed cells excluded, plus the notes (6) Program-Related Investments (PRI) and (a) Loan PRIs. Lane B read seven of the eighteen."
"14","ELIGIBLE_DATA_EXTRACTED","24","Seventeen printed value cells in the equity rollforward with the one em-dashed cell excluded, five amounts stated in the prose below it, and the notes (b) Equity PRIs and (c) PRI Guarantees and Commitments. Three of those prose amounts arrived as a one-sided row from each lane under different labels and publish once each. The guarantee exposure table is not counted: total gross exposure, sub-guarantee amounts and guarantee liability fall in no allowed category, and both lanes excluded them."
"16","ELIGIBLE_DATA_EXTRACTED","14","Both analysis-of-expenses tables print a Management and general column and a Total expense by natural classification column against the Compensation and benefits, Other support and administrative and Total rows. Those are the reporting entity's own expense lines, which are fund_expense and allowed; the program-delivery columns stay excluded as non-investment operating lines, and the two dashed cells on the grants subtotal rows require no row. Lane A deferred the whole page and was wrong to."
"17","NO_ELIGIBLE_DATA","0","NO_ELIGIBLE_REASON: Subsidiary entity expenses and grants-payable obligations are non-investment operating lines outside the allowed financial categories."
"18","NO_ELIGIBLE_DATA","0","NO_ELIGIBLE_REASON: retirement plan, federal excise tax, grants-payable maturity and lease commitment figures are non-investment operating lines outside the allowed financial categories."
"19","NO_ELIGIBLE_DATA","0","NO_ELIGIBLE_REASON: Operating lease assets, liabilities, expenses and cash flows are non-investment operating lines outside the allowed financial categories."
"20","NO_ELIGIBLE_DATA","0","NO_ELIGIBLE_REASON: the page prints an operating lease maturity schedule with legal-matters and subsequent-events narrative. Every figure on it is a lease obligation, a non-investment operating line outside the allowed financial categories, so the page prints substantive figures and none of them are eligible."
"15","ELIGIBLE_DATA_EXTRACTED","2","PARTIAL_BY_SCOPE: the 2023 guarantee-exposure schedule contains guarantee and contingent-liability valuations, not fund capital commitments; property and equipment are operating assets outside the Financials categories. The two narrative contingent funding amounts retain their separate 2024 and 2023 records."
