wide_row_id,document_id,route,canonical_doc_type,page_id,source_page,source_section,source_table,source_row_label,source_occurrence,column_group,subject_type,subject_alias_id,subject_entity_id,subject_name,subject_standardized_name,subject_manager_name,asset_class,strategy,geography,vintage_year,horizon,as_of_date_raw,as_of_date,period_start,period_end,currency,unit_scale,unit_scale_multiplier,stewardship_policy,observation_ids,observation_count,unparsed_values,scale_note,collision_note
d63abb2b1bd188dc05fa,SRC151,07-institutional-mission,Stewardship_Proxy_Report,c7cb9eb113ab541d9314,17,2018 GUIDELINE REVISIONS – UNITED STATES,Board Gender Diversity,2018: Noting instances of all-male boards.,1,,service_provider,2ce3132ddee7f9b6dea6,MGR_0101,Glass Lewis,Glass Lewis,,,,,,,,,,,,absolute,1,2018: Noting instances of all-male boards.,e095ff564f73466b41c7,1,,,
64a33091a9f7e55724ef,SRC151,07-institutional-mission,Stewardship_Proxy_Report,c7cb9eb113ab541d9314,17,2018 GUIDELINE REVISIONS – UNITED STATES,Board Gender Diversity,"2019: Recommending against nominating chair, if no plan is disclosed.",1,,service_provider,2ce3132ddee7f9b6dea6,MGR_0101,Glass Lewis,Glass Lewis,,,,,,,,,,,,absolute,1,"2019: Recommending against nominating chair, if no plan is disclosed.",da7dc94096eb06b63f13,1,,,
b8c905d69e50d1100054,SRC151,07-institutional-mission,Stewardship_Proxy_Report,c7cb9eb113ab541d9314,17,2018 GUIDELINE REVISIONS – UNITED STATES,Board Responsiveness,Threshold of materiality: 20%.,1,,service_provider,2ce3132ddee7f9b6dea6,MGR_0101,Glass Lewis,Glass Lewis,,,,,,,,,,,,absolute,1,Threshold of materiality: 20%.,707bed026e3d3f90a280,1,,,
bf1b5a5b99e05b33ea17,SRC151,07-institutional-mission,Stewardship_Proxy_Report,c7cb9eb113ab541d9314,17,2018 GUIDELINE REVISIONS – UNITED STATES,CEO Pay Ratio,"Included in Glass Lewis research, but not determinative of recommendation.",1,,service_provider,2ce3132ddee7f9b6dea6,MGR_0101,Glass Lewis,Glass Lewis,,,,,,,,,,,,absolute,1,"Included in Glass Lewis research, but not determinative of recommendation.",a10dc6fb71a9a4e44c0e,1,,,
467629650a63987c2aab,SRC151,07-institutional-mission,Stewardship_Proxy_Report,c7cb9eb113ab541d9314,17,2018 GUIDELINE REVISIONS – UNITED STATES,Dual-Class Share Structures,Strengthened language. Scrutinizing IPOs.,1,,service_provider,2ce3132ddee7f9b6dea6,MGR_0101,Glass Lewis,Glass Lewis,,,,,,,,,,,,absolute,1,Strengthened language. Scrutinizing IPOs.,0554eece4ff244cd9ec8,1,,,
794853afb5a48fde4d21,SRC151,07-institutional-mission,Stewardship_Proxy_Report,c7cb9eb113ab541d9314,17,2018 GUIDELINE REVISIONS – UNITED STATES,Virtual Shareholder Meetings,"2018: Noting instances of virtual-only; 2019 recommending against governance chair, if disclosure is lacking.",1,,service_provider,2ce3132ddee7f9b6dea6,MGR_0101,Glass Lewis,Glass Lewis,,,,,,,,,,,,absolute,1,"2018: Noting instances of virtual-only; 2019 recommending against governance chair, if disclosure is lacking.",0e181b328e4d7f8902e0,1,,,
bcfdadb173fb5ed60fd6,SRC151,07-institutional-mission,Stewardship_Proxy_Report,688de69625ddffd47892,18,2018 GUIDELINE REVISIONS - INTERNATIONAL,Board responsiveness,20% threshold of materiality.,1,,service_provider,2ce3132ddee7f9b6dea6,MGR_0101,Glass Lewis,Glass Lewis,,,,,,,,,,,,absolute,1,20% threshold of materiality.,c3056bf58f5cbc66d116,1,,,
ff99a73b412b2bc555d8,SRC151,07-institutional-mission,Stewardship_Proxy_Report,688de69625ddffd47892,18,2018 GUIDELINE REVISIONS - INTERNATIONAL,Dual-Class Share Structures,Strengthened language. Scrutinizing IPOs.,1,,service_provider,2ce3132ddee7f9b6dea6,MGR_0101,Glass Lewis,Glass Lewis,,,,,,,,,,,,absolute,1,Strengthened language. Scrutinizing IPOs.,9b7d8739e9e5346799dd,1,,,
1a19232ffcf26877d7b5,SRC151,07-institutional-mission,Stewardship_Proxy_Report,688de69625ddffd47892,18,2018 GUIDELINE REVISIONS - INTERNATIONAL,Election of directors,Clarified our requirements for director nominee disclosures.,1,,service_provider,2ce3132ddee7f9b6dea6,MGR_0101,Glass Lewis,Glass Lewis,,,,,,,,,,,,absolute,1,Clarified our requirements for director nominee disclosures.,59c0836e3b2fbfee1349,1,,,
a7566fa6f67400153ef7,SRC151,07-institutional-mission,Stewardship_Proxy_Report,688de69625ddffd47892,18,2018 GUIDELINE REVISIONS - INTERNATIONAL,Executive Compensation,"Clarified that we favor allowing discretion in compensation plans, when used correctly.",1,,service_provider,2ce3132ddee7f9b6dea6,MGR_0101,Glass Lewis,Glass Lewis,,,,,,,,,,,,absolute,1,"Clarified that we favor allowing discretion in compensation plans, when used correctly.",2b1e83eadbc4fbe23bee,1,,,
c194af7a7f49721a38fe,SRC329,07-institutional-mission,Stewardship_Proxy_Report,9d62d7f7ceab87fd5a58,15,Remuneration Committee report,Remuneration Committee report,The aim is to ensure that the proposals,1,,other_printed_scope,f17aa823fa8ecbd4bc90,,USS remuneration proposals,,,,,,,,,,,,,absolute,1,"Demonstrate a clear and robust link between reward and performance, seeking assurance that a rigorous process of performance appraisal is in place, with appropriate controls to manage behaviour and manager discretion",2232acd692ce4a95b35d,1,,,
e95d620bf95fc5e78c22,SRC329,07-institutional-mission,Stewardship_Proxy_Report,9d62d7f7ceab87fd5a58,15,Remuneration Committee report,Remuneration Committee report,The aim is to ensure that the proposals,2,,other_printed_scope,f17aa823fa8ecbd4bc90,,USS remuneration proposals,,,,,,,,,,,,,absolute,1,Comply with the requirements of regulatory and governance bodies,8fb3eb2432023a331194,1,,,
20bd39c4759817a109d8,SRC329,07-institutional-mission,Stewardship_Proxy_Report,9d62d7f7ceab87fd5a58,15,Remuneration Committee report,Remuneration Committee report,The aim is to ensure that the proposals,3,,other_printed_scope,f17aa823fa8ecbd4bc90,,USS remuneration proposals,,,,,,,,,,,,,absolute,1,Consider the expectations of stakeholders and remain consistent with the expectations of the employee population,c3db847dd230ab8173f8,1,,,
