wide_row_id,document_id,route,canonical_doc_type,page_id,source_page,source_section,source_table,source_row_label,source_occurrence,column_group,subject_type,subject_alias_id,subject_entity_id,subject_name,subject_standardized_name,subject_manager_name,asset_class,strategy,geography,vintage_year,horizon,as_of_date_raw,as_of_date,period_start,period_end,currency,unit_scale,unit_scale_multiplier,meeting_count,vote_count,engagement_count,coverage,score,target,aum,observation_ids,observation_count,unparsed_values,scale_note,collision_note
1f2d1957d6f9a4737f47,SRC151,07-institutional-mission,Stewardship_Proxy_Report,f178fd71bd88044b640a,10,DIRECTOR ELECTIONS – VOTE RESULTS,DRIVERS OF MAJORITY OPPOSITION TO DIRECTORS,Attendance,1,,other_printed_scope,c7519c7226b8d02d6bee,,DRIVERS OF MAJORITY OPPOSITION TO DIRECTORS,,,,,,,,,,,,,absolute,1,,,,26,,,,e1763d3abedaf3d4e9d7,1,,,
2e74be9d9bf52f51d991,SRC151,07-institutional-mission,Stewardship_Proxy_Report,f178fd71bd88044b640a,10,DIRECTOR ELECTIONS – VOTE RESULTS,DRIVERS OF MAJORITY OPPOSITION TO DIRECTORS,Director Received Excessive Against Votes,1,,other_printed_scope,c7519c7226b8d02d6bee,,DRIVERS OF MAJORITY OPPOSITION TO DIRECTORS,,,,,,,,,,,,,absolute,1,,,,14,,,,c0c0c7f57f92f48f2fe1,1,,,
f21d134e522d292b5607,SRC151,07-institutional-mission,Stewardship_Proxy_Report,f178fd71bd88044b640a,10,DIRECTOR ELECTIONS – VOTE RESULTS,DRIVERS OF MAJORITY OPPOSITION TO DIRECTORS,Insider/Affiliate on a Committee,1,,other_printed_scope,c7519c7226b8d02d6bee,,DRIVERS OF MAJORITY OPPOSITION TO DIRECTORS,,,,,,,,,,,,,absolute,1,,,,7,,,,356f2e14cc263f5eb5db,1,,,
0d294e30ca886f9f4fcd,SRC151,07-institutional-mission,Stewardship_Proxy_Report,f178fd71bd88044b640a,10,DIRECTOR ELECTIONS – VOTE RESULTS,DRIVERS OF MAJORITY OPPOSITION TO DIRECTORS,No Lead Director,1,,other_printed_scope,c7519c7226b8d02d6bee,,DRIVERS OF MAJORITY OPPOSITION TO DIRECTORS,,,,,,,,,,,,,absolute,1,,,,9,,,,f3fd9cc7558cbc5ad60f,1,,,
98e6b8d3e1bd897e2810,SRC151,07-institutional-mission,Stewardship_Proxy_Report,f178fd71bd88044b640a,10,DIRECTOR ELECTIONS – VOTE RESULTS,DRIVERS OF MAJORITY OPPOSITION TO DIRECTORS,Ongoing Compensation Concerns,1,,other_printed_scope,c7519c7226b8d02d6bee,,DRIVERS OF MAJORITY OPPOSITION TO DIRECTORS,,,,,,,,,,,,,absolute,1,,,,16,,,,df5c91290565d98943bb,1,,,
5b64a5659bcd9b36c08f,SRC151,07-institutional-mission,Stewardship_Proxy_Report,f178fd71bd88044b640a,10,DIRECTOR ELECTIONS – VOTE RESULTS,DRIVERS OF MAJORITY OPPOSITION TO DIRECTORS,Overboarding,1,,other_printed_scope,c7519c7226b8d02d6bee,,DRIVERS OF MAJORITY OPPOSITION TO DIRECTORS,,,,,,,,,,,,,absolute,1,,,,14,,,,1777a6bbf14ce69fd675,1,,,
cc358f4d9359c77b2144,SRC151,07-institutional-mission,Stewardship_Proxy_Report,f178fd71bd88044b640a,10,DIRECTOR ELECTIONS – VOTE RESULTS,DRIVERS OF MAJORITY OPPOSITION TO DIRECTORS,Poison Pill,1,,other_printed_scope,c7519c7226b8d02d6bee,,DRIVERS OF MAJORITY OPPOSITION TO DIRECTORS,,,,,,,,,,,,,absolute,1,,,,7,,,,f4cf177868ef4023d967,1,,,
1e6b68e6ce707f8ade79,SRC151,07-institutional-mission,Stewardship_Proxy_Report,f178fd71bd88044b640a,10,DIRECTOR ELECTIONS – VOTE RESULTS,DRIVERS OF MAJORITY OPPOSITION TO DIRECTORS,SHP Not Implemented,1,,other_printed_scope,c7519c7226b8d02d6bee,,DRIVERS OF MAJORITY OPPOSITION TO DIRECTORS,,,,,,,,,,,,,absolute,1,,,,7,,,,306af3519af88c7890f6,1,,,
af79ae746f6c16c9231d,SRC151,07-institutional-mission,Stewardship_Proxy_Report,f178fd71bd88044b640a,10,DIRECTOR ELECTIONS – VOTE RESULTS,Vote Results,10 reappointed,1,,market_series,28a06b1b3b7ac35b7652,,directors,,,,,,,,,,,,,absolute,1,,10,,,,,,ab98bfd594e70d71b219,1,,,
a2a54ab6904f64311b28,SRC151,07-institutional-mission,Stewardship_Proxy_Report,f178fd71bd88044b640a,10,DIRECTOR ELECTIONS – VOTE RESULTS,Vote Results,34 made changes,1,,market_series,28a06b1b3b7ac35b7652,,directors,,,,,,,,,,,,,absolute,1,,34,,,,,,1a15ec1c1f4266cdb6b3,1,,,
