wide_row_id,document_id,route,canonical_doc_type,page_id,source_page,source_section,source_table,source_row_label,source_occurrence,column_group,subject_type,subject_alias_id,subject_entity_id,subject_name,subject_standardized_name,subject_manager_name,asset_class,strategy,geography,vintage_year,sector,canonical_asset_class,canonical_strategy,canonical_sub_strategy,canonical_sector,horizon,as_of_date_raw,as_of_date,period_start,period_end,currency,unit_scale,unit_scale_multiplier,method_qualifier,fee_basis,definition_keys,value_scope,actual_allocation,target_allocation,market_value,observation_ids,observation_count,unparsed_values,scale_note,collision_note,qualifier_note
20cc4e210502b7e96d55,SRC099,04-quarterly-report,Quarterly_Report,327f9d2a63d9b665cd76,10,Real Estate by Strategic Asset Allocation – 2Q17,Real Estate by Strategic Asset Allocation – 2Q17,Core,1,,other_printed_scope,e30585087fd714dd8665,,Core,,,Real Estate,Core,,,,real_estate,core,,,,,,,,,absolute,1,,,a,,27,20,,55c502719071207d3a21;0078ae102dd3eaf7ec71,2,,,,
6dd84912eb05efa06fe0,SRC099,04-quarterly-report,Quarterly_Report,327f9d2a63d9b665cd76,10,Real Estate by Strategic Asset Allocation – 2Q17,Real Estate by Strategic Asset Allocation – 2Q17,Opportunistic,1,,other_printed_scope,21bbb18854abeed9950e,,Opportunistic,,,Real Estate,Opportunistic,,,,real_estate,opportunistic,,,,,,,,,absolute,1,,,,,45,30,,c19b1eddd7e7474cbad9;cf834c09ac7d222c6873,2,,,,
97b1c0b55bf6797387b2,SRC099,04-quarterly-report,Quarterly_Report,327f9d2a63d9b665cd76,10,Real Estate by Strategic Asset Allocation – 2Q17,Real Estate by Strategic Asset Allocation – 2Q17,Total Portfolio,1,,portfolio,4f56b6c53acad7eab59b,,Total Portfolio,,,Real Estate,,,,,real_estate,,,,,,,,,,absolute,1,,,,,100,100,,531ca85f469e0496e3b0;e907eb08dfdb26d675db,2,,,,
d61a886383a624224aa6,SRC099,04-quarterly-report,Quarterly_Report,327f9d2a63d9b665cd76,10,Real Estate by Strategic Asset Allocation – 2Q17,Real Estate by Strategic Asset Allocation – 2Q17,Value,1,,other_printed_scope,6f133611164ccebfa4ad,,Value,,,Real Estate,,,,,real_estate,,,,,,,,,,absolute,1,,,,,28,50,,f6314777cd3df72c6370;20576ba39c4f6a07694e,2,,,,
8c4aa96a6e7a91c5f7cb,SRC099,04-quarterly-report,Quarterly_Report,7fc58bd550d221a79e34,11,Preliminary Real Estate Performance – 3Q17,Preliminary Real Estate Performance – 3Q17,Direct RE,1,,other_printed_scope,77d6a1070cf42b72a9f6,,Direct RE,,,Real Estate,,,,,real_estate,,,,,,,,,,absolute,1,,,,,6,,,b95db47efc6d633b3874,1,,,,
151727202ac0c2f5b88f,SRC099,04-quarterly-report,Quarterly_Report,7fc58bd550d221a79e34,11,Preliminary Real Estate Performance – 3Q17,Preliminary Real Estate Performance – 3Q17,Funds (Closed-end),1,,other_printed_scope,d2b2e9d245b1807e276a,,Funds (Closed-end),,,Real Estate,,,,,real_estate,,,,,,,,,,absolute,1,,,,,78,,,1babf1c9bb6fa6682c1f,1,,,,
c3272e57238b161d3b53,SRC099,04-quarterly-report,Quarterly_Report,7fc58bd550d221a79e34,11,Preliminary Real Estate Performance – 3Q17,Preliminary Real Estate Performance – 3Q17,Funds (Open-end),1,,other_printed_scope,4e8fcfa96cb508c598c5,,Funds (Open-end),,,Real Estate,,,,,real_estate,,,,,,,,,,absolute,1,,,,,4,,,ea619275c8362113621a,1,,,,
78a8c2e2dc3cb2950c9b,SRC099,04-quarterly-report,Quarterly_Report,7fc58bd550d221a79e34,11,Preliminary Real Estate Performance – 3Q17,Preliminary Real Estate Performance – 3Q17,Internal Program,1,,other_printed_scope,92307a3773ed2907eda2,,Internal Program,,,Real Estate,,,,,real_estate,,,,,,,,,,absolute,1,,,,,2,,,4c7e8a249e54346e510e,1,,,,
e7ab1ce3fbf7767ae712,SRC099,04-quarterly-report,Quarterly_Report,7fc58bd550d221a79e34,11,Preliminary Real Estate Performance – 3Q17,Preliminary Real Estate Performance – 3Q17,PTRES,1,,other_printed_scope,07b76f27db874dfa757c,,PTRES,,,Real Estate,,,,,real_estate,,,,,,,,,,absolute,1,,,,,10,,,d0b6e728704e1125d972,1,,,,
6c844e1d2ca543e90681,SRC099,04-quarterly-report,Quarterly_Report,7fc58bd550d221a79e34,11,Preliminary Real Estate Performance – 3Q17,Preliminary Real Estate Performance – 3Q17,Total Portfolio,1,,portfolio,4f56b6c53acad7eab59b,,Total Portfolio,,,Real Estate,,,,,real_estate,,,,,,,,,,absolute,1,,,,,100,,,1bb007091ee1445ee640,1,,,,
