wide_row_id,document_id,route,canonical_doc_type,page_id,source_page,source_section,source_table,source_row_label,source_occurrence,column_group,subject_type,subject_alias_id,subject_entity_id,subject_name,subject_standardized_name,subject_manager_name,asset_class,strategy,geography,vintage_year,horizon,as_of_date_raw,as_of_date,period_start,period_end,currency,unit_scale,unit_scale_multiplier,beginning_capital,ending_capital,cash,total_assets,total_liabilities,net_assets,partners_capital,net_investment_income,investment_fair_value,investment_cost,fund_expense,interest_expense,realized_gain_loss,unrealized_gain_loss,commitment,paid_in_capital,contribution,distribution,unfunded_commitment,management_fee,observation_ids,observation_count,unparsed_values,scale_note,collision_note
65617a8ec4db7a81aefc,SRC034,01-financials,Financials,d5c42ec78baaa5891724,10,Combining Statement of Operations,Combining Statement of Operations,Interest expense,1,Combined Total,reporting_entity,38d72d32f12c3ae85c9e,PLAN_0024,Interest expense,Interest expense,,,,,,,,,,2018-03-31,USD,absolute,1,,,,,,,,,,,,55260,,,,,,,,,154450ebc092e7004c28,1,,,
ba01e58e5f85f9e7bb16,SRC034,01-financials,Financials,d5c42ec78baaa5891724,10,Combining Statement of Operations,Combining Statement of Operations,Interest expense,1,"Versa Capital Fund II, L.P.",reporting_entity,38d72d32f12c3ae85c9e,PLAN_0024,Interest expense,Interest expense,,,,,,,,,,2018-03-31,USD,absolute,1,,,,,,,,,,,,39025,,,,,,,,,c632592eb2ec101c8601,1,,,
4a53f41915113beda6b9,SRC034,01-financials,Financials,d5c42ec78baaa5891724,10,Combining Statement of Operations,Combining Statement of Operations,Interest expense,1,"Versa Capital Fund II-A, L.P.",reporting_entity,38d72d32f12c3ae85c9e,PLAN_0024,Interest expense,Interest expense,,,,,,,,,,2018-03-31,USD,absolute,1,,,,,,,,,,,,16235,,,,,,,,,2fdf1b964a4ef74faf0b,1,,,
c5ba6b0d0536f7a697fd,SRC034,01-financials,Financials,d5c42ec78baaa5891724,10,Combining Statement of Operations,Combining Statement of Operations,Management fees,1,Combined Total,reporting_entity,fbf7dcf980485493abe0,PLAN_0030,Management fees,Management fees,,,,,,,,,,2018-03-31,USD,absolute,1,,,,,,,,,,,,,,,,,,,,"2,374,563",58f02eacf945c5a1505a,1,,,
183fa6b96685233f608d,SRC034,01-financials,Financials,d5c42ec78baaa5891724,10,Combining Statement of Operations,Combining Statement of Operations,Management fees,1,"Versa Capital Fund II, L.P.",reporting_entity,fbf7dcf980485493abe0,PLAN_0030,Management fees,Management fees,,,,,,,,,,2018-03-31,USD,absolute,1,,,,,,,,,,,,,,,,,,,,"1,649,387",c65565356b451db87c6b,1,,,
64c51584193868b99624,SRC034,01-financials,Financials,d5c42ec78baaa5891724,10,Combining Statement of Operations,Combining Statement of Operations,Management fees,1,"Versa Capital Fund II-A, L.P.",reporting_entity,fbf7dcf980485493abe0,PLAN_0030,Management fees,Management fees,,,,,,,,,,2018-03-31,USD,absolute,1,,,,,,,,,,,,,,,,,,,,"725,176",cc856c61860e70180c5c,1,,,
6616b3d7d897c4b88db5,SRC034,01-financials,Financials,d5c42ec78baaa5891724,10,Combining Statement of Operations,Combining Statement of Operations,Net change in unrealized gain on investments,1,Combined Total,reporting_entity,c7c815845cd155572634,PLAN_0032,Net change in unrealized gain on investments,Net change in unrealized gain on investments,,,,,,,,,,2018-03-31,USD,absolute,1,,,,,,,,,,,,,,-28572,,,,,,,9620cf19d3dfbe65587c,1,,,
54c925c4a8d054940c69,SRC034,01-financials,Financials,d5c42ec78baaa5891724,10,Combining Statement of Operations,Combining Statement of Operations,Net change in unrealized gain on investments,1,"Versa Capital Fund II, L.P.",reporting_entity,c7c815845cd155572634,PLAN_0032,Net change in unrealized gain on investments,Net change in unrealized gain on investments,,,,,,,,,,2018-03-31,USD,absolute,1,,,,,,,,,,,,,,-20178,,,,,,,e6a61442e2efe7568b4a,1,,,
6f9d7b582af94c7d61ee,SRC034,01-financials,Financials,d5c42ec78baaa5891724,10,Combining Statement of Operations,Combining Statement of Operations,Net change in unrealized gain on investments,1,"Versa Capital Fund II-A, L.P.",reporting_entity,c7c815845cd155572634,PLAN_0032,Net change in unrealized gain on investments,Net change in unrealized gain on investments,,,,,,,,,,2018-03-31,USD,absolute,1,,,,,,,,,,,,,,-8394,,,,,,,40e6e2a5cf149c675f11,1,,,
c2c80e93984d2957407e,SRC034,01-financials,Financials,d5c42ec78baaa5891724,10,Combining Statement of Operations,Combining Statement of Operations,Net increase in partners' capital resulting from operations,1,Combined Total,reporting_entity,f3c4adab3d68405e99cb,PLAN_0033,Net increase in partners' capital resulting from operations,Net increase in partners' capital resulting from operations,,,,,,,,,,2018-03-31,USD,absolute,1,,,,,,,2374016,,,,,,,,,,,,,,d61e1ccf431a48288c87,1,,,
4a2da1d1a3c6c8bbf5b0,SRC034,01-financials,Financials,d5c42ec78baaa5891724,10,Combining Statement of Operations,Combining Statement of Operations,Net increase in partners' capital resulting from operations,1,"Versa Capital Fund II, L.P.",reporting_entity,f3c4adab3d68405e99cb,PLAN_0033,Net increase in partners' capital resulting from operations,Net increase in partners' capital resulting from operations,,,,,,,,,,2018-03-31,USD,absolute,1,,,,,,,1704087,,,,,,,,,,,,,,d018e0e7d7cd9865b685,1,,,
2d15519534ae22baa925,SRC034,01-financials,Financials,d5c42ec78baaa5891724,10,Combining Statement of Operations,Combining Statement of Operations,Net increase in partners' capital resulting from operations,1,"Versa Capital Fund II-A, L.P.",reporting_entity,f3c4adab3d68405e99cb,PLAN_0033,Net increase in partners' capital resulting from operations,Net increase in partners' capital resulting from operations,,,,,,,,,,2018-03-31,USD,absolute,1,,,,,,,669929,,,,,,,,,,,,,,37af1cd01fae37e645c4,1,,,
ca884205d31990f4d606,SRC034,01-financials,Financials,d5c42ec78baaa5891724,10,Combining Statement of Operations,Combining Statement of Operations,Net investment income,1,Combined Total,reporting_entity,3dd23af771d5843b8a0a,PLAN_0034,Net investment income,Net investment income,,,,,,,,,,2018-03-31,USD,absolute,1,,,,,,,,1808592,,,,,,,,,,,,,a2715438bf4708f35df0,1,,,
5cb87d5c18c79235948c,SRC034,01-financials,Financials,d5c42ec78baaa5891724,10,Combining Statement of Operations,Combining Statement of Operations,Net investment income,1,"Versa Capital Fund II, L.P.",reporting_entity,3dd23af771d5843b8a0a,PLAN_0034,Net investment income,Net investment income,,,,,,,,,,2018-03-31,USD,absolute,1,,,,,,,,1304781,,,,,,,,,,,,,8574302e639fcbc23610,1,,,
aee76069f24ea7db0540,SRC034,01-financials,Financials,d5c42ec78baaa5891724,10,Combining Statement of Operations,Combining Statement of Operations,Net investment income,1,"Versa Capital Fund II-A, L.P.",reporting_entity,3dd23af771d5843b8a0a,PLAN_0034,Net investment income,Net investment income,,,,,,,,,,2018-03-31,USD,absolute,1,,,,,,,,503811,,,,,,,,,,,,,428bf6f070e49984edfc,1,,,
f8b0a3531b9f549a9257,SRC034,01-financials,Financials,d5c42ec78baaa5891724,10,Combining Statement of Operations,Combining Statement of Operations,Net realized gain on investments,1,Combined Total,reporting_entity,02bde28e800185d177f3,PLAN_0035,Net realized gain on investments,Net realized gain on investments,,,,,,,,,,2018-03-31,USD,absolute,1,,,,,,,,,,,,,593996,,,,,,,,6638bd6ccecc99d66014,1,,,
ecfdcf91a7bb68232a52,SRC034,01-financials,Financials,d5c42ec78baaa5891724,10,Combining Statement of Operations,Combining Statement of Operations,Net realized gain on investments,1,"Versa Capital Fund II, L.P.",reporting_entity,02bde28e800185d177f3,PLAN_0035,Net realized gain on investments,Net realized gain on investments,,,,,,,,,,2018-03-31,USD,absolute,1,,,,,,,,,,,,,419484,,,,,,,,dc4b6b4dffc7b0d7a905,1,,,
0bb0991e2d4bf03b4557,SRC034,01-financials,Financials,d5c42ec78baaa5891724,10,Combining Statement of Operations,Combining Statement of Operations,Net realized gain on investments,1,"Versa Capital Fund II-A, L.P.",reporting_entity,02bde28e800185d177f3,PLAN_0035,Net realized gain on investments,Net realized gain on investments,,,,,,,,,,2018-03-31,USD,absolute,1,,,,,,,,,,,,,174512,,,,,,,,c515f84dc974c1ef4415,1,,,
49c26863712ad004fac4,SRC034,01-financials,Financials,d5c42ec78baaa5891724,10,Combining Statement of Operations,Combining Statement of Operations,Other expenses,1,Combined Total,reporting_entity,7081a563dd4ba2719e23,PLAN_0038,Other expenses,Other expenses,,,,,,,,,,2018-03-31,USD,absolute,1,,,,,,,,,,,149146,,,,,,,,,,d949fdb1f9ac82f7a988,1,,,
1f6cbda2ade65042cacf,SRC034,01-financials,Financials,d5c42ec78baaa5891724,10,Combining Statement of Operations,Combining Statement of Operations,Other expenses,1,"Versa Capital Fund II, L.P.",reporting_entity,7081a563dd4ba2719e23,PLAN_0038,Other expenses,Other expenses,,,,,,,,,,2018-03-31,USD,absolute,1,,,,,,,,,,,105328,,,,,,,,,,f41dfebc7c93a34e77cb,1,,,
ab11c04bed976f3bae2e,SRC034,01-financials,Financials,d5c42ec78baaa5891724,10,Combining Statement of Operations,Combining Statement of Operations,Other expenses,1,"Versa Capital Fund II-A, L.P.",reporting_entity,7081a563dd4ba2719e23,PLAN_0038,Other expenses,Other expenses,,,,,,,,,,2018-03-31,USD,absolute,1,,,,,,,,,,,43818,,,,,,,,,,12d2836eabb1d39e4c8b,1,,,
4274dd985210fb0ff56a,SRC034,01-financials,Financials,d5c42ec78baaa5891724,10,Combining Statement of Operations,Combining Statement of Operations,Professional fees,1,Combined Total,reporting_entity,e501a460f860939eae8e,PLAN_0041,Professional fees,Professional fees,,,,,,,,,,2018-03-31,USD,absolute,1,,,,,,,,,,,296825,,,,,,,,,,77a5f6feaadd84f7ca2f,1,,,
