wide_row_id,document_id,route,canonical_doc_type,page_id,source_page,source_section,source_table,source_row_label,source_occurrence,column_group,subject_type,subject_alias_id,subject_entity_id,subject_name,subject_standardized_name,subject_manager_name,asset_class,strategy,geography,vintage_year,horizon,as_of_date_raw,as_of_date,period_start,period_end,currency,unit_scale,unit_scale_multiplier,capital_call,return_of_capital,preferred_return,expense,interest,net_cash_flow,distribution,observation_ids,observation_count,unparsed_values,scale_note,collision_note
fee00b1c394ab798a237,SRC363,02-performance,Performance,53760376983beb853495,1,QUARTERLY SHARE VALUE AND DISTRIBUTIONS,QUARTERLY SHARE VALUE AND DISTRIBUTIONS,Distributions per Share,1,,portfolio,89bcd7d79439d19e37b8,,University Endowment Fund,,,,,,,,"June 30, 2024",2024-06-30,,,USD,absolute,1,,,,,,,0.2,5bcdf1c21e75ce35ff0d,1,,,
7c7ec039a2d34c5c013d,SRC462,06-statements-and-economics,PCAP,db905eccc0981415e2dd,1,,Statement of Partner’s Capital Account,Current income tax expense,1,,investor,bba383117ed18b2edca4,LP_0001,Northumberland County Council,Northumberland County Council acting in its capacity as the administering authority for the Northumberland County Council Pension Fund,,,,,,1st Quarter 2017,,,,2017-03-31,USD,absolute,1,,,,-55321,,,,efbfb0cad68bbcfe4723,1,,,
b86447dfbf2c9dd8eabb,SRC462,06-statements-and-economics,PCAP,db905eccc0981415e2dd,1,,Statement of Partner’s Capital Account,Current income tax expense,1,,investor,bba383117ed18b2edca4,LP_0001,Northumberland County Council,Northumberland County Council acting in its capacity as the administering authority for the Northumberland County Council Pension Fund,,,,,,Inception-to-Date,,,,2017-03-31,USD,absolute,1,,,,-2758235,,,,2b1d1936b27eb03ee792,1,,,
809a6e077d4237de59a1,SRC462,06-statements-and-economics,PCAP,db905eccc0981415e2dd,1,,Statement of Partner’s Capital Account,Current income tax expense,1,,investor,bba383117ed18b2edca4,LP_0001,Northumberland County Council,Northumberland County Council acting in its capacity as the administering authority for the Northumberland County Council Pension Fund,,,,,,Year-to-Date,,,,2017-03-31,USD,absolute,1,,,,-55321,,,,bcc2e22681637a91bac4,1,,,
b2c394f85c80d68a1417,SRC462,06-statements-and-economics,PCAP,db905eccc0981415e2dd,1,,Statement of Partner’s Capital Account,Deferred income tax benefit (expense),1,,investor,bba383117ed18b2edca4,LP_0001,Northumberland County Council,Northumberland County Council acting in its capacity as the administering authority for the Northumberland County Council Pension Fund,,,,,,1st Quarter 2017,,,,2017-03-31,USD,absolute,1,,,,-235132,,,,0a152fdf2c7a71ac40ce,1,,,
13bc844ef1299100276e,SRC462,06-statements-and-economics,PCAP,db905eccc0981415e2dd,1,,Statement of Partner’s Capital Account,Deferred income tax benefit (expense),1,,investor,bba383117ed18b2edca4,LP_0001,Northumberland County Council,Northumberland County Council acting in its capacity as the administering authority for the Northumberland County Council Pension Fund,,,,,,Inception-to-Date,,,,2017-03-31,USD,absolute,1,,,,-49571,,,,2bb0d75d4f38072e629b,1,,,
e62d32a6cca6bcadb7d7,SRC462,06-statements-and-economics,PCAP,db905eccc0981415e2dd,1,,Statement of Partner’s Capital Account,Deferred income tax benefit (expense),1,,investor,bba383117ed18b2edca4,LP_0001,Northumberland County Council,Northumberland County Council acting in its capacity as the administering authority for the Northumberland County Council Pension Fund,,,,,,Year-to-Date,,,,2017-03-31,USD,absolute,1,,,,-235132,,,,3172a03b1d2bab34b65d,1,,,
8bc6524de9e4d12844a0,SRC462,06-statements-and-economics,PCAP,db905eccc0981415e2dd,1,,Statement of Partner’s Capital Account,Interest expense,1,,investor,bba383117ed18b2edca4,LP_0001,Northumberland County Council,Northumberland County Council acting in its capacity as the administering authority for the Northumberland County Council Pension Fund,,,,,,1st Quarter 2017,,,,2017-03-31,USD,absolute,1,,,,,-6961,,,754a7f9d7be2727c72b5,1,,,
d185c1732e1efc5c072e,SRC462,06-statements-and-economics,PCAP,db905eccc0981415e2dd,1,,Statement of Partner’s Capital Account,Interest expense,1,,investor,bba383117ed18b2edca4,LP_0001,Northumberland County Council,Northumberland County Council acting in its capacity as the administering authority for the Northumberland County Council Pension Fund,,,,,,Inception-to-Date,,,,2017-03-31,USD,absolute,1,,,,,-131041,,,ee4a4a7cc8ec6ca85377,1,,,
799b18cf14717b79706a,SRC462,06-statements-and-economics,PCAP,db905eccc0981415e2dd,1,,Statement of Partner’s Capital Account,Interest expense,1,,investor,bba383117ed18b2edca4,LP_0001,Northumberland County Council,Northumberland County Council acting in its capacity as the administering authority for the Northumberland County Council Pension Fund,,,,,,Year-to-Date,,,,2017-03-31,USD,absolute,1,,,,,-6961,,,77cf7536888237b724e1,1,,,
d1c2e4f919296f260a0c,SRC462,06-statements-and-economics,PCAP,db905eccc0981415e2dd,1,,Statement of Partner’s Capital Account,Net income tax benefit (expense),1,,investor,bba383117ed18b2edca4,LP_0001,Northumberland County Council,Northumberland County Council acting in its capacity as the administering authority for the Northumberland County Council Pension Fund,,,,,,1st Quarter 2017,,,,2017-03-31,USD,absolute,1,,,,-290453,,,,3ffa4b6cbde0d1adbeaa,1,,,
fdc2d54a536b9f57d6cc,SRC462,06-statements-and-economics,PCAP,db905eccc0981415e2dd,1,,Statement of Partner’s Capital Account,Net income tax benefit (expense),1,,investor,bba383117ed18b2edca4,LP_0001,Northumberland County Council,Northumberland County Council acting in its capacity as the administering authority for the Northumberland County Council Pension Fund,,,,,,Inception-to-Date,,,,2017-03-31,USD,absolute,1,,,,-2807806,,,,284f9390ad69c8b2ca4a,1,,,
c023c959f94c79b918c9,SRC462,06-statements-and-economics,PCAP,db905eccc0981415e2dd,1,,Statement of Partner’s Capital Account,Net income tax benefit (expense),1,,investor,bba383117ed18b2edca4,LP_0001,Northumberland County Council,Northumberland County Council acting in its capacity as the administering authority for the Northumberland County Council Pension Fund,,,,,,Year-to-Date,,,,2017-03-31,USD,absolute,1,,,,-290453,,,,548f3d6fa44ec09b3951,1,,,
e78013f0717caa6b85b7,SRC462,06-statements-and-economics,PCAP,db905eccc0981415e2dd,1,,Statement of Partner’s Capital Account,Offering and organizational expenses,1,,investor,bba383117ed18b2edca4,LP_0001,Northumberland County Council,Northumberland County Council acting in its capacity as the administering authority for the Northumberland County Council Pension Fund,,,,,,Inception-to-Date,,,,2017-03-31,USD,absolute,1,,,,-59460,,,,b6472a25f10794ef122a,1,,,
ee6f191fa0d7dcd60cdf,SRC462,06-statements-and-economics,PCAP,db905eccc0981415e2dd,1,,Statement of Partner’s Capital Account,Partnership expenses,1,,investor,bba383117ed18b2edca4,LP_0001,Northumberland County Council,Northumberland County Council acting in its capacity as the administering authority for the Northumberland County Council Pension Fund,,,,,,1st Quarter 2017,,,,2017-03-31,USD,absolute,1,,,,-6691,,,,82aabf4f99c6e5d2738d,1,,,
99bb063f20b2374899ae,SRC462,06-statements-and-economics,PCAP,db905eccc0981415e2dd,1,,Statement of Partner’s Capital Account,Partnership expenses,1,,investor,bba383117ed18b2edca4,LP_0001,Northumberland County Council,Northumberland County Council acting in its capacity as the administering authority for the Northumberland County Council Pension Fund,,,,,,Inception-to-Date,,,,2017-03-31,USD,absolute,1,,,,-432674,,,,b9f91ce6ee4d531969c4,1,,,
00f88fedc39c29b22efd,SRC462,06-statements-and-economics,PCAP,db905eccc0981415e2dd,1,,Statement of Partner’s Capital Account,Partnership expenses,1,,investor,bba383117ed18b2edca4,LP_0001,Northumberland County Council,Northumberland County Council acting in its capacity as the administering authority for the Northumberland County Council Pension Fund,,,,,,Year-to-Date,,,,2017-03-31,USD,absolute,1,,,,-6691,,,,f90a63fa16abc09f6804,1,,,
