wide_row_id,document_id,route,canonical_doc_type,page_id,source_page,source_section,source_table,source_row_label,source_occurrence,column_group,subject_type,subject_alias_id,subject_entity_id,subject_name,subject_standardized_name,subject_manager_name,asset_class,strategy,geography,vintage_year,horizon,as_of_date_raw,as_of_date,period_start,period_end,currency,unit_scale,unit_scale_multiplier,quantity,cost,fair_value,market_value,notional,portfolio_weight,interest_rate,maturity_date,observation_ids,observation_count,unparsed_values,scale_note,collision_note
e387d0d78d1b22df572c,SRC034,01-financials,Financials,fd18d421ead487521a9a,4,Combined Schedule of Investments,Combined Schedule of Investments,REDACTED,1,,investment,,,REDACTED,,,Defense,,"Philadelphia, PA",2009,,"March 31, 2018",2018-03-31,,,,absolute,1,,89000000,150000000,,,34.22,,,c0382c3e21afbdf80451;eeafbc0b5b57f6adcc5b;55c71a354ce9583abfc3,3,,,
500d63dfbb25c8c8d666,SRC034,01-financials,Financials,fd18d421ead487521a9a,4,Combined Schedule of Investments,Combined Schedule of Investments,REDACTED,2,,investment,,,REDACTED,,,Retail,,"Rochelle Park, NJ",2012,,"March 31, 2018",2018-03-31,,,,absolute,1,,3073705,45000000,,,10.26,,,d3b29abe7a965d72ce3c;0e1a197ffe06bf47841b;9fe719ee5c6dcbc7cf62,3,,,
d9cf1519eaa8a02f6222,SRC034,01-financials,Financials,fd18d421ead487521a9a,4,Combined Schedule of Investments,Combined Schedule of Investments,REDACTED,3,,investment,,,REDACTED,,,Commercial Equip. & Services,,"Durham, NC & Rochester, NY",2011,,"March 31, 2018",2018-03-31,,,,absolute,1,,43204400,90000000,,,20.53,,,391ce5f4fc89a7cc8fed;2da4e73e6f300c12d17d;5430aea4b7a559aa3dac,3,,,
c7f8bc3555f7909f9100,SRC034,01-financials,Financials,fd18d421ead487521a9a,4,Combined Schedule of Investments,Combined Schedule of Investments,REDACTED,4,,investment,,,REDACTED,,,Hospitality,,"Herndon, VA",2013,,"March 31, 2018",2018-03-31,,,,absolute,1,,43376204,93000000,,,21.21,,,4fabe15ddc3855edbb47;b1c88a180bffcf32a854;38dd051f7ec4aee2336f,3,,,
36ddf9969b5ffebabc27,SRC034,01-financials,Financials,fd18d421ead487521a9a,4,Combined Schedule of Investments,Combined Schedule of Investments,REDACTED,5,,investment,,,REDACTED,,,Media,,"Charlotte, NC",2011,,"March 31, 2018",2018-03-31,,,,absolute,1,,49457930,3000000,,,0.68,,,9f21df366069298c5133;3f2c9a09b40fb821a54b;33467ee1682e36685ac9,3,,,
9b65d498b277debecff4,SRC034,01-financials,Financials,fd18d421ead487521a9a,4,Combined Schedule of Investments,Combined Schedule of Investments,REDACTED,6,,investment,,,REDACTED,,,Manufacturing,,"New Bern, NC",2013,,"March 31, 2018",2018-03-31,,,,absolute,1,,34813999,43000000,,,9.81,,,c928a37f2244812fddc0;45953593086ec10d3a77;a3d121a9fca604dc1bec,3,,,
c893921918a17ae5a847,SRC034,01-financials,Financials,fd18d421ead487521a9a,4,Combined Schedule of Investments,Combined Schedule of Investments,REDACTED,7,,investment,,,REDACTED,,,Retail,,"Meriden, CT",2008,,"March 31, 2018",2018-03-31,,,,absolute,1,,152562871,1000000,,,0.23,,,fe145196badce8ccf24c;e00d41cf3b0bd16275fb;0581838b2e2d8abe6324,3,,,
50c584779201a7531339,SRC192,03-institutional-report,Institutional_Report,b8d5bf56addec5df8757,5,Defined Benefit Investments (Continued),Largest Debt Securities Holdings,CRC CF 5/4/2026,1,,investment,d18862792b0a08a72b3e,CO_0007,CRC CF 5/4/2026,CRC CF 5/4/2026,,Debt securities,,,,,"December 31, 2021",2021-12-31,,,USD,absolute,1,,,38668500,,39000000,,,,85456ca8b97b4717594d;2f373ec19545cbf73762,2,,,
82a7607d79cca6727dab,SRC192,03-institutional-report,Institutional_Report,b8d5bf56addec5df8757,5,Defined Benefit Investments (Continued),Largest Debt Securities Holdings,FNMA Single Family Mortgage 0% 1/2022,1,,investment,58aa524c2faa26ed049f,CO_0013,FNMA Single Family Mortgage 0% 1/2022,FNMA Single Family Mortgage 0% 1/2022,,Debt securities,,,,,"December 31, 2021",2021-12-31,,,USD,absolute,1,,,32818434,,31681960,,,,7b5c4077b4a119861b87;c4b5f7b311381d08f4cd,2,,,
d64bbb0a7a60e2745b47,SRC192,03-institutional-report,Institutional_Report,b8d5bf56addec5df8757,5,Defined Benefit Investments (Continued),Largest Debt Securities Holdings,FNMA Single Family Mortgage 0% 2/2022,1,,investment,2517289b8c1c28804954,CO_0014,FNMA Single Family Mortgage 0% 2/2022,FNMA Single Family Mortgage 0% 2/2022,,Debt securities,,,,,"December 31, 2021",2021-12-31,,,USD,absolute,1,,,248093513,,246127000,,,,ea9a2f62bd264b7eae75;ae4968202f19578a1b23,2,,,
330d5c6e7cc3f480c1af,SRC192,03-institutional-report,Institutional_Report,b8d5bf56addec5df8757,5,Defined Benefit Investments (Continued),Largest Debt Securities Holdings,FNMA Single Family Mortgage 3.0% 1/2022,1,,investment,8e91aceed0729bb820f1,CO_0015,FNMA Single Family Mortgage 3.0% 1/2022,FNMA Single Family Mortgage 3.0% 1/2022,,Debt securities,,,,,"December 31, 2021",2021-12-31,,,USD,absolute,1,,,37249844,,35940000,,,,dca6d858d23e6a7521da;205f198cc258d074f437,2,,,
