wide_row_id,document_id,route,canonical_doc_type,page_id,source_page,source_section,source_table,source_row_label,source_occurrence,column_group,subject_type,subject_alias_id,subject_entity_id,subject_name,subject_standardized_name,subject_manager_name,asset_class,strategy,geography,vintage_year,horizon,as_of_date_raw,as_of_date,period_start,period_end,currency,unit_scale,unit_scale_multiplier,management_fee,performance_fee,cost_bps,offset,fee_benchmark,nav_aum_denominator,observation_ids,observation_count,unparsed_values,scale_note,collision_note
e7ee1778912488c89047,SRC028,06-statements-and-economics,Fee_Report,3c984c550e0c5ccb8335,1,PSERS Base Management Fees – External Management,PSERS Base Management Fees – External Management,Absolute Return,1,Adjusted Base Mgmt Fees,asset_class,23c57394f80ea8a0e779,,Absolute Return,,,,,,,,"June 30, 2017",2017-06-30,,,,absolute,1,"75,577,000",,,,,,a2b6efb15f36644affa9,1,,,
ea5a4157422ffcae429e,SRC028,06-statements-and-economics,Fee_Report,3c984c550e0c5ccb8335,1,PSERS Base Management Fees – External Management,PSERS Base Management Fees – External Management,Absolute Return,1,Adjusted External Net Assets @ 6/30/17,asset_class,23c57394f80ea8a0e779,,Absolute Return,,,,,,,,"June 30, 2017",2017-06-30,,,,absolute,1,,,,,,5082149000,d439605cd0da9688a46e,1,,,
17980bbbcb8e9d52bc70,SRC028,06-statements-and-economics,Fee_Report,3c984c550e0c5ccb8335,1,PSERS Base Management Fees – External Management,PSERS Base Management Fees – External Management,Absolute Return,1,Adjustments,asset_class,23c57394f80ea8a0e779,,Absolute Return,,,,,,,,"June 30, 2017",2017-06-30,,,,absolute,1,,,,-2625000,,,c298f5ad15910626719e,1,,,
62ad6850420ea5b3f8d4,SRC028,06-statements-and-economics,Fee_Report,3c984c550e0c5ccb8335,1,PSERS Base Management Fees – External Management,PSERS Base Management Fees – External Management,Absolute Return,1,CAFR,asset_class,23c57394f80ea8a0e779,,Absolute Return,,,,,,,,"June 30, 2017",2017-06-30,,,,absolute,1,"78,202,000",,,,,,79ccd8db39319f38cb95,1,,,
c6e4204a6df10c5620c0,SRC028,06-statements-and-economics,Fee_Report,3c984c550e0c5ccb8335,1,PSERS Base Management Fees – External Management,PSERS Base Management Fees – External Management,Absolute Return,1,Current Base Mgmt Fee (bps),asset_class,23c57394f80ea8a0e779,,Absolute Return,,,,,,,,"June 30, 2017",2017-06-30,,,,absolute,1,,,149,,,,67463fdc460f1a557809,1,,,
042a4e1c385af63c5e2e,SRC028,06-statements-and-economics,Fee_Report,3c984c550e0c5ccb8335,1,PSERS Base Management Fees – External Management,PSERS Base Management Fees – External Management,Absolute Return,1,Institutional Fee Median,asset_class,23c57394f80ea8a0e779,,Absolute Return,,,,,,,,"June 30, 2017",2017-06-30,,,,absolute,1,,,,,123,,3e4ad24f633cf449814b,1,,,
1ced92b8c0fca14568cb,SRC028,06-statements-and-economics,Fee_Report,3c984c550e0c5ccb8335,1,PSERS Base Management Fees – External Management,PSERS Base Management Fees – External Management,Commodities,1,Adjusted Base Mgmt Fees,asset_class,7745e976b4f6f9c59cba,,Commodities,,,,,,,,"June 30, 2017",2017-06-30,,,,absolute,1,"6,757,000",,,,,,12b43ddf11bc8e4b1620,1,,,
bc4ac2b003ec522cc879,SRC028,06-statements-and-economics,Fee_Report,3c984c550e0c5ccb8335,1,PSERS Base Management Fees – External Management,PSERS Base Management Fees – External Management,Commodities,1,Adjusted External Net Assets @ 6/30/17,asset_class,7745e976b4f6f9c59cba,,Commodities,,,,,,,,"June 30, 2017",2017-06-30,,,,absolute,1,,,,,,990835000,c8d3b3c5d46cb17b4886,1,,,
be2cee852b69403a3b87,SRC028,06-statements-and-economics,Fee_Report,3c984c550e0c5ccb8335,1,PSERS Base Management Fees – External Management,PSERS Base Management Fees – External Management,Commodities,1,Adjustments,asset_class,7745e976b4f6f9c59cba,,Commodities,,,,,,,,"June 30, 2017",2017-06-30,,,,absolute,1,,,,2625000,,,1503dbcfba53bab8fd8d,1,,,
a2469075551c8175772c,SRC028,06-statements-and-economics,Fee_Report,3c984c550e0c5ccb8335,1,PSERS Base Management Fees – External Management,PSERS Base Management Fees – External Management,Commodities,1,CAFR,asset_class,7745e976b4f6f9c59cba,,Commodities,,,,,,,,"June 30, 2017",2017-06-30,,,,absolute,1,"4,132,000",,,,,,1a923ebc39e2e24b4b45,1,,,
f41034b3a32370dee5df,SRC028,06-statements-and-economics,Fee_Report,3c984c550e0c5ccb8335,1,PSERS Base Management Fees – External Management,PSERS Base Management Fees – External Management,Commodities,1,Current Base Mgmt Fee (bps),asset_class,7745e976b4f6f9c59cba,,Commodities,,,,,,,,"June 30, 2017",2017-06-30,,,,absolute,1,,,68,,,,6e0f8c1917f1982fecdd,1,,,
84187b38977fe3c4b8bd,SRC028,06-statements-and-economics,Fee_Report,3c984c550e0c5ccb8335,1,PSERS Base Management Fees – External Management,PSERS Base Management Fees – External Management,Commodities,1,Institutional Fee Median,asset_class,7745e976b4f6f9c59cba,,Commodities,,,,,,,,"June 30, 2017",2017-06-30,,,,absolute,1,,,,,75,,22f7873034981c71c6f1,1,,,
a7848bed33a5d723e25f,SRC028,06-statements-and-economics,Fee_Report,3c984c550e0c5ccb8335,1,PSERS Base Management Fees – External Management,PSERS Base Management Fees – External Management,Emerging Markets,1,Adjusted Base Mgmt Fees,asset_class,c7e5adb9fb5598106707,,Emerging Markets,,,Fixed Income,,,,,"June 30, 2017",2017-06-30,,,,absolute,1,"1,669,000",,,,,,8266baebc128949f038a,1,,,
264a88512d2621931560,SRC028,06-statements-and-economics,Fee_Report,3c984c550e0c5ccb8335,1,PSERS Base Management Fees – External Management,PSERS Base Management Fees – External Management,Emerging Markets,1,Adjusted External Net Assets @ 6/30/17,asset_class,c7e5adb9fb5598106707,,Emerging Markets,,,Fixed Income,,,,,"June 30, 2017",2017-06-30,,,,absolute,1,,,,,,345980000,b49e906f4eb79988c426,1,,,
