wide_row_id,document_id,route,canonical_doc_type,page_id,source_page,source_section,source_table,source_row_label,source_occurrence,column_group,subject_type,subject_alias_id,subject_entity_id,subject_name,subject_standardized_name,subject_manager_name,asset_class,strategy,geography,vintage_year,horizon,as_of_date_raw,as_of_date,period_start,period_end,currency,unit_scale,unit_scale_multiplier,nav_per_share,shares_units,transaction_price,nav_component,repurchase_limit,request_satisfaction,valuation_assumption,valuation_sensitivity,nav,observation_ids,observation_count,unparsed_values,scale_note,collision_note
242c5d3264b146c6ea94,SRC247,06-statements-and-economics,NAV_Statement,330378ab203472d46720,1,"July 1, 2024 Transaction Price","July 1, 2024 Transaction Price",Class D,1,,other_printed_scope,0ec53c7924339c978018,,Class D,,,,,,,,"July 1, 2024",2024-07-01,,,USD,absolute,1,,,22.5,,,,,,,13bca1aa42a0405c48ca,1,,,
e95ac7fede6d13e7ae29,SRC247,06-statements-and-economics,NAV_Statement,330378ab203472d46720,1,"July 1, 2024 Transaction Price","July 1, 2024 Transaction Price",Class I,1,,other_printed_scope,9a8be8c7b6479a722db1,,Class I,,,,,,,,"July 1, 2024",2024-07-01,,,USD,absolute,1,,,22.75,,,,,,,cc0c35fbb5c12e882a1f,1,,,
de0591aade039d241a97,SRC247,06-statements-and-economics,NAV_Statement,330378ab203472d46720,1,"July 1, 2024 Transaction Price","July 1, 2024 Transaction Price",Class S,1,,other_printed_scope,b1895fd10231ca22004e,,Class S,,,,,,,,"July 1, 2024",2024-07-01,,,USD,absolute,1,,,22.94,,,,,,,6cbbb7e7debdbd68b773,1,,,
fed79b18859a3b7018ac,SRC247,06-statements-and-economics,NAV_Statement,330378ab203472d46720,1,"July 1, 2024 Transaction Price","July 1, 2024 Transaction Price",Class T,1,,other_printed_scope,4e53f5c0e06e0999937b,,Class T,,,,,,,,"July 1, 2024",2024-07-01,,,USD,absolute,1,,,22.95,,,,,,,2f1c39e8a60fb70710a4,1,,,
aae5ff148758319f56d6,SRC247,06-statements-and-economics,NAV_Statement,62948ab97760298f4576,2,,Components of NAV,Accrued stockholder servicing fees,1,,reporting_entity,7cfbb56a26f14d381253,PLAN_0044,"Starwood Real Estate Income Trust, Inc.","Starwood Real Estate Income Trust, Inc.","Starwood REIT Advisors, L.L.C.",,,,,,"May 31, 2024",2024-05-31,,,USD,thousands,1000,,,,-3253,,,,,,f6e3ab1891d000440768,1,,,
2a68b78af8f33c5eae76,SRC247,06-statements-and-economics,NAV_Statement,62948ab97760298f4576,2,,Components of NAV,Cash and cash equivalents,1,,reporting_entity,7cfbb56a26f14d381253,PLAN_0044,"Starwood Real Estate Income Trust, Inc.","Starwood Real Estate Income Trust, Inc.","Starwood REIT Advisors, L.L.C.",,,,,,"May 31, 2024",2024-05-31,,,USD,thousands,1000,,,,308679,,,,,,f530d1d0c4916d1cf9b9,1,,,
6f45cdea81d960e827d3,SRC247,06-statements-and-economics,NAV_Statement,62948ab97760298f4576,2,,Components of NAV,Debt obligations,1,,reporting_entity,7cfbb56a26f14d381253,PLAN_0044,"Starwood Real Estate Income Trust, Inc.","Starwood Real Estate Income Trust, Inc.","Starwood REIT Advisors, L.L.C.",,,,,,"May 31, 2024",2024-05-31,,,USD,thousands,1000,,,,-12564489,,,,,,3e8e78d0b7c0ef8d272a,1,,,
62ca7f13ce81cbec51df,SRC247,06-statements-and-economics,NAV_Statement,62948ab97760298f4576,2,,Components of NAV,Investments in real estate,1,,reporting_entity,7cfbb56a26f14d381253,PLAN_0044,"Starwood Real Estate Income Trust, Inc.","Starwood Real Estate Income Trust, Inc.","Starwood REIT Advisors, L.L.C.",,,,,,"May 31, 2024",2024-05-31,,,USD,thousands,1000,,,,22364153,,,,,,960ec6a218316ac12173,1,,,
4a66fcbc2c79de90c94a,SRC247,06-statements-and-economics,NAV_Statement,62948ab97760298f4576,2,,Components of NAV,Investments in real estate debt,1,,reporting_entity,7cfbb56a26f14d381253,PLAN_0044,"Starwood Real Estate Income Trust, Inc.","Starwood Real Estate Income Trust, Inc.","Starwood REIT Advisors, L.L.C.",,,,,,"May 31, 2024",2024-05-31,,,USD,thousands,1000,,,,1026650,,,,,,10e152d665d499542785,1,,,
ac99ea9429cd7847028b,SRC247,06-statements-and-economics,NAV_Statement,62948ab97760298f4576,2,,Components of NAV,Management fee payable,1,,reporting_entity,7cfbb56a26f14d381253,PLAN_0044,"Starwood Real Estate Income Trust, Inc.","Starwood Real Estate Income Trust, Inc.","Starwood REIT Advisors, L.L.C.",,,,,,"May 31, 2024",2024-05-31,,,USD,thousands,1000,,,,-8125,,,,,,f2531e0afc61aff6988e,1,,,
d4a42315bd045887a63b,SRC247,06-statements-and-economics,NAV_Statement,62948ab97760298f4576,2,,Components of NAV,Net asset value,1,,reporting_entity,7cfbb56a26f14d381253,PLAN_0044,"Starwood Real Estate Income Trust, Inc.","Starwood Real Estate Income Trust, Inc.","Starwood REIT Advisors, L.L.C.",,,,,,"May 31, 2024",2024-05-31,,,USD,thousands,1000,,,,,,,,,9694639,f3c8a2ac4636bc0f645e,1,,,
3d417bc3d051212512c6,SRC247,06-statements-and-economics,NAV_Statement,62948ab97760298f4576,2,,Components of NAV,Non-controlling interests in consolidated joint ventures,1,,reporting_entity,7cfbb56a26f14d381253,PLAN_0044,"Starwood Real Estate Income Trust, Inc.","Starwood Real Estate Income Trust, Inc.","Starwood REIT Advisors, L.L.C.",,,,,,"May 31, 2024",2024-05-31,,,USD,thousands,1000,,,,-79257,,,,,,9f8da394e5e4b51c9b52,1,,,
290a344d651d40e2aa24,SRC247,06-statements-and-economics,NAV_Statement,62948ab97760298f4576,2,,Components of NAV,Number of outstanding shares/units,1,,reporting_entity,7cfbb56a26f14d381253,PLAN_0044,"Starwood Real Estate Income Trust, Inc.","Starwood Real Estate Income Trust, Inc.","Starwood REIT Advisors, L.L.C.",,,,,,"May 31, 2024",2024-05-31,,,USD,thousands,1000,,424836,,,,,,,,25133e8dd16d376b316a,1,,,
d21231ae6811f7b61f35,SRC247,06-statements-and-economics,NAV_Statement,62948ab97760298f4576,2,,Components of NAV,Other assets,1,,reporting_entity,7cfbb56a26f14d381253,PLAN_0044,"Starwood Real Estate Income Trust, Inc.","Starwood Real Estate Income Trust, Inc.","Starwood REIT Advisors, L.L.C.",,,,,,"May 31, 2024",2024-05-31,,,USD,thousands,1000,,,,714964,,,,,,24a4a76125cedd276855,1,,,
4bd135780eeea44d1bbd,SRC247,06-statements-and-economics,NAV_Statement,62948ab97760298f4576,2,,Components of NAV,Other liabilities,1,,reporting_entity,7cfbb56a26f14d381253,PLAN_0044,"Starwood Real Estate Income Trust, Inc.","Starwood Real Estate Income Trust, Inc.","Starwood REIT Advisors, L.L.C.",,,,,,"May 31, 2024",2024-05-31,,,USD,thousands,1000,,,,-1723327,,,,,,6f1f0fb7e0db79ed2e75,1,,,
559ebd63dde59a756e56,SRC247,06-statements-and-economics,NAV_Statement,62948ab97760298f4576,2,,Components of NAV,Restricted cash,1,,reporting_entity,7cfbb56a26f14d381253,PLAN_0044,"Starwood Real Estate Income Trust, Inc.","Starwood Real Estate Income Trust, Inc.","Starwood REIT Advisors, L.L.C.",,,,,,"May 31, 2024",2024-05-31,,,USD,thousands,1000,,,,225469,,,,,,9608dcee7aedb9684767,1,,,
35b81cd2ac2384ae3174,SRC247,06-statements-and-economics,NAV_Statement,62948ab97760298f4576,2,,Components of NAV,Secured financings on investments in real estate debt,1,,reporting_entity,7cfbb56a26f14d381253,PLAN_0044,"Starwood Real Estate Income Trust, Inc.","Starwood Real Estate Income Trust, Inc.","Starwood REIT Advisors, L.L.C.",,,,,,"May 31, 2024",2024-05-31,,,USD,thousands,1000,,,,-565022,,,,,,353075769f1f8a849b75,1,,,
c6d35f6c67c382bcd3c3,SRC247,06-statements-and-economics,NAV_Statement,62948ab97760298f4576,2,,Components of NAV,Subscriptions received in advance,1,,reporting_entity,7cfbb56a26f14d381253,PLAN_0044,"Starwood Real Estate Income Trust, Inc.","Starwood Real Estate Income Trust, Inc.","Starwood REIT Advisors, L.L.C.",,,,,,"May 31, 2024",2024-05-31,,,USD,thousands,1000,,,,-1803,,,,,,688124c4791c24b848a9,1,,,
25628d06aae70927ab82,SRC247,06-statements-and-economics,NAV_Statement,62948ab97760298f4576,2,,NAV Per Share,"NAV Per Share/Unit as of May 31, 2024",1,Class D Shares,other_printed_scope,0ec53c7924339c978018,,Class D,,,,,,,,"May 31, 2024",2024-05-31,,,USD,absolute,1,22.5,,,,,,,,,3d71fbde41059a19409a,1,,,
f99b981a5c506cb11b97,SRC247,06-statements-and-economics,NAV_Statement,62948ab97760298f4576,2,,NAV Per Share,"NAV Per Share/Unit as of May 31, 2024",1,Class I Shares,other_printed_scope,9a8be8c7b6479a722db1,,Class I,,,,,,,,"May 31, 2024",2024-05-31,,,USD,absolute,1,22.75,,,,,,,,,a3f6b0e08874eecffd79,1,,,
ae70b30b9229cd7180d3,SRC247,06-statements-and-economics,NAV_Statement,62948ab97760298f4576,2,,NAV Per Share,"NAV Per Share/Unit as of May 31, 2024",1,Class S Shares,other_printed_scope,b1895fd10231ca22004e,,Class S,,,,,,,,"May 31, 2024",2024-05-31,,,USD,absolute,1,22.94,,,,,,,,,76670b555a1b16ca230c,1,,,
9aaca30e95b7c1d6b5db,SRC247,06-statements-and-economics,NAV_Statement,62948ab97760298f4576,2,,NAV Per Share,"NAV Per Share/Unit as of May 31, 2024",1,Class T Shares,other_printed_scope,4e53f5c0e06e0999937b,,Class T,,,,,,,,"May 31, 2024",2024-05-31,,,USD,absolute,1,22.95,,,,,,,,,16d87efac36c77b73095,1,,,
08beede802394bb5d75b,SRC247,06-statements-and-economics,NAV_Statement,62948ab97760298f4576,2,,NAV Per Share,"NAV Per Share/Unit as of May 31, 2024",1,Third-party Operating Partnership Units,other_printed_scope,dcaebd1f410e89aa99be,,Third-party Operating Partnership Units,,,,,,,,"May 31, 2024",2024-05-31,,,USD,absolute,1,22.75,,,,,,,,,143b052d2af86dcd43dc,1,,,
4ab54d33e55d8f0e8c0a,SRC247,06-statements-and-economics,NAV_Statement,62948ab97760298f4576,2,,NAV Per Share,Net asset value,1,Class D Shares,other_printed_scope,0ec53c7924339c978018,,Class D,,,,,,,,"May 31, 2024",2024-05-31,,,USD,thousands,1000,,,,,,,,,588210,c9a968497de52faccb70,1,,,
c9cdd3193185a06a3cc8,SRC247,06-statements-and-economics,NAV_Statement,62948ab97760298f4576,2,,NAV Per Share,Net asset value,1,Class I Shares,other_printed_scope,9a8be8c7b6479a722db1,,Class I,,,,,,,,"May 31, 2024",2024-05-31,,,USD,thousands,1000,,,,,,,,,4327102,88df6decdaf72f591a74,1,,,
11154089e73e3ba4503d,SRC247,06-statements-and-economics,NAV_Statement,62948ab97760298f4576,2,,NAV Per Share,Net asset value,1,Class S Shares,other_printed_scope,b1895fd10231ca22004e,,Class S,,,,,,,,"May 31, 2024",2024-05-31,,,USD,thousands,1000,,,,,,,,,4204636,a6cab97a181ea3846629,1,,,
26c9e18a087d6c8a2970,SRC247,06-statements-and-economics,NAV_Statement,62948ab97760298f4576,2,,NAV Per Share,Net asset value,1,Class T Shares,other_printed_scope,4e53f5c0e06e0999937b,,Class T,,,,,,,,"May 31, 2024",2024-05-31,,,USD,thousands,1000,,,,,,,,,117869,5529d51d328bd2877c33,1,,,
01d15f32b93d879804bf,SRC247,06-statements-and-economics,NAV_Statement,62948ab97760298f4576,2,,NAV Per Share,Net asset value,1,Third-party Operating Partnership Units,other_printed_scope,dcaebd1f410e89aa99be,,Third-party Operating Partnership Units,,,,,,,,"May 31, 2024",2024-05-31,,,USD,thousands,1000,,,,,,,,,456822,f8b065f6cbe7dffa7664,1,,,
4210b5f4b2ea8dfbc47c,SRC247,06-statements-and-economics,NAV_Statement,62948ab97760298f4576,2,,NAV Per Share,Net asset value,1,Total,reporting_entity,7cfbb56a26f14d381253,PLAN_0044,"Starwood Real Estate Income Trust, Inc.","Starwood Real Estate Income Trust, Inc.","Starwood REIT Advisors, L.L.C.",,,,,,"May 31, 2024",2024-05-31,,,USD,thousands,1000,,,,,,,,,9694639,f7fe9dfe73f81a36c7d6,1,,,
36e90d1147db91fd819d,SRC247,06-statements-and-economics,NAV_Statement,62948ab97760298f4576,2,,NAV Per Share,Number of outstanding shares/units,1,Class D Shares,other_printed_scope,0ec53c7924339c978018,,Class D,,,,,,,,"May 31, 2024",2024-05-31,,,USD,thousands,1000,,26143,,,,,,,,5e2f721e8c2532ba2c76,1,,,
2ccfc9d9bc80286ca8fa,SRC247,06-statements-and-economics,NAV_Statement,62948ab97760298f4576,2,,NAV Per Share,Number of outstanding shares/units,1,Class I Shares,other_printed_scope,9a8be8c7b6479a722db1,,Class I,,,,,,,,"May 31, 2024",2024-05-31,,,USD,thousands,1000,,190178,,,,,,,,ba75d6c934b1ebb5b5fa,1,,,
1b45fb116412de56cd94,SRC247,06-statements-and-economics,NAV_Statement,62948ab97760298f4576,2,,NAV Per Share,Number of outstanding shares/units,1,Class S Shares,other_printed_scope,b1895fd10231ca22004e,,Class S,,,,,,,,"May 31, 2024",2024-05-31,,,USD,thousands,1000,,183302,,,,,,,,ab689c4f74eda03341b7,1,,,
