wide_row_id,document_id,route,canonical_doc_type,page_id,source_page,source_section,source_table,source_row_label,source_occurrence,column_group,subject_type,subject_alias_id,subject_entity_id,subject_name,subject_standardized_name,subject_manager_name,asset_class,strategy,geography,vintage_year,horizon,as_of_date_raw,as_of_date,period_start,period_end,currency,unit_scale,unit_scale_multiplier,method,frequency,valuer,oversight,independent_review,enterprise_value,observation_ids,observation_count,unparsed_values,scale_note,collision_note
2de085b59f4ce8a3fbdd,SRC132,06-statements-and-economics,Valuation,fe06e6857899c6873eb7,1,FREQUENT REVALUATIONS,FREQUENT REVALUATIONS,NAV calculation frequency,1,,fund,16918998b152a1f113cd,FUND_0674,JLL Income Property Trust,JLL Income Property Trust,"LaSalle Investment Management, Inc.",,,,,,,,,,,absolute,1,,daily,,,,,64b1488a57f2c7d9a5a8,1,,,
15052bb0b29d7802c8a6,SRC132,06-statements-and-economics,Valuation,fe06e6857899c6873eb7,1,FREQUENT REVALUATIONS,FREQUENT REVALUATIONS,NAV publication days per year,1,,fund,16918998b152a1f113cd,FUND_0674,JLL Income Property Trust,JLL Income Property Trust,"LaSalle Investment Management, Inc.",,,,,,,,,,,absolute,1,,250,,,,,cf79e72321276883c3c4,1,,,
3c3d0a7abeb009815cf9,SRC132,06-statements-and-economics,Valuation,fe06e6857899c6873eb7,1,FREQUENT REVALUATIONS,FREQUENT REVALUATIONS,Peer NAV calculation and publication frequency,1,,peer_group,bf66c69e00c47077fbbb,,monthly NAV REIT peers,,,,,,,,,,,,,absolute,1,,12 times per year,,,,,30a4a4d7b976ca96f25d,1,,,
5a04a5bcb33fb772e052,SRC132,06-statements-and-economics,Valuation,fe06e6857899c6873eb7,1,INSTITUTIONAL METHODOLOGY,INSTITUTIONAL METHODOLOGY,Administration of the valuation guidelines,1,,fund,16918998b152a1f113cd,FUND_0674,JLL Income Property Trust,JLL Income Property Trust,"LaSalle Investment Management, Inc.",,,,,,,,,,,absolute,1,,,"administered by our advisor and, with respect to the valuation of our properties, our independent valuation advisor",,,,8c7142c2ba5dbb239789,1,,,
8e0def4c3b0925d4a533,SRC132,06-statements-and-economics,Valuation,fe06e6857899c6873eb7,1,INSTITUTIONAL METHODOLOGY,INSTITUTIONAL METHODOLOGY,Valuation guidelines oversight,1,,fund,16918998b152a1f113cd,FUND_0674,JLL Income Property Trust,JLL Income Property Trust,"LaSalle Investment Management, Inc.",,,,,,,,,,,absolute,1,,,,"JLL Income Property Trust’s board of directors, including a majority of our independent directors, has adopted valuation guidelines that contain a comprehensive set of practices to be used in connection with the calculation of our NAV",,,e091eed990f3f9ba4631,1,,,
d377331b3278615c9b4b,SRC132,06-statements-and-economics,Valuation,fe06e6857899c6873eb7,1,INSTITUTIONAL METHODOLOGY,INSTITUTIONAL METHODOLOGY,Valuation principle,1,,fund,16918998b152a1f113cd,FUND_0674,JLL Income Property Trust,JLL Income Property Trust,"LaSalle Investment Management, Inc.",,,,,,,,,,,absolute,1,to produce a valuation that represents a fair and accurate estimate of the value of our investments or the price that would be received for our investments in an arm’s-length transaction between market participants,,,,,,d596a7ca57ec989b48d9,1,,,
8b6377a7a6862dd728ae,SRC132,06-statements-and-economics,Valuation,c5c3543f9beddb0104a3,2,APPRAISAL BASED METHODOLOGY — PROOF POINT,APPRAISAL BASED METHODOLOGY — PROOF POINT,Disposition price versus most recent third-party appraised value,1,,fund,16918998b152a1f113cd,FUND_0674,JLL Income Property Trust,JLL Income Property Trust,"LaSalle Investment Management, Inc.",,,,,,,,,,,absolute,1,,,,,1%,,69d5dbc33542c0da2789,1,,,
8401a4e8dd22acca7290,SRC132,06-statements-and-economics,Valuation,c5c3543f9beddb0104a3,2,DEBT MARK TO MARKET,DEBT MARK TO MARKET,Borrowing carrying basis,1,,fund,16918998b152a1f113cd,FUND_0674,JLL Income Property Trust,JLL Income Property Trust,"LaSalle Investment Management, Inc.",,,,,,,,,,,absolute,1,held constant at the borrowed loan amount — the principal balance that will actually be repaid at the loan’s maturity date,,,,,,50058e92148e3a2b6dcf,1,,,
3c50b4f234e7b88c26ed,SRC132,06-statements-and-economics,Valuation,c5c3543f9beddb0104a3,2,DEBT MARK TO MARKET,DEBT MARK TO MARKET,Borrowing valuation policy,1,,fund,16918998b152a1f113cd,FUND_0674,JLL Income Property Trust,JLL Income Property Trust,"LaSalle Investment Management, Inc.",,,,,,,,,,,absolute,1,"does not value its borrowings, a process often referred to as debt mark to market",,,,,,4ee4d65d4592d04ea72d,1,,,
1f38c119c6e956ce8abc,SRC132,06-statements-and-economics,Valuation,c5c3543f9beddb0104a3,2,INDEPENDENT APPRAISALS,INDEPENDENT APPRAISALS,Administrator NAV calculation frequency,1,,fund,16918998b152a1f113cd,FUND_0674,JLL Income Property Trust,JLL Income Property Trust,"LaSalle Investment Management, Inc.",,,,,,,,,,,absolute,1,,daily,,,,,0ea4f1c27424e661596a,1,,,
412cd33768b931a4a06b,SRC132,06-statements-and-economics,Valuation,c5c3543f9beddb0104a3,2,INDEPENDENT APPRAISALS,INDEPENDENT APPRAISALS,Appraisal factors,1,,fund,16918998b152a1f113cd,FUND_0674,JLL Income Property Trust,JLL Income Property Trust,"LaSalle Investment Management, Inc.",,,,,,,,,,,absolute,1,"analysis of current capitalization and discount rates and cash flows expected to be generated from the property, which feed into a detailed discounted cash flow analysis, while also taking into account comparative transactions in the same property types and geographic markets as the property being appraised",,,,,,08089bf9e6234ca5edde,1,,,
2f10780e4ba6fbf545da,SRC132,06-statements-and-economics,Valuation,c5c3543f9beddb0104a3,2,INDEPENDENT APPRAISALS,INDEPENDENT APPRAISALS,Daily NAV factors,1,,fund,16918998b152a1f113cd,FUND_0674,JLL Income Property Trust,JLL Income Property Trust,"LaSalle Investment Management, Inc.",,,,,,,,,,,absolute,1,"portfolio income, interest expense, gains and/or losses on properties being externally appraised and accruals for fees and share class specific expenses",,,,,,c846aaeab31654f010ec,1,,,
b543a305982b93001dea,SRC132,06-statements-and-economics,Valuation,c5c3543f9beddb0104a3,2,INDEPENDENT APPRAISALS,INDEPENDENT APPRAISALS,Final valuation decision authority,1,,fund,16918998b152a1f113cd,FUND_0674,JLL Income Property Trust,JLL Income Property Trust,"LaSalle Investment Management, Inc.",,,,,,,,,,,absolute,1,,,,SitusAMC has the final decision on all valuations,,,afcde7b9677b9bbe2170,1,,,
009e1a9ba5173a136165,SRC132,06-statements-and-economics,Valuation,c5c3543f9beddb0104a3,2,INDEPENDENT APPRAISALS,INDEPENDENT APPRAISALS,Independent property appraisal frequency,1,,fund,16918998b152a1f113cd,FUND_0674,JLL Income Property Trust,JLL Income Property Trust,"LaSalle Investment Management, Inc.",,,,,,,,,,,absolute,1,,at least once per quarter,,,,,fc7c4e665d39a4a55eb5,1,,,
3c36d93b78e458ce1d18,SRC132,06-statements-and-economics,Valuation,c5c3543f9beddb0104a3,2,INDEPENDENT APPRAISALS,INDEPENDENT APPRAISALS,Independent property valuation advisor,1,,fund,16918998b152a1f113cd,FUND_0674,JLL Income Property Trust,JLL Income Property Trust,"LaSalle Investment Management, Inc.",,,,,,,,,,,absolute,1,,,SitusAMC,,,,f62733cb0a00d7a5d480,1,,,
6d4644d50848726b7297,SRC132,06-statements-and-economics,Valuation,c5c3543f9beddb0104a3,2,INDEPENDENT APPRAISALS,INDEPENDENT APPRAISALS,NAV calculation agent,1,,fund,16918998b152a1f113cd,FUND_0674,JLL Income Property Trust,JLL Income Property Trust,"LaSalle Investment Management, Inc.",,,,,,,,,,,absolute,1,,,"ALPS Fund Services, Inc.",,,,48204c75a82bcd859bed,1,,,
58a85272acba4af0bf03,SRC132,06-statements-and-economics,Valuation,c5c3543f9beddb0104a3,2,INDEPENDENT APPRAISALS,INDEPENDENT APPRAISALS,NAV publication frequency,1,,fund,16918998b152a1f113cd,FUND_0674,JLL Income Property Trust,JLL Income Property Trust,"LaSalle Investment Management, Inc.",,,,,,,,,,,absolute,1,,each day,,,,,48528af92360720fb2b1,1,,,
fa3a78e162795c58960b,SRC132,06-statements-and-economics,Valuation,c5c3543f9beddb0104a3,2,INDEPENDENT APPRAISALS,INDEPENDENT APPRAISALS,NAV review and approval,1,,fund,16918998b152a1f113cd,FUND_0674,JLL Income Property Trust,JLL Income Property Trust,"LaSalle Investment Management, Inc.",,,,,,,,,,,absolute,1,,,,,reviewed and approved,,9b5f0cf03d0386a14c55,1,,,
f58a8e72d51fac1f654a,SRC132,06-statements-and-economics,Valuation,c5c3543f9beddb0104a3,2,INDEPENDENT APPRAISALS,INDEPENDENT APPRAISALS,Newly acquired property appraisal cycle,1,,fund,16918998b152a1f113cd,FUND_0674,JLL Income Property Trust,JLL Income Property Trust,"LaSalle Investment Management, Inc.",,,,,,,,,,,absolute,1,,join the quarterly appraisal cycle during the next quarter after acquisition,,,,,61f6df5859e5bebc3c10,1,,,
87dbdab22f457ffb8d91,SRC132,06-statements-and-economics,Valuation,c5c3543f9beddb0104a3,2,INDEPENDENT APPRAISALS,INDEPENDENT APPRAISALS,Newly acquired property initial valuation,1,,fund,16918998b152a1f113cd,FUND_0674,JLL Income Property Trust,JLL Income Property Trust,"LaSalle Investment Management, Inc.",,,,,,,,,,,absolute,1,initially valued at cost,,,,,,dc0bb4192b73c5734512,1,,,
