table,file,rows,collisions
bridge_pivot_observation,bridge_pivot_observation.csv,8108,
wide_allocation_observation,wide_allocation_observation.csv,295,
wide_cash_flow_observation,wide_cash_flow_observation.csv,17,
wide_ddq_quantitative_observation,wide_ddq_quantitative_observation.csv,48,
wide_document_context,wide_document_context.csv,28,
wide_fee_observation,wide_fee_observation.csv,83,
wide_financial_statement_observation,wide_financial_statement_observation.csv,527,
wide_financing_observation,wide_financing_observation.csv,2,
wide_fund_economics_observation,wide_fund_economics_observation.csv,1358,
wide_legal_clause,wide_legal_clause.csv,23,
wide_legal_term,wide_legal_term.csv,5,
wide_nav_observation,wide_nav_observation.csv,106,
wide_performance_observation,wide_performance_observation.csv,1042,
wide_position_observation,wide_position_observation.csv,487,
wide_stewardship_observation,wide_stewardship_observation.csv,175,
wide_stewardship_policy,wide_stewardship_policy.csv,81,
wide_subscription_reference,wide_subscription_reference.csv,19,
wide_valuation_observation,wide_valuation_observation.csv,31,
TOTAL,,7201,0
