wide_row_id,document_id,route,canonical_doc_type,page_id,source_page,source_section,source_table,source_row_label,source_occurrence,column_group,subject_type,subject_alias_id,subject_entity_id,subject_name,subject_standardized_name,subject_manager_name,asset_class,strategy,geography,vintage_year,horizon,as_of_date_raw,as_of_date,period_start,period_end,currency,unit_scale,unit_scale_multiplier,subscription_fund,general_partner,requested_commitment,accepted_commitment,subscriber_entity_type,fund_jurisdiction,execution_date,observation_ids,observation_count,unparsed_values,scale_note,collision_note
befd609f7f300b711ced,SRC607,05-fund-legal-docs,Subscription,4d54f01997126aa33179,1,"SUBSCRIPTION MATERIALS OF LUBERT-ADLER REAL ESTATE FUND VII, L.P.",,"LUBERT-ADLER REAL ESTATE FUND VII, L.P.",1,,fund,58aa5bacb3a78b5d23a1,FUND_0737,"Lubert-Adler Real Estate Fund VII, L.P.","Lubert-Adler Real Estate Fund VII, L.P.","Lubert-Adler Management Company, L.P.",,,,,,,,,,,absolute,1,"LUBERT-ADLER REAL ESTATE FUND VII, L.P.",,,,,,,ceb7c66a80550b751675,1,,,
7678ed8c5d5b0daa9783,SRC607,05-fund-legal-docs,Subscription,760911295c87c9700a5f,12,3. Additional Questions for Purchasers that are not Individuals,,Other entity or additional information if requested:,1,,investor,d9a249aabcfeee3b6bcc,LP_0033,Commonwealth of Pennsylvania State Employees' Retirement System,Commonwealth of Pennsylvania State Employees' Retirement System,,,,,,,,,,,,absolute,1,,,,,state government pension plan,,,b596b0f48fbf06889e47,1,,,
a42b0659771d46552a84,SRC607,05-fund-legal-docs,Subscription,279edb1dd3f0d6c8b6c2,21,A. CONFIDENTIAL PURCHASER QUESTIONNAIRE,IN WITNESS WHEREOF,Date,1,,investor,d9a249aabcfeee3b6bcc,LP_0033,Commonwealth of Pennsylvania State Employees' Retirement System,Commonwealth of Pennsylvania State Employees' Retirement System,,,,,,,,,,,,absolute,1,,,,,,,6/25/14,35cc147499db5ead4469,1,,,
e32167b67fb3bd473d7e,SRC607,05-fund-legal-docs,Subscription,b4be54435f4ebfae6e1d,29,B. SUBSCRIPTION AGREEMENT,,1. Subscription,1,,fund,58aa5bacb3a78b5d23a1,FUND_0737,"Lubert-Adler Real Estate Fund VII, L.P.","Lubert-Adler Real Estate Fund VII, L.P.","Lubert-Adler Management Company, L.P.",,,,,,,,,,,absolute,1,,,,,,Delaware,,968cf1757d4f3c22b9bc,1,,,
d207455716bfaafb847c,SRC607,05-fund-legal-docs,Subscription,b4be54435f4ebfae6e1d,29,B. SUBSCRIPTION AGREEMENT,,1. Subscription,2,,fund,58aa5bacb3a78b5d23a1,FUND_0737,"Lubert-Adler Real Estate Fund VII, L.P.","Lubert-Adler Real Estate Fund VII, L.P.","Lubert-Adler Management Company, L.P.",,,,,,,,,,,absolute,1,"Lubert-Adler Real Estate Fund VII, L.P.",,,,,,,d54e3d1b103904b967ff,1,,,
eca8f8b96706fa9af1f5,SRC607,05-fund-legal-docs,Subscription,b4be54435f4ebfae6e1d,29,B. SUBSCRIPTION AGREEMENT,,To:,1,,manager,1ef11b10a728d2ee665d,MGR_0110,"Lubert-Adler Group VII, L.P.","Lubert-Adler Group VII, L.P.",,,,,,,,,,,,absolute,1,,"Lubert-Adler Group VII, L.P.",,,,,,f863e94108d61f978620,1,,,
03b2cf3a6213f290626b,SRC607,05-fund-legal-docs,Subscription,10dcd536854bff8cf313,3,F. Delivery of Documents,,"Lubert-Adler Group VII, L.P.",1,,manager,1ef11b10a728d2ee665d,MGR_0110,"Lubert-Adler Group VII, L.P.","Lubert-Adler Group VII, L.P.",,,,,,,,,,,,absolute,1,,"Lubert-Adler Group VII, L.P.",,,,,,6d732d6827ed4834eff0,1,,,
f284fbb48829fe157c87,SRC607,05-fund-legal-docs,Subscription,ace91d2e092331edd4ae,41,B. SUBSCRIPTION AGREEMENT,IN WITNESS WHEREOF,Date,2,,investor,d9a249aabcfeee3b6bcc,LP_0033,Commonwealth of Pennsylvania State Employees' Retirement System,Commonwealth of Pennsylvania State Employees' Retirement System,,,,,,,,,,,,absolute,1,,,,,,,6/25/14,a4e3e672e4991f32f8dc,1,,,
ae3a6dba7aa1380ce3fc,SRC607,05-fund-legal-docs,Subscription,ace91d2e092331edd4ae,41,B. SUBSCRIPTION AGREEMENT,IN WITNESS WHEREOF,"Lubert-Adler Group VII, L.P.",1,,manager,1ef11b10a728d2ee665d,MGR_0110,"Lubert-Adler Group VII, L.P.","Lubert-Adler Group VII, L.P.",,,,,,,,,,,,absolute,1,,"Lubert-Adler Group VII, L.P.",,,,,,c067cf2529647681c73a,1,,,
61bd85b2cd848c5213f6,SRC607,05-fund-legal-docs,Subscription,ace91d2e092331edd4ae,41,B. SUBSCRIPTION AGREEMENT,IN WITNESS WHEREOF,"The foregoing subscription is accepted by Lubert-Adler Group VII, L.P.",1,,investor,d9a249aabcfeee3b6bcc,LP_0033,Commonwealth of Pennsylvania State Employees' Retirement System,Commonwealth of Pennsylvania State Employees' Retirement System,,,,,,,,,,,,absolute,1,,,,"Twenty-five million Dollars ($25,000,000)",,,,34f4e798be79a745f8e7,1,,,
