file_id,filename,source_sha256,page_number,dpi,image_path,image_sha256,present
SRC028,Fee_Report_PSERS_Aon_Base_Management_Fees_FY2017.pdf,91068b29d6128f34c2cb9f612208cc934849cc65200842ad7c017de0b59d0eb5,1,300,data/documents/images/Fee_Report_PSERS_Aon_Base_Management_Fees_FY2017/page-001.png,f66a05fa562e815564f97f72f30a65f4346a37cf6a117d2dfc2d52a2887f47bb,1
SRC034,Financials_Versa_Capital_Fund_II_LP_PSERS_FOIA.pdf,c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8,1,300,data/documents/images/Financials_Versa_Capital_Fund_II_LP_PSERS_FOIA/page-001.png,4bd53b80ad9d998e521837374e67a84764de053f8f3da79a810a601e9e0141dc,1
SRC034,Financials_Versa_Capital_Fund_II_LP_PSERS_FOIA.pdf,c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8,2,300,data/documents/images/Financials_Versa_Capital_Fund_II_LP_PSERS_FOIA/page-002.png,8f10ecf22503e89ffb5784cce6899f35d354561bba2667e20c251d9e0df5a795,1
SRC034,Financials_Versa_Capital_Fund_II_LP_PSERS_FOIA.pdf,c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8,3,300,data/documents/images/Financials_Versa_Capital_Fund_II_LP_PSERS_FOIA/page-003.png,f3e15c8500b916d01e7e374696a66df6eaf89512e41257a4218caaeef8f11dae,1
SRC034,Financials_Versa_Capital_Fund_II_LP_PSERS_FOIA.pdf,c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8,4,300,data/documents/images/Financials_Versa_Capital_Fund_II_LP_PSERS_FOIA/page-004.png,801b4ef324f1b84320daf5cea2d0d4d86dd735da76552fb539219755b5725ddc,1
SRC034,Financials_Versa_Capital_Fund_II_LP_PSERS_FOIA.pdf,c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8,5,300,data/documents/images/Financials_Versa_Capital_Fund_II_LP_PSERS_FOIA/page-005.png,034f1c4076ec30325f6eb6b90bd9b6a658560a8b997888412eefea65fb85ba13,1
SRC034,Financials_Versa_Capital_Fund_II_LP_PSERS_FOIA.pdf,c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8,6,300,data/documents/images/Financials_Versa_Capital_Fund_II_LP_PSERS_FOIA/page-006.png,aa7b4bc20dfe53bba782c0d4c99ec81fc125d02a8e9189c65614e87214bb6b72,1
SRC034,Financials_Versa_Capital_Fund_II_LP_PSERS_FOIA.pdf,c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8,7,300,data/documents/images/Financials_Versa_Capital_Fund_II_LP_PSERS_FOIA/page-007.png,4fe50c35f2d7838ae2e546365d2160b7edff7dfccf3927de68c1fed03cc2c15d,1
SRC034,Financials_Versa_Capital_Fund_II_LP_PSERS_FOIA.pdf,c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8,8,300,data/documents/images/Financials_Versa_Capital_Fund_II_LP_PSERS_FOIA/page-008.png,cac12559b9868983cb3ae8b57a9b7dc0557bc57865e5c8996adce5c064c122be,1
SRC034,Financials_Versa_Capital_Fund_II_LP_PSERS_FOIA.pdf,c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8,9,300,data/documents/images/Financials_Versa_Capital_Fund_II_LP_PSERS_FOIA/page-009.png,6e90effe4cb8ccf932537f49d4b9abfe4f654b063430abbac162b1222d8d7b87,1
