"name","value","source","note"
"contract_version","2026-09-01.2","csv_wide_contract.CONTRACT_VERSION","The record field list in force."
"record_columns","47","record-columns.csv","Columns every extractor writes on every row."
"metric_categories","90","metric-vocabulary.csv","Controlled metric names."
"published_documents","36","data/extracted/pdf-wide-coverage.csv","Documents with completed extraction and page coverage."
"documents_with_observations","36","data/extracted/pdf-wide-records.csv","Published documents with accepted source records."
"published_observations","8613","data/extracted/pdf-wide-records.csv","Accepted source records, including values, definitions and document context."
"published_pages","693","data/extracted/pdf-wide-coverage.csv","Pages carrying a coverage row."
"transformation_matrices","331","data/normalization/transformations","Decision matrices."
"fund_identities","945","data/csv/fund_master.csv","Funds in the integrated model."
"fund_periods","1396","data/csv/fund_periods.csv","Periods in the integrated model."
"quality_results","36709","data/csv/quality_results.csv","Quality-rule evaluations over the completed fund model."
"source_only_quality_results","7414","data/extracted/fund-level/quality_results.csv","Quality-rule evaluations over the printed rows alone, before any fill."
"pme_results","1890","data/csv/pme_results.csv","Kaplan-Schoar PME and Direct Alpha rows."
"extractor_a_rows","7609","data/extracted/review/document-summary.csv","Candidate rows the first reader wrote across the published documents."
"extractor_b_rows","8151","data/extracted/review/document-summary.csv","Candidate rows the second reader wrote across the published documents."
"physical_ab_pairs","6878","data/extracted/review/document-summary.csv","Page locations both readers wrote a row for."
"raw_value_agreements","6378","data/extracted/review/document-summary.csv","Two-reader pairs whose printed value or text matched."
"value_conflicts","500","data/extracted/review/document-summary.csv","Two-reader pairs whose printed value disagreed and went to adjudication."
"reconstructed_wide_tables","18","data/extracted/wide","Record families rebuilt as one table per family."
"source_backed_fund_periods","451","data/extracted/fund-level/fund_periods.csv","Fund periods built only from printed values."
"source_only_fund_metrics","804","data/extracted/fund-level/fund_metrics.csv","Multiples computed from printed values alone."
"fund_observations","3857","data/extracted/fund-level/fund_observations.csv","Evidence rows promoted to the fund model."
"unmapped_fund_observations","531","data/extracted/fund-level/fund_observations.csv","Promoted rows no semantic-map rule has yet assigned a listed measure."
"cell_lineage_rows","85263","data/integrated/cell-lineage.csv","Fund-model field values with a recorded origin."
"gap_rows","35284","data/integrated/gap-ledger.csv","Blank fund-model fields the completion recorded."
"open_gaps","944","data/integrated/gap-ledger.csv","Recorded blanks the corpus prints nothing to close; they stay blank."
"imputed_cells","7926","data/integrated/cell-lineage.csv","Fund-model cells a declared rule filled; imputation_method names the rule."
"return_rows","1305","data/extracted/tables/fact_observation.csv","Published return rows; the pair counts below carry the split."
"return_rows_modified_dietz_net","446","data/extracted/tables/fact_observation.csv","Published return rows computed modified_dietz on a net fee basis."
"return_rows_annualized_unstated","279","data/extracted/tables/fact_observation.csv","Published return rows computed annualized on a unstated fee basis."
"return_rows_unstated_unstated","272","data/extracted/tables/fact_observation.csv","Published return rows computed unstated on a unstated fee basis."
"return_rows_time_weighted_net","168","data/extracted/tables/fact_observation.csv","Published return rows computed time_weighted on a net fee basis."
"return_rows_time_weighted_unstated","46","data/extracted/tables/fact_observation.csv","Published return rows computed time_weighted on a unstated fee basis."
"return_rows_unstated_gross","18","data/extracted/tables/fact_observation.csv","Published return rows computed unstated on a gross fee basis."
"return_rows_money_weighted_net","13","data/extracted/tables/fact_observation.csv","Published return rows computed money_weighted on a net fee basis."
"return_rows_unstated_net","13","data/extracted/tables/fact_observation.csv","Published return rows computed unstated on a net fee basis."
"return_rows_simple_period_net","12","data/extracted/tables/fact_observation.csv","Published return rows computed simple_period on a net fee basis."
"return_rows_annualized_net","11","data/extracted/tables/fact_observation.csv","Published return rows computed annualized on a net fee basis."
"return_rows_simple_period_unstated","10","data/extracted/tables/fact_observation.csv","Published return rows computed simple_period on a unstated fee basis."
"return_rows_time_weighted_gross","8","data/extracted/tables/fact_observation.csv","Published return rows computed time_weighted on a gross fee basis."
"return_rows_annualized_partial","4","data/extracted/tables/fact_observation.csv","Published return rows computed annualized on a partial fee basis."
"return_rows_time_weighted_partial","4","data/extracted/tables/fact_observation.csv","Published return rows computed time_weighted on a partial fee basis."
"return_rows_unstated_partial","1","data/extracted/tables/fact_observation.csv","Published return rows computed unstated on a partial fee basis."
"qualifier_backlog_rows","0","ledgers/pipeline/qualifier-backlog.csv","Published rows blank in a qualified dimension their own contract predates."
"qualifier_backlog_documents","0","ledgers/pipeline/qualifier-backlog.csv","Documents holding those rows."
"unfinished_documents","0","ledgers/pipeline/extraction-scope.csv","Documents in the active scope with no final: none."
