csv_path,origin_csv,python_file,agent_operation,instructions_file
costs/extraction-runs.csv,,,,
data-gathering/document-types.csv,,,document-type ratification,
data-gathering/source_ledger.csv,,data-gathering/src/_merge_rows.py,corpus gathering,data-gathering/AGENT-A1-CORPUS-GATHERING.md
data/csv/benchmark_returns.csv,,src/pipeline/build_integrated_universe.py,,
data/csv/defect_injections.csv,,src/pipeline/build_integrated_universe.py,,
data/csv/document_entity_context.csv,data/extracted/rounds/*-records.csv,,fund-mapping identity round,instructions/02-fund-mapping/01-NAME-NORMALIZER.md
data/csv/document_fund_map.csv,data/extracted/rounds/*-records.csv,,fund-mapping identity round,instructions/02-fund-mapping/01-NAME-NORMALIZER.md
data/csv/document_manager_map.csv,data/extracted/fund-level/document_manager_map.csv,src/pipeline/build_integrated_universe.py,,
data/csv/entity_registry.csv,data/extracted/rounds/*-records.csv,,fund-mapping identity round,instructions/02-fund-mapping/01-NAME-NORMALIZER.md
data/csv/fund_cashflows.csv,data/extracted/fund-level/fund_cashflows.csv,src/pipeline/build_integrated_universe.py,,
data/csv/fund_holdings.csv,data/extracted/fund-level/fund_holdings.csv,src/pipeline/build_integrated_universe.py,,
data/csv/fund_master.csv,data/extracted/fund-level/fund_master.csv,src/pipeline/build_integrated_universe.py,,
data/csv/fund_metrics.csv,data/csv/fund_periods.csv,src/analytics/run_integrated_analytics.py,,
data/csv/fund_observations.csv,data/extracted/fund-level/fund_observations.csv,src/pipeline/build_integrated_universe.py,,
data/csv/fund_periods.csv,data/extracted/fund-level/fund_periods.csv,src/pipeline/build_integrated_universe.py,,
data/csv/fund_term_clauses.csv,data/extracted/fund-level/fund_term_clauses.csv,src/pipeline/build_integrated_universe.py,,
data/csv/fund_terms.csv,data/extracted/fund-level/fund_terms.csv,src/pipeline/build_integrated_universe.py,,
data/csv/manager_master.csv,data/extracted/fund-level/manager_master.csv,src/pipeline/build_integrated_universe.py,,
data/csv/manager_observations.csv,data/extracted/fund-level/manager_observations.csv,src/pipeline/build_integrated_universe.py,,
data/csv/pme_results.csv,data/csv/fund_periods.csv,src/analytics/run_integrated_analytics.py,,
data/csv/portfolio_allocations.csv,data/csv/fund_periods.csv,src/analytics/run_integrated_analytics.py,,
data/csv/quality_results.csv,data/csv/fund_periods.csv,src/quality/run_fund_checks.py,,
data/csv/synthetic_parameters.csv,,src/pipeline/build_integrated_universe.py,,
data/demo/defect_injections.csv,data/synthetic/fixture-parameters.csv,src/pipeline/build_mock_universe.py,,
data/demo/fund_cashflows.csv,data/synthetic/fixture-parameters.csv,src/pipeline/build_mock_universe.py,,
data/demo/fund_master.csv,data/synthetic/fixture-parameters.csv,src/pipeline/build_mock_universe.py,,
data/demo/fund_periods.csv,data/synthetic/fixture-parameters.csv,src/pipeline/build_mock_universe.py,,
data/demo/quality_results.csv,data/synthetic/fixture-parameters.csv,src/pipeline/build_mock_universe.py,,
data/demo/synthetic_parameters.csv,data/synthetic/fixture-parameters.csv,src/pipeline/build_mock_universe.py,,
data/documents/grids/Capital_Call_ABC_Fund_LP_TrustAlta_Sample_Notice.csv,data/schemas/EXTRACTION-DISPATCH-SCOPE.csv,src/catalog/simple_pdf_extraction/build_page_grids.py,,
data/documents/grids/Capital_Call_Morgan_Lewis_Deskbook_Sample_Notice.csv,data/schemas/EXTRACTION-DISPATCH-SCOPE.csv,src/catalog/simple_pdf_extraction/build_page_grids.py,,
data/documents/grids/DDQ_AIMA_Bear_Stearns_HGSCS_FCIC.csv,data/schemas/EXTRACTION-DISPATCH-SCOPE.csv,src/catalog/simple_pdf_extraction/build_page_grids.py,,
data/documents/grids/DDQ_AIMA_CTA_Chesapeake_Capital.csv,data/schemas/EXTRACTION-DISPATCH-SCOPE.csv,src/catalog/simple_pdf_extraction/build_page_grids.py,,
data/documents/grids/DDQ_Hamilton_Lane_Global_Private_Assets_Fund_May2025.csv,data/schemas/EXTRACTION-DISPATCH-SCOPE.csv,src/catalog/simple_pdf_extraction/build_page_grids.py,,
data/documents/grids/Distribution_CalPERS_Private_Equity_Cash_Flow_Examples_2015.csv,data/schemas/EXTRACTION-DISPATCH-SCOPE.csv,src/catalog/simple_pdf_extraction/build_page_grids.py,,
data/documents/grids/Fee_Report_Border_To_Coast_Assessment_Of_Value_2024.csv,data/schemas/EXTRACTION-DISPATCH-SCOPE.csv,src/catalog/simple_pdf_extraction/build_page_grids.py,,
data/documents/grids/Fee_Report_CalPERS_AB2833_Alternative_Investments_Nov2023.csv,data/schemas/EXTRACTION-DISPATCH-SCOPE.csv,src/catalog/simple_pdf_extraction/build_page_grids.py,,
data/documents/grids/Fee_Report_CalPERS_AIV_Fee_Expense_Disclosure_2019.csv,data/schemas/EXTRACTION-DISPATCH-SCOPE.csv,src/catalog/simple_pdf_extraction/build_page_grids.py,,
data/documents/grids/Fee_Report_CalSTRS_AB2833_Private_Equity_Fees_2025.csv,data/schemas/EXTRACTION-DISPATCH-SCOPE.csv,src/catalog/simple_pdf_extraction/build_page_grids.py,,
data/documents/grids/Fee_Report_CalSTRS_Annual_Cost_And_Collaborative_Model_Savings_2023.csv,data/schemas/EXTRACTION-DISPATCH-SCOPE.csv,src/catalog/simple_pdf_extraction/build_page_grids.py,,
data/documents/grids/Fee_Report_FCERA_Fresno_AB2833_Alternative_Investment_Fees_2021.csv,data/schemas/EXTRACTION-DISPATCH-SCOPE.csv,src/catalog/simple_pdf_extraction/build_page_grids.py,,
data/documents/grids/Fee_Report_INREV_Management_Fees_And_Terms_Study_2011.csv,data/schemas/EXTRACTION-DISPATCH-SCOPE.csv,src/catalog/simple_pdf_extraction/build_page_grids.py,,
data/documents/grids/Fee_Report_INREV_Management_Fees_And_Terms_Study_2016.csv,data/schemas/EXTRACTION-DISPATCH-SCOPE.csv,src/catalog/simple_pdf_extraction/build_page_grids.py,,
data/documents/grids/Fee_Report_LACERA_Total_Fund_Investment_Cost_FY2023.csv,data/schemas/EXTRACTION-DISPATCH-SCOPE.csv,src/catalog/simple_pdf_extraction/build_page_grids.py,,
data/documents/grids/Fee_Report_PSERS_Aon_Base_Management_Fees_FY2017.csv,data/schemas/EXTRACTION-DISPATCH-SCOPE.csv,src/catalog/simple_pdf_extraction/build_page_grids.py,,
