file_id,canonical_doc_type,filename,issuer,page_count,route,dispatch_scope,published_pages,pdf_path,txt_path,image_dir,grid_path,candidate_folder,source
SRC028,Fee_Report,Fee_Report_PSERS_Aon_Base_Management_Fees_FY2017.pdf,"Aon Hewitt Investment Consulting, Inc. (for PSERS)",1,06-statements-and-economics,ACTIVE,1,data/documents/pdf/Fee_Report_PSERS_Aon_Base_Management_Fees_FY2017.pdf,data/documents/txt/Fee_Report_PSERS_Aon_Base_Management_Fees_FY2017.txt,data/documents/images/Fee_Report_PSERS_Aon_Base_Management_Fees_FY2017,data/documents/grids/Fee_Report_PSERS_Aon_Base_Management_Fees_FY2017.csv,ledgers/working/pdf-extraction-csv/06-statements-and-economics/SRC028,data-gathering/source_ledger.csv|data/extracted/pdf-wide-coverage.csv|data/schemas/EXTRACTION-DISPATCH-SCOPE.csv
SRC034,Financials,Financials_Versa_Capital_Fund_II_LP_PSERS_FOIA.pdf,"Versa Capital Management, LLC",14,01-financials,ACTIVE,14,data/documents/pdf/Financials_Versa_Capital_Fund_II_LP_PSERS_FOIA.pdf,data/documents/txt/Financials_Versa_Capital_Fund_II_LP_PSERS_FOIA.txt,data/documents/images/Financials_Versa_Capital_Fund_II_LP_PSERS_FOIA,data/documents/grids/Financials_Versa_Capital_Fund_II_LP_PSERS_FOIA.csv,ledgers/working/pdf-extraction-csv/01-financials/SRC034,data-gathering/source_ledger.csv|data/extracted/pdf-wide-coverage.csv|data/schemas/EXTRACTION-DISPATCH-SCOPE.csv
SRC035,Performance,Performance_Oregon_Growth_Account_VC_Program_Q4_2021.pdf,Meketa Investment Group (for Oregon State Treasury / Oregon Growth Account),3,02-performance,ACTIVE,3,data/documents/pdf/Performance_Oregon_Growth_Account_VC_Program_Q4_2021.pdf,data/documents/txt/Performance_Oregon_Growth_Account_VC_Program_Q4_2021.txt,data/documents/images/Performance_Oregon_Growth_Account_VC_Program_Q4_2021,data/documents/grids/Performance_Oregon_Growth_Account_VC_Program_Q4_2021.csv,ledgers/working/pdf-extraction-csv/02-performance/SRC035,data-gathering/source_ledger.csv|data/extracted/pdf-wide-coverage.csv|data/schemas/EXTRACTION-DISPATCH-SCOPE.csv
SRC058,Performance,Quarterly_Report_Oregon_PERS_OPERF_Real_Estate_Q4_2024.pdf,Oregon Public Employees Retirement Fund (Oregon State Treasury),3,02-performance,ACTIVE,3,data/documents/pdf/Quarterly_Report_Oregon_PERS_OPERF_Real_Estate_Q4_2024.pdf,data/documents/txt/Quarterly_Report_Oregon_PERS_OPERF_Real_Estate_Q4_2024.txt,data/documents/images/Quarterly_Report_Oregon_PERS_OPERF_Real_Estate_Q4_2024,data/documents/grids/Quarterly_Report_Oregon_PERS_OPERF_Real_Estate_Q4_2024.csv,ledgers/working/pdf-extraction-csv/02-performance/SRC058,data-gathering/source_ledger.csv|data/extracted/pdf-wide-coverage.csv|data/schemas/EXTRACTION-DISPATCH-SCOPE.csv
SRC060,Performance,Performance_Oregon_PERS_Alternatives_Portfolio_Q3_2022.pdf,Oregon Public Employees Retirement Fund (Oregon State Treasury),2,02-performance,ACTIVE,2,data/documents/pdf/Performance_Oregon_PERS_Alternatives_Portfolio_Q3_2022.pdf,data/documents/txt/Performance_Oregon_PERS_Alternatives_Portfolio_Q3_2022.txt,data/documents/images/Performance_Oregon_PERS_Alternatives_Portfolio_Q3_2022,data/documents/grids/Performance_Oregon_PERS_Alternatives_Portfolio_Q3_2022.csv,ledgers/working/pdf-extraction-csv/02-performance/SRC060,data-gathering/source_ledger.csv|data/extracted/pdf-wide-coverage.csv|data/schemas/EXTRACTION-DISPATCH-SCOPE.csv
SRC063,Performance,Performance_CalPERS_Real_Assets_Partnership_Report_Jun2023.pdf,California Public Employees' Retirement System (CalPERS),2,02-performance,ACTIVE,2,data/documents/pdf/Performance_CalPERS_Real_Assets_Partnership_Report_Jun2023.pdf,data/documents/txt/Performance_CalPERS_Real_Assets_Partnership_Report_Jun2023.txt,data/documents/images/Performance_CalPERS_Real_Assets_Partnership_Report_Jun2023,data/documents/grids/Performance_CalPERS_Real_Assets_Partnership_Report_Jun2023.csv,ledgers/working/pdf-extraction-csv/02-performance/SRC063,data-gathering/source_ledger.csv|data/extracted/pdf-wide-coverage.csv|data/schemas/EXTRACTION-DISPATCH-SCOPE.csv
SRC099,Quarterly_Report,Quarterly_Report_PSERS_Real_Estate_2Q17_FOIA.pdf,"Pennsylvania Public School Employees' Retirement System (PSERS), Non-Traditional Investments",21,04-quarterly-report,ACTIVE,21,data/documents/pdf/Quarterly_Report_PSERS_Real_Estate_2Q17_FOIA.pdf,data/documents/txt/Quarterly_Report_PSERS_Real_Estate_2Q17_FOIA.txt,data/documents/images/Quarterly_Report_PSERS_Real_Estate_2Q17_FOIA,data/documents/grids/Quarterly_Report_PSERS_Real_Estate_2Q17_FOIA.csv,ledgers/working/pdf-extraction-csv/04-quarterly-report/SRC099,data-gathering/source_ledger.csv|data/extracted/pdf-wide-coverage.csv|data/schemas/EXTRACTION-DISPATCH-SCOPE.csv
SRC102,Financials,PCAP_Jefferson_Partners_Fund_IV_PSERS_FOIA.pdf,"JPIV G.P., L.P. / Jefferson Partners Fund IV Management Corp.",14,01-financials,ACTIVE,14,data/documents/pdf/PCAP_Jefferson_Partners_Fund_IV_PSERS_FOIA.pdf,data/documents/txt/PCAP_Jefferson_Partners_Fund_IV_PSERS_FOIA.txt,data/documents/images/PCAP_Jefferson_Partners_Fund_IV_PSERS_FOIA,data/documents/grids/PCAP_Jefferson_Partners_Fund_IV_PSERS_FOIA.csv,ledgers/working/pdf-extraction-csv/01-financials/SRC102,data-gathering/source_ledger.csv|data/extracted/pdf-wide-coverage.csv|data/schemas/EXTRACTION-DISPATCH-SCOPE.csv
SRC107,DDQ,DDQ_AIMA_Bear_Stearns_HGSCS_FCIC.pdf,Bear Stearns Asset Management Inc.,22,05-fund-legal-docs,ACTIVE,22,data/documents/pdf/DDQ_AIMA_Bear_Stearns_HGSCS_FCIC.pdf,data/documents/txt/DDQ_AIMA_Bear_Stearns_HGSCS_FCIC.txt,data/documents/images/DDQ_AIMA_Bear_Stearns_HGSCS_FCIC,data/documents/grids/DDQ_AIMA_Bear_Stearns_HGSCS_FCIC.csv,ledgers/working/pdf-extraction-csv/05-fund-legal-docs/SRC107,data-gathering/source_ledger.csv|data/extracted/pdf-wide-coverage.csv|data/schemas/EXTRACTION-DISPATCH-SCOPE.csv
SRC132,Valuation,Valuation_JLLIPT_Institutional_Valuation_Methodology.pdf,JLL Income Property Trust,3,06-statements-and-economics,ACTIVE,3,data/documents/pdf/Valuation_JLLIPT_Institutional_Valuation_Methodology.pdf,data/documents/txt/Valuation_JLLIPT_Institutional_Valuation_Methodology.txt,data/documents/images/Valuation_JLLIPT_Institutional_Valuation_Methodology,data/documents/grids/Valuation_JLLIPT_Institutional_Valuation_Methodology.csv,ledgers/working/pdf-extraction-csv/06-statements-and-economics/SRC132,data-gathering/source_ledger.csv|data/extracted/pdf-wide-coverage.csv|data/schemas/EXTRACTION-DISPATCH-SCOPE.csv
SRC147,Financials,Fee_Report_PSERS_Fee_Transparency_Response_Bullet2.pdf,Pennsylvania Public School Employees Retirement System (PSERS),1,01-financials,ACTIVE,1,data/documents/pdf/Fee_Report_PSERS_Fee_Transparency_Response_Bullet2.pdf,data/documents/txt/Fee_Report_PSERS_Fee_Transparency_Response_Bullet2.txt,data/documents/images/Fee_Report_PSERS_Fee_Transparency_Response_Bullet2,data/documents/grids/Fee_Report_PSERS_Fee_Transparency_Response_Bullet2.csv,ledgers/working/pdf-extraction-csv/01-financials/SRC147,data-gathering/source_ledger.csv|data/extracted/pdf-wide-coverage.csv|data/schemas/EXTRACTION-DISPATCH-SCOPE.csv
SRC151,Stewardship_Proxy_Report,Reporting_Glass_Lewis_Proxy_Season_Review_2017_PSERS.pdf,Glass Lewis (consultant materials released by PSERS),19,07-institutional-mission,ACTIVE,19,data/documents/pdf/Reporting_Glass_Lewis_Proxy_Season_Review_2017_PSERS.pdf,data/documents/txt/Reporting_Glass_Lewis_Proxy_Season_Review_2017_PSERS.txt,data/documents/images/Reporting_Glass_Lewis_Proxy_Season_Review_2017_PSERS,data/documents/grids/Reporting_Glass_Lewis_Proxy_Season_Review_2017_PSERS.csv,ledgers/working/pdf-extraction-csv/07-institutional-mission/SRC151,data-gathering/source_ledger.csv|data/extracted/pdf-wide-coverage.csv|data/schemas/EXTRACTION-DISPATCH-SCOPE.csv
SRC152,Financials,Financials_PSERS_Notes_To_Financial_Statements_Response002.pdf,Pennsylvania Public School Employees Retirement System (PSERS),5,01-financials,ACTIVE,5,data/documents/pdf/Financials_PSERS_Notes_To_Financial_Statements_Response002.pdf,data/documents/txt/Financials_PSERS_Notes_To_Financial_Statements_Response002.txt,data/documents/images/Financials_PSERS_Notes_To_Financial_Statements_Response002,data/documents/grids/Financials_PSERS_Notes_To_Financial_Statements_Response002.csv,ledgers/working/pdf-extraction-csv/01-financials/SRC152,data-gathering/source_ledger.csv|data/extracted/pdf-wide-coverage.csv|data/schemas/EXTRACTION-DISPATCH-SCOPE.csv
