phase,stage_id,execution_order,stage,source,input,output,check_description,next_readme
Preparation,source-catalog,,Source collection and classification,data-gathering/src/fetch_corpus.py,Public report addresses and document classifications,Source ledger and retained PDFs,Every catalogued PDF matches its source entry and page count,data-gathering/README.md
Preparation,document-preparation,,Document preparation,instructions/01-pdf-extraction-csv/00-OPERATOR-RUNBOOK.md,Assigned PDFs and report-specific field contracts,Page-aligned text and page images with table grids,Every assigned page has an image and each document has its text and grid files,instructions/01-pdf-extraction-csv/README.md
Extraction,blind-extraction,,Independent extraction,src/catalog/simple_pdf_extraction/csv_workflow.py,The same assigned pages read independently by two agents,Separate A and B proposal files and page-coverage records,Both proposal sets retain every assigned page and reconcile their row counts; value decisions belong to adjudication,ledgers/working/pdf-extraction-csv/README.md
Review,adjudication,,Adjudication and source review,src/catalog/simple_pdf_extraction/csv_workflow.py,A and B proposals plus page evidence and correction decisions,Reviewed final records and final page coverage,Final validation checks source evidence and field semantics and page completeness,instructions/01-pdf-extraction-csv/README.md
Publication,corpus-publication,3,Publish reviewed evidence,src/pipeline/publish_review_release.py,Reviewed fields and page-reading records from all completed assignments,Combined reviewed fields and page-by-page reading records,Published records match reviewed finals,data/extracted/README.md
Publication,extraction-scope,5,Reconcile document assignments,src/pipeline/publish_review_release.py,Active worklists and final files,Assignment and completion counts,Assigned and completed and deferred documents reconcile,docs/README.md
Publication,raw-combination,10,Combine extraction files,src/pipeline/publish_review_release.py,Published document records,Raw extraction tables by report type,Original field values and extractor attribution are preserved,data/extracted/raw/README.md
Publication,round-publication-verification,15,Verify published source fields,src/pipeline/publish_review_release.py,Raw tables and published extraction files,Verification result with no data rewrite,Raw fields and extractor-model attribution agree,data/extracted/raw/README.md
Publication,normalization-gates,20,Validate normalization rules,src/pipeline/publish_review_release.py,Source corrections and identity and attribute matrices,Matrix validation results and qualifier backlog,Source decisions and transformation rules satisfy their contracts,data/normalization/README.md
Publication,flatten,30,Normalize evidence fields,src/pipeline/publish_review_release.py,Published evidence and normalization matrices,Observation tables with printed and normalized values,Each normalized field retains its source observation,data/extracted/tables/README.md
Publication,extraction-review,40,Build extraction review records,src/pipeline/publish_review_release.py,Proposals and final records and review decisions,Candidate-to-final links and document summaries and image index,Review records reconcile current candidates and finals,data/extracted/review/README.md
Publication,wide,50,Reconstruct source tables,src/pipeline/publish_review_release.py,Normalized observations and table positions,Wide source tables and observation links,Reconstructed cells retain observation references,data/extracted/wide/README.md
Publication,extracted-database,60,Build the evidence database,src/pipeline/publish_review_release.py,Evidence tables and reconstructed source tables,extracted.duckdb,Database tables match their CSV inputs,data/warehouse/README.md
Publication,attribute-audit,70,Record inherited fund attributes,src/pipeline/publish_review_release.py,Reviewed fund attributes and source evidence,Attribute application record,Inherited attributes cite reviewed source evidence,data/normalization/README.md
Publication,fund-model-promotion,80,Build source-only fund data,src/pipeline/publish_review_release.py,Normalized evidence and reviewed identities,Source-only fund periods and transactions and terms and holdings,Source-only tables exclude generated completion values,data/extracted/fund-level/README.md
Publication,promotion-gate,90,Verify promoted evidence,src/pipeline/publish_review_release.py,Promoted fund records and accepted source references,Verification result with no data rewrite,Promoted source rows satisfy evidence and usage requirements,data/csv/README.md
Publication,extracted-fund-level-snapshot,95,Preserve source-only fund tables,src/pipeline/publish_review_release.py,Promoted fund tables before completion,Source-only CSV snapshot,Source tables remain separate from subsequent generated values,data/extracted/fund-level/README.md
Publication,integrated-completion,100,Complete missing analytical inputs,src/pipeline/publish_review_release.py,Source-only funds and documented generation assumptions,Completed fund tables and cell origins and reconciliation records,Generated additions retain origin labels and preserve extracted records,data/integrated/README.md
Publication,benchmark-rights-gate,105,Verify benchmark usage rights,src/pipeline/publish_review_release.py,Benchmark series and source policies and promoted records,Verification result with no data rewrite,Demonstration benchmarks carry their source-specific use restrictions,data/public_markets/README.md
Publication,quality,110,Check the integrated fund data,src/pipeline/publish_review_release.py,Source and generated fund records,Integrated accounting and data-quality results,Accounting rules evaluate the correct source or generated population,docs/SYNTHETIC-DATA-AND-QUALITY.md
Publication,extracted-only-quality,112,Check source-only fund data,src/pipeline/publish_review_release.py,Source-only fund records,Source-only quality results,Source exceptions remain visible before generated completion,docs/SYNTHETIC-DATA-AND-QUALITY.md
Publication,extracted-only-analytics,115,Calculate source-only performance,src/pipeline/publish_review_release.py,Quality-approved source periods,Source-only fund metrics,Metrics require the necessary printed inputs and passing quality checks,data/extracted/fund-level/README.md
Publication,analytics,120,Calculate integrated performance,src/pipeline/publish_review_release.py,Completed fund periods and dated cash flows and benchmark levels,Fund metrics and public-market comparisons and allocation weights,Calculations retain the source class of their analytical inputs,data/csv/README.md
Publication,reviewer-publication,130,Publish reviewer tables,src/pipeline/publish_review_release.py,Evidence and fund periods and analytics and cell origins,Flattened reviewer observations and fund periods and cell-origin records,Reviewer exports reconcile their underlying tables,data/extracted/review/README.md
Publication,fund-model-database,140,Build the fund-model database,src/pipeline/publish_review_release.py,Completed fund tables and quality and analytics results,alts.duckdb,Database tables match their CSV inputs,data/warehouse/README.md
Verification,reviewer-check,150,Run closing data checks,src/pipeline/reviewer_check.py,Published data and current assignments and transformation receipts,Recorded data-check result,Source coverage and preservation and accounting scope and database contents agree,docs/STATUS.md
Verification,repository-and-tests,160,Verify repository and regression tests,tests/,Current code and published files and documentation,Recorded repository and test result,Folder guides and file manifest and release audit and regression tests pass,docs/FINAL-RELEASE-AUDIT.md
