path,entry_type,size_bytes,sha256,repository_policy,local_readme,role
.,directory,,,TRACK,README.md,Project root.
.gitattributes,file,1806,e131e12e17ea607c08e8930265a2eb13f027b71188d4c54bf944a7107b5bd5b2,TRACK,README.md,File for .gitattributes.
archive,directory,,,TRACK,archive/README.md,Content-addressed copies of governed pipeline inputs and replaced outputs.
archive/README.md,file,392,f68f085cfe06493ef5acecb93ef7348c1e6d6840594951552bfe8849552f4ef4,TRACK,archive/README.md,Folder guide and direct inventory.
config,directory,,,TRACK,config/README.md,"Versioned schemas, completion settings, fixture settings, and quality tolerances."
config/fund_level_schema.yml,file,15641,da6c92c7311137b72aa185b7970e835e54476948172e9ea65665d56b83962a21,TRACK,config/README.md,"The fund and manager database contract with its identity, grain, and source-tracking rules."
config/integrated_completion.yml,file,546,120e29c44d6af5d049ff15937d57ed439a9fb376c2101fab6afe1951d8468778,TRACK,config/README.md,"Deterministic same-fund completion, benchmark, allocation, and rights-policy settings."
config/quality_rules.yml,file,5885,93900a56f09b3be03dee423ef3bb9ace475884d7f6dd84d44ebbd8a77eddeef6,TRACK,config/README.md,"The 23 recomputed financial checks with their tolerances: money 1.00, multiple 0.005, rate 0.0005."
config/README.md,file,362,3fb0fd4a75f4e89e8cffc818346b89761f23f3fda42093e95452451c5fabd55b,TRACK,config/README.md,Folder guide and direct inventory.
config/synthetic_generation.yml,file,1839,b66473d1232f09e965ad622e4d0dbbb3c34a6e3fb4a5408cfe39ff88c7f5cbdf,TRACK,config/README.md,"Seed, gates, fund target, and the identity and defect rules the mock generator runs under."
costs,directory,,,TRACK,costs/README.md,Folder for costs.
costs/extraction-runs.csv,file,548,5470c73d182c6d7b1f16a77a93a6dba413868011dcf46310c565aee1d7e8b7e1,TRACK,costs/README.md,CSV table for extraction runs.
costs/INITIAL-COST-ESTIMATE.md,file,8346,4d72b2c0f36f33bba7d2f156dcdaf096407561ce213488f68d3a6f697f282ab5,TRACK,costs/README.md,Initial cost estimate documentation.
costs/README.md,file,309,ebf95cae7bfc287a139e1d21f24a7ffb54801dba02c8842ce8eff8e288a58fe3,TRACK,costs/README.md,Folder guide and direct inventory.
dashboard.html,file,,,TRACK,README.md,"The reviewer dashboard as last built: a static picture of the data, opened from disk with no server. Rebuild with open-dashboard.cmd after any data change."
data,directory,,,TRACK,data/README.md,"Source material, extracted facts, integrated outputs, market inputs, fixtures, and databases."
data-gathering,directory,,,TRACK,data-gathering/README.md,"The source ledger, acquisition contract, and corpus recovery tools."
data-gathering/AGENT-A1-CORPUS-GATHERING.md,file,3268,1ea9edaa72635294bc506d8d860ee164174157320f621209fe94828051fed11a,TRACK,data-gathering/README.md,Guide for agent a1 corpus gathering.
data-gathering/document-types.csv,file,221,bd7ed796d4eb17c882fc72143b7332880122f726efba03cc9146aaec835f4a57,TRACK,data-gathering/README.md,Controlled 17-value document-type list.
data-gathering/document-types.md,file,2152,3151694925eece8826c169e36c3011c27430dd282a112f41af1f6c8887a94965,TRACK,data-gathering/README.md,Document-family counts and visible field summary.
data-gathering/README.md,file,887,11ef1f71e63473ec960211c6ddad2af94a36dd33babc629342d644108f2332db,TRACK,data-gathering/README.md,Folder guide and direct inventory.
data-gathering/source_ledger.csv,file,342290,077b746d1432e13c13cb0c50769ac311406750f39c7bd3e5ee7675b43408bdaa,TRACK,data-gathering/README.md,"Authoritative source ID, URL, report type, page count, and acquisition metadata."
data-gathering/src,directory,,,TRACK,data-gathering/src/README.md,"Download, hash, PDF-probe, merge, and page-render utilities."
data-gathering/src/_acquire_lib.py,file,5044,e7368461d5859910babbfcb94ec2ee45153095d6a471d8f35a730002745f7b28,TRACK,data-gathering/src/README.md,"Download, identify, hash, and probe source PDFs."
data-gathering/src/_merge_rows.py,file,7373,598db42e07dd9ae4e5f87cd767e36dfb14f45f7d9e42764923154482cef34542,TRACK,data-gathering/src/README.md,Validate reviewed acquisitions before extending the source ledger.
data-gathering/src/fetch_corpus.py,file,4426,be9880aec1c6e5d41f747d5c3b0c381015cb0654fde21145db17c21120fb0fb2,TRACK,data-gathering/src/README.md,Restore ledgered PDFs and reject changed bytes.
data-gathering/src/README.md,file,435,0c8acc839bc425d4efc8728f42fc4f2ece777048eebdce8570d6525fa85b7fc6,TRACK,data-gathering/src/README.md,Folder guide and direct inventory.
data-gathering/src/render_image_corpus.py,file,10913,d84a6611a4fb7a97493788517f9e8045ffe9e7659ec400618ba5481037628395,TRACK,data-gathering/src/README.md,Render physical PDF pages for visual review.
data/csv,directory,,,TRACK,data/csv/README.md,"Final portable fund tables, financial checks, and analytical results."
data/csv/benchmark_returns.csv,file,2535855,0a51fdabfbc5a0af6886608c7a00d0776e9804c5c28c4f212f301e3323c9fb60,TRACK,data/csv/README.md,"Dated benchmark returns, each naming its source file and parameter set."
data/csv/defect_injections.csv,file,3454,9d9e0073b6c4f77e61d9aa515776741a5f0b3e317e3e003d3d61404912601475,TRACK,data/csv/README.md,Declared changes applied to the damaged mock population.
data/csv/document_entity_context.csv,file,64623,36f132e6d6813cb76144eadfeb64b39504f6de3e9d56df6615d254d835717aa2,TRACK,data/csv/README.md,"Fund, manager, LP, share-class, and perspective context used during extraction."
data/csv/document_fund_map.csv,file,56342,ac3ab6710e12d70e50e59994a260cbdbc034c92c6ceab357dbf49eaada59b279,TRACK,data/csv/README.md,Source-backed links between each document and every named fund.
data/csv/document_manager_map.csv,file,7219,b3a7a220653ffc209865c47ca31663e29ce2a822f67b49127181539c742f54a4,TRACK,data/csv/README.md,Source-backed links between each document and every named manager.
data/csv/entity_registry.csv,file,33469,03539a0a743d245d2eb107177f69cc6383f0a5dbb67b970f3e74815aaf8fd053,TRACK,data/csv/README.md,Stable standardized entity identifiers by entity kind.
data/csv/fund_cashflows.csv,file,1797706,12494480860aad782fd68f4b073680e6cdf126c911337e2dc464a736ce7ebdfc,TRACK,data/csv/README.md,"Dated calls, distributions, fees, subscriptions, and other cash-flow events."
data/csv/fund_holdings.csv,file,825146,c71ec92d5ca9a561f0f1982255f429a9896bc42993f0fc7db60aed9384ccb178,TRACK,data/csv/README.md,"Portfolio-company and instrument positions with date, cost, value, and source of the row."
data/csv/fund_master.csv,file,269492,779773cdae6cfdd4eb26f2f708d1349ec41c099148bd388b0c3398813e28ca76,TRACK,data/csv/README.md,"Fund-level identity, manager, strategy, vintage, size, currency, and whether the row was extracted or generated."
data/csv/fund_metrics.csv,file,1286966,82534eeb8e9fa271492d5281175788166ab41d268754be34e77eb8e7b2983f1d,TRACK,data/csv/README.md,Calculated multiples and IRR.
data/csv/fund_observations.csv,file,1092206,78a9e0975b39cea32f850b98492f77a9d2d26522e3d58fe91ca090747da4b7ad,TRACK,data/csv/README.md,"Long-form fund facts preserving metric, date role, grain, value, and evidence."
data/csv/fund_periods.csv,file,665453,7b8c3a8f4bf867eb56a1807a6b25eac9ae7d0987fc3ca86e9ac8ed8c25dfc6a3,TRACK,data/csv/README.md,"Fund or position snapshots for capital, NAV, multiples, IRR, and NAV rollforward."
data/csv/fund_term_clauses.csv,file,352430,96e1e4ed955cbf16e9d3f416462d2ff88b7f0a5ddd3740480098131272d87e4e,TRACK,data/csv/README.md,"Source wording for governance, risk, transfer, and other nonnumeric provisions."
data/csv/fund_terms.csv,file,285318,b43b7ab51c8d344114a88236dba3822ff056347d5193905cb01dfa2f9828f2a7,TRACK,data/csv/README.md,"Numeric fund, LP, and share-class economic terms with effective dates."
data/csv/manager_master.csv,file,11594,b1c22fdd364d1881f3a6c1f0932970ec87604dc047599c382fb438247e3e37ae,TRACK,data/csv/README.md,"Manager-level identity, and whether the row was extracted, derived, or generated."
data/csv/manager_observations.csv,file,17703,31e69ed72a157c9592cd3871ba7b4a42046669c6130608507d24570df3819015,TRACK,data/csv/README.md,Long-form manager facts kept separate from fund facts.
data/csv/pme_results.csv,file,1243095,ac3bab66c4ff92e09181121df3a8e042ca26a6a13013414cdd8f22023a576e14,TRACK,data/csv/README.md,"PME results with benchmark, cash-flow, and input-period lineage."
data/csv/portfolio_allocations.csv,file,308531,f4e7d7c449042aa2f94769fa9fdfd6714c137eb29313503e8a57f470dec1f6dd,TRACK,data/csv/README.md,Bounded portfolio weights and constraint results.
data/csv/quality_results.csv,file,10371667,789b693125d6d21b5808850d4d518e0fd4ad3229f916829b4309cce02b87b78a,TRACK,data/csv/README.md,Rule-by-rule quality results.
data/csv/README.md,file,2604,1871f48d379d72bd1afa914a78bf1625f2ffa3bebbb23886f9a948a1ebbede1a,TRACK,data/csv/README.md,Folder guide and direct inventory.
data/csv/synthetic_parameters.csv,file,11071,3580162725f9ffe67ee5f80b1d31aa1512ee7033a6977d113a3b54fc0b932b88,TRACK,data/csv/README.md,"Completion parameters: three medians derived from extracted periods and the declared configuration values, each with its origin class."
data/demo,directory,,,TRACK,data/demo/README.md,A two-fund example with one clean record and one planted-error record.
data/demo/defect_injections.csv,file,1099,e4609d51c2ea8cce9116dbc31449c14695a821a30c42d1fdb7eb271a5899a32a,TRACK,data/demo/README.md,Declared changes applied to the damaged mock population.
data/demo/fund_cashflows.csv,file,2127,8720874d40ebe805bf1489f810d4f2b7f0a37c5f6269b5a08d16144295faad7f,TRACK,data/demo/README.md,"Dated calls, distributions, fees, subscriptions, and other cash-flow events."
data/demo/fund_master.csv,file,910,06080817d4221829487fdce67dda38d96cd02d36d546406e5396c4fca2baff19,TRACK,data/demo/README.md,"Fund-level identity, manager, strategy, vintage, size, currency, and whether the row was extracted or generated."
data/demo/fund_periods.csv,file,1312,8198b352d0a1bbb8c8b6c7bbe6cfc39c16f9d02642b537a4a5ee1b97d1e921ee,TRACK,data/demo/README.md,"Fund or position snapshots for capital, NAV, multiples, IRR, and NAV rollforward."
data/demo/quality_results.csv,file,10891,654adb16cbe6a514f3a260d010c256f323d06e06c41cf37d9a5ea7139dda812e,TRACK,data/demo/README.md,Rule-by-rule quality results.
data/demo/README.md,file,511,c0c0f6e5eecbadda1338c09259f941b87af82ad93f7c5ac15aab0f911715c5a5,TRACK,data/demo/README.md,Folder guide and direct inventory.
data/demo/synthetic_parameters.csv,file,1119,df4b67505e18bf6413790dfd5e035ca13f1f315935e0c2c3701eb7a047f89e96,TRACK,data/demo/README.md,"Completion parameters: three medians derived from extracted periods and the declared configuration values, each with its origin class."
data/documents,directory,,,TRACK,data/documents/README.md,"Local PDF sources plus text, image, and positional-grid reading aids."
data/documents/grids,directory,,,TRACK,data/documents/grids/README.md,Word-position grids for the active extraction slice.
data/documents/grids/DDQ_AIMA_Bear_Stearns_HGSCS_FCIC.csv,file,4419,2dab56d75e9e12ebc0592022128e798e637515a27a4df8d0e84e53eff037ee2c,TRACK,data/documents/grids/README.md,Physical-page word coordinates used to recover table rows and columns.
data/documents/grids/DDQ_AIMA_CTA_Chesapeake_Capital.csv,file,1725,7ebd2849594cacadb43c9acaa280b5068b32cfc8e086ea4587495148e0bb2fc2,TRACK,data/documents/grids/README.md,Physical-page word coordinates used to recover table rows and columns.
data/documents/grids/DDQ_Hamilton_Lane_Global_Private_Assets_Fund_May2025.csv,file,5947,f0ab00bb37dac6705ea376295eb6d989cb0df93b2b4a365b138e10aa5e35918e,TRACK,data/documents/grids/README.md,Physical-page word coordinates used to recover table rows and columns.
data/documents/grids/Fee_Report_PSERS_Aon_Base_Management_Fees_FY2017.csv,file,6133,0ff69ed91d8aaaaa3a2422a4eafe922669e397be00dffe12c9951c10c07fe1d2,TRACK,data/documents/grids/README.md,Physical-page word coordinates used to recover table rows and columns.
data/documents/grids/Fee_Report_PSERS_Fee_Transparency_Response_Bullet2.csv,file,619,37957b3f3fb61dabd9c7c069c78218b658d04f2dcb3fd65f8059126bb526ac20,TRACK,data/documents/grids/README.md,Physical-page word coordinates used to recover table rows and columns.
data/documents/grids/Financials_Gates_Foundation_Trust_Dec2016.csv,file,24466,924c4eb63a39e42a07d3d189185b2c178f24eb4cb9a559a827f78544899d95b7,TRACK,data/documents/grids/README.md,Physical-page word coordinates used to recover table rows and columns.
data/documents/grids/Financials_PSERS_Notes_To_Financial_Statements_Response002.csv,file,14811,7357eb25a0b7857d015dae2e6396b8301dea407a9577e88dc484547196220671,TRACK,data/documents/grids/README.md,Physical-page word coordinates used to recover table rows and columns.
data/documents/grids/Financials_Versa_Capital_Fund_II_LP_PSERS_FOIA.csv,file,115,8990eeec15103f45e3e20ba15bce10dd7047663ba634b9ba7d9067b96896ea00,TRACK,data/documents/grids/README.md,"Physical-page word coordinates used to recover table rows and columns. Header-only: MANIFEST.csv records why, either a scan with no text layer or a native-text document printing no numeric table."
