record_group,field_name,source_labels_seen,definition,first_seen_file_id,files_processed,files_checked_for_field,files_with_field,presence_pct,total_observations,avg_observations_when_present,extractability,alt_investment_use,provisional_class,merged_into,example_file_id,example_page,notes
subscription,fund_name,Fund,Fund or partnership being subscribed to,SRC006,4,4,4,100.0,4,1.00,high,subscription eligibility / onboarding / contractual data,CORE,,SRC006,2,
subscription,general_partner_name,General Partner/Managing Member,General partner or managing member,SRC006,4,4,4,100.0,4,1.00,high,subscription eligibility / onboarding / contractual data,CORE,,SRC006,2,
subscription,subscriber_legal_name,Print Name of Entity; Print Name of Individual,Applicant/subscriber legal name,SRC006,4,4,4,100.0,5,1.25,high,subscription eligibility / onboarding / contractual data,CORE,,SRC006,5,
subscription,subscription_date,Dated; Date,Date investor executes or submits subscription,SRC006,4,4,4,100.0,5,1.25,high,subscription eligibility / onboarding / contractual data,CORE,,SRC006,"5,9",
subscription,requested_commitment_amount_raw,Subscription Amount,Amount investor applies to subscribe/commit,SRC006,4,4,4,100.0,4,1.00,high,subscription eligibility / onboarding / contractual data,CORE,,SRC006,5,
subscription,accepted_commitment_amount_raw,Accepted as of,Amount accepted by fund/GP when stated,SRC006,4,4,4,100.0,4,1.00,high,subscription eligibility / onboarding / contractual data,CORE,,SRC006,5,
subscription,fund_jurisdiction,Delaware limited partnership/limited liability company,Fund legal jurisdiction/formation context,SRC006,4,4,4,100.0,4,1.00,high,subscription eligibility / onboarding / contractual data,CORE,,SRC006,2,
subscription,subscriber_entity_type,Indicate type of Entity; individual/entity forms,Legal form/type of investor,SRC006,4,4,4,100.0,4,1.00,high,subscription eligibility / onboarding / contractual data,CORE,,SRC006,12-13,
subscription,subscriber_jurisdiction,State Whose Laws Govern the Entity,Investor jurisdiction of formation/governance,SRC006,4,4,3,75.0,4,1.33,high,subscription eligibility / onboarding / contractual data,CORE,,SRC006,13,
subscription,ownership_form,form of ownership desired,Investor ownership form/capacity selected for the interest,SRC607,4,4,2,50.0,14,7.00,high,subscription eligibility / onboarding / contractual data,CORE,,SRC607,5-6,Backfilled against SRC006/SRC005: absent as explicit field unless captured generically.
qualification_response,qualification_type,ACCREDITED INVESTOR; QUALIFIED PURCHASER,Qualification/eligibility regime tested,SRC006,4,4,4,100.0,26,6.50,high,subscription eligibility / onboarding / contractual data,CORE,,SRC006,6-7,
qualification_response,criterion_label,Please check the boxes...,Printed eligibility criterion or option,SRC006,4,4,4,100.0,156,39.00,high,subscription eligibility / onboarding / contractual data,CORE,,SRC006,"6-7,11-14",
qualification_response,response_raw,checkbox / representation,Selected or stated response to criterion,SRC006,4,4,4,100.0,156,39.00,high,subscription eligibility / onboarding / contractual data,CORE,,SRC006,"6-7,11-14",
qualification_response,threshold_value_raw,"1 million; 200,000; 300,000; 5,000,000; 25,000,000",Printed quantitative eligibility threshold,SRC006,4,4,4,100.0,44,11.00,high,subscription eligibility / onboarding / contractual data,CORE,,SRC006,"6-7,12,16",
qualification_response,threshold_basis,net worth; income; investments; total assets,Basis/unit for quantitative threshold,SRC006,4,4,4,100.0,44,11.00,high,subscription eligibility / onboarding / contractual data,CORE,,SRC006,"6-7,12,16",
qualification_response,source_rule,Regulation D; 1940 Act; Section 2(51)(A),Printed legal/regulatory reference tied to qualification,SRC006,4,4,4,100.0,44,11.00,high,subscription eligibility / onboarding / contractual data,CORE,,SRC006,"6-7,11",
representation,representation_category,Representations and Warranties; Acceptance of Agreement; Power of Attorney,Category of contractual representation/acknowledgement,SRC006,4,4,4,100.0,47,11.75,high,subscription eligibility / onboarding / contractual data,CORE,,SRC006,2-4,
representation,representation_text_raw,printed operative representation,Operative representation or acknowledgement text,SRC006,4,4,4,100.0,129,32.25,high,subscription eligibility / onboarding / contractual data,CORE,,SRC006,2-4,
representation,response_or_status,represents; warrants; understands; agrees,Whether representation is affirmative/negative/conditional when structured,SRC006,4,4,4,100.0,129,32.25,high,subscription eligibility / onboarding / contractual data,CORE,,SRC006,2-4,
representation,update_obligation_flag,notify ... material change,Whether investor must update the information/representation after signing,SRC006,4,4,4,100.0,5,1.25,high,subscription eligibility / onboarding / contractual data,CORE,,SRC006,"4,9",
execution,party_role,Investor; General Partner/Managing Member; Fund,Role of executing/accepting party,SRC006,4,4,4,100.0,13,3.25,high,subscription eligibility / onboarding / contractual data,CORE,,SRC006,5,
execution,signatory_name,Name,Printed signatory name,SRC006,4,4,4,100.0,11,2.75,high,subscription eligibility / onboarding / contractual data,CORE,,SRC006,5,
execution,signatory_title,Title,Printed signatory title/capacity,SRC006,4,4,4,100.0,10,2.50,high,subscription eligibility / onboarding / contractual data,CORE,,SRC006,5,
execution,execution_date,Dated; Accepted as of,Execution/acceptance date associated with a signature,SRC006,4,4,4,100.0,11,2.75,high,subscription eligibility / onboarding / contractual data,CORE,,SRC006,5,
execution,acceptance_status,accepted/rejected in whole or in part,Subscription acceptance/rejection status,SRC006,4,4,4,100.0,4,1.00,high,subscription eligibility / onboarding / contractual data,CORE,,SRC006,"2,5",
payment_instruction,payment_direction,wire transfer ... full amount of subscription,Contribution/subscription or distribution direction,SRC006,4,4,4,100.0,7,1.75,high,subscription eligibility / onboarding / contractual data,EXTENSION,,SRC006,1,
payment_instruction,bank_name,wire transfer instructions from General Partner,Receiving bank when printed/provided,SRC006,4,4,3,75.0,5,1.67,high,subscription eligibility / onboarding / contractual data,EXTENSION,,SRC006,1,
payment_instruction,routing_code,SWIFT/ABA,Printed routing identifier when present,SRC006,4,4,3,75.0,6,2.00,high,subscription eligibility / onboarding / contractual data,EXTENSION,,SRC006,1,
payment_instruction,account_identifier,Account; A/C #,Printed receiving account identifier when present,SRC006,4,4,3,75.0,6,2.00,high,subscription eligibility / onboarding / contractual data,EXTENSION,,SRC006,1,
payment_instruction,payment_reference,wire transfer reference,Printed payment reference/memo requirement when present,SRC006,4,4,3,75.0,4,1.33,high,subscription eligibility / onboarding / contractual data,EXTENSION,,SRC006,1,
subscription,investor_category,"Purchaser Questionnaire For Individuals; Partnerships, Corporations, and Trusts",Broad investor category,SRC006,4,4,4,100.0,5.0,1.25,high,subscription eligibility / onboarding / contractual data,DROP,,SRC006,"6,11",
subscription,offering_document_reference,Confidential Private Placement Memorandum,Referenced offering/governing document and date when printed,SRC006,4,4,4,100.0,4.0,1.00,high,subscription eligibility / onboarding / contractual data,DROP,,SRC006,2,
execution,witness_or_notary_required,signature requirements,Whether witnessing/notarization is expressly required,SRC006,4,4,3,75.0,2.0,0.67,high,subscription eligibility / onboarding / contractual data,DROP,,SRC006,5,
subscription,tax_identifier,Taxpayer I.D.; Social Security Number,Personal/entity tax identifier,SRC006,4,4,4,100.0,11.0,2.75,high,subscription eligibility / onboarding / contractual data,DROP,,SRC006,"8,10,13",
subscription,personal_address,Home Address; Mailing Address,Personal/contact address,SRC006,4,4,4,100.0,14.0,3.50,high,subscription eligibility / onboarding / contractual data,DROP,,SRC006,"8,10,13",
subscription,personal_contact,Telephone; email,Personal contact details,SRC006,4,4,4,100.0,20.0,5.00,high,subscription eligibility / onboarding / contractual data,DROP,,SRC006,"8,13",
subscription,date_of_birth,Date of Birth,Natural-person birth date,SRC006,4,4,3,75.0,3.0,1.00,high,subscription eligibility / onboarding / contractual data,DROP,,SRC006,8,
subscription,admission_long_stop,[three] months from submission,Printed deadline after which an unaccepted application may be revoked,SRC005,4,4,1,25.0,1,1.00,high,subscription eligibility / onboarding / contractual data,DROP,,SRC005,5,Backfilled against SRC006: absent unless semantically covered by generic representation/qualification rows.
qualification_response,beneficial_holding_status,hold ... beneficially; trustee for beneficiaries,Printed beneficial/trustee holding status,SRC005,4,4,3,75.0,4.0,1.33,high,subscription eligibility / onboarding / contractual data,DROP,qualification_response.response_raw,SRC005,16,Backfilled against SRC006: absent unless semantically covered by generic representation/qualification rows.
qualification_response,public_disclosure_status,"freedom of information, public disclosure ... A/B",Whether investor is subject to disclosure/right-to-know obligations,SRC005,4,4,3,75.0,3.0,1.00,high,subscription eligibility / onboarding / contractual data,DROP,,SRC005,8-9,Backfilled against SRC006: absent unless semantically covered by generic representation/qualification rows.
representation,indemnity_cap,shall not exceed ... Commitment,Printed cap on subscription-agreement indemnity when present,SRC005,4,4,1,25.0,1,1.00,high,subscription eligibility / onboarding / contractual data,DROP,,SRC005,9,Backfilled against SRC006: absent unless semantically covered by generic representation/qualification rows.
subscription,principal_contact_role,Name of principal contact,Role/designation for operational fund notices,SRC005,4,4,3,75.0,3.0,1.00,high,subscription eligibility / onboarding / contractual data,DROP,,SRC005,14,Backfilled against SRC006: absent unless semantically covered by generic representation/qualification rows.
qualification_response,applicable_percentage,Percentage; what percentage ...,Printed investor-level percentage response tied to eligibility/tax/benefit-plan status,SRC607,4,4,2,50.0,12.0,6.00,high,subscription eligibility / onboarding / contractual data,DROP,,SRC607,"6,17",Backfilled against SRC006/SRC005: absent as explicit field unless captured generically.
payment_instruction,account_name,A/C Name; FBO Name,Printed account or beneficiary name for distribution/payment wiring,SRC607,4,4,2,50.0,5.0,2.50,high,subscription eligibility / onboarding / contractual data,DROP,payment_instruction.account_identifier,SRC607,9,Backfilled against SRC006/SRC005: absent as explicit field unless captured generically.
payment_instruction,distribution_method,cash distributions; wire,Method/direction for investor distributions,SRC607,4,4,2,50.0,4.0,2.00,high,subscription eligibility / onboarding / contractual data,DROP,payment_instruction.payment_direction,SRC607,9,Backfilled against SRC006/SRC005: absent as explicit field unless captured generically.
contact_preference,contact_role,Additional Contact Persons,Role/category of operational recipient,SRC607,4,4,2,50.0,9.0,4.50,high,subscription eligibility / onboarding / contractual data,DROP,,SRC607,7,Backfilled against SRC006/SRC005: absent as explicit field unless captured generically.
contact_preference,document_type,capital call notices; distribution notices; K-1; reporting,Fund communication type to be sent to a contact,SRC607,4,4,2,50.0,22.0,11.00,high,subscription eligibility / onboarding / contractual data,DROP,,SRC607,7,Backfilled against SRC006/SRC005: absent as explicit field unless captured generically.
