holding_id,document_id,route,page_id,source_page,source_table,holding_label,holding_alias_id,holding_entity_id,subject_type,source_occurrence,as_of_date_raw,as_of_date,currency,unit_scale,unit_scale_multiplier,fair_value,market_value,cost,notional_amount,quantity,portfolio_weight,interest_rate,maturity_date_raw,observation_ids,observation_count,collision_note
f6fcf356ce48f6ae43dd,SRC034,01-financials,fd18d421ead487521a9a,4,Combined Schedule of Investments,REDACTED,,,investment,1,"March 31, 2018",2018-03-31,,absolute,1,150000000,,89000000,,,34.22,,,c0382c3e21afbdf80451;eeafbc0b5b57f6adcc5b;55c71a354ce9583abfc3,3,
2924232937806206d2f5,SRC034,01-financials,fd18d421ead487521a9a,4,Combined Schedule of Investments,REDACTED,,,investment,2,"March 31, 2018",2018-03-31,,absolute,1,45000000,,3073705,,,10.26,,,d3b29abe7a965d72ce3c;0e1a197ffe06bf47841b;9fe719ee5c6dcbc7cf62,3,
a74b8e7dd4c34499a967,SRC034,01-financials,fd18d421ead487521a9a,4,Combined Schedule of Investments,REDACTED,,,investment,3,"March 31, 2018",2018-03-31,,absolute,1,90000000,,43204400,,,20.53,,,391ce5f4fc89a7cc8fed;2da4e73e6f300c12d17d;5430aea4b7a559aa3dac,3,
9d6c6e5b7e369165d587,SRC034,01-financials,fd18d421ead487521a9a,4,Combined Schedule of Investments,REDACTED,,,investment,4,"March 31, 2018",2018-03-31,,absolute,1,93000000,,43376204,,,21.21,,,4fabe15ddc3855edbb47;b1c88a180bffcf32a854;38dd051f7ec4aee2336f,3,
c57fa793893f93dbb43e,SRC034,01-financials,fd18d421ead487521a9a,4,Combined Schedule of Investments,REDACTED,,,investment,5,"March 31, 2018",2018-03-31,,absolute,1,3000000,,49457930,,,0.68,,,9f21df366069298c5133;3f2c9a09b40fb821a54b;33467ee1682e36685ac9,3,
1460395a6ba7415fbab5,SRC034,01-financials,fd18d421ead487521a9a,4,Combined Schedule of Investments,REDACTED,,,investment,6,"March 31, 2018",2018-03-31,,absolute,1,43000000,,34813999,,,9.81,,,c928a37f2244812fddc0;45953593086ec10d3a77;a3d121a9fca604dc1bec,3,
11a75d5f8be43d2ed687,SRC034,01-financials,fd18d421ead487521a9a,4,Combined Schedule of Investments,REDACTED,,,investment,7,"March 31, 2018",2018-03-31,,absolute,1,1000000,,152562871,,,0.23,,,fe145196badce8ccf24c;e00d41cf3b0bd16275fb;0581838b2e2d8abe6324,3,
e4bcea864d90577f2c09,SRC192,03-institutional-report,b8d5bf56addec5df8757,5,Largest Debt Securities Holdings,CRC CF 5/4/2026,d18862792b0a08a72b3e,CO_0007,investment,1,"December 31, 2021",2021-12-31,USD,absolute,1,38668500,,,39000000,,,,,85456ca8b97b4717594d;2f373ec19545cbf73762,2,
63e2085b4b81684294d4,SRC192,03-institutional-report,b8d5bf56addec5df8757,5,Largest Debt Securities Holdings,FNMA Single Family Mortgage 0% 1/2022,58aa524c2faa26ed049f,CO_0013,investment,1,"December 31, 2021",2021-12-31,USD,absolute,1,32818434,,,31681960,,,,,7b5c4077b4a119861b87;c4b5f7b311381d08f4cd,2,
122b052ae7ed8e6cd1a0,SRC192,03-institutional-report,b8d5bf56addec5df8757,5,Largest Debt Securities Holdings,FNMA Single Family Mortgage 0% 2/2022,2517289b8c1c28804954,CO_0014,investment,1,"December 31, 2021",2021-12-31,USD,absolute,1,248093513,,,246127000,,,,,ea9a2f62bd264b7eae75;ae4968202f19578a1b23,2,
4a207818915b10d61255,SRC192,03-institutional-report,b8d5bf56addec5df8757,5,Largest Debt Securities Holdings,FNMA Single Family Mortgage 3.0% 1/2022,8e91aceed0729bb820f1,CO_0015,investment,1,"December 31, 2021",2021-12-31,USD,absolute,1,37249844,,,35940000,,,,,dca6d858d23e6a7521da;205f198cc258d074f437,2,
2dcb9be5f0746b70088b,SRC192,03-institutional-report,b8d5bf56addec5df8757,5,Largest Debt Securities Holdings,GNMA 2% 1/15/2051,a040c30947f300c9eb15,CO_0018,investment,1,"December 31, 2021",2021-12-31,USD,absolute,1,40387308,,,40006000,,,,,8d990bcbef76479cf43a;01461f3ec45bbeae4466,2,
ee3181fc1f78702f1fb8,SRC192,03-institutional-report,b8d5bf56addec5df8757,5,Largest Debt Securities Holdings,Gate SME Ser 144A 12/15/2025,cba245078c27b8074fd7,CO_0017,investment,1,"December 31, 2021",2021-12-31,USD,absolute,1,42563068,,,38069496,,,,,c4b53c24d9c3ed9ac465;6e6936d915929b7d004f,2,
5fe9247177e4a1728802,SRC192,03-institutional-report,b8d5bf56addec5df8757,5,Largest Debt Securities Holdings,United States Treasury Bond 1.75% 8/15/2041,3432cf59480f511785ac,CO_0029,investment,1,"December 31, 2021",2021-12-31,USD,absolute,1,52411582,,,53885000,,,,,7a75f7b8cb01b34af471;efe38236fddcc81eb2c0,2,
660f553dbf62eec94224,SRC192,03-institutional-report,b8d5bf56addec5df8757,5,Largest Debt Securities Holdings,United States Treasury Bond 3.125% 11/15/2041,9c3be5306e53974f5165,CO_0030,investment,1,"December 31, 2021",2021-12-31,USD,absolute,1,34702071,,,28790000,,,,,dc4175398df4de2ff70a;91c3e7192d52207efecd,2,
d9d469cca69b699a4505,SRC192,03-institutional-report,b8d5bf56addec5df8757,5,Largest Debt Securities Holdings,United States Treasury Bond 3.125% 5/15/2048,50c9199f1d1da9c7f776,CO_0031,investment,1,"December 31, 2021",2021-12-31,USD,absolute,1,37590438,,,29960000,,,,,79c377f8abfc157ad38a;3a81af8b411c028b1a16,2,
538ad44d0bd6c0696fa3,SRC192,03-institutional-report,b8d5bf56addec5df8757,5,Largest Debt Securities Holdings,United States Treasury Note .625% 11/15/2024,87b5c7b560d3e4191850,CO_0032,investment,1,"December 31, 2021",2021-12-31,USD,absolute,1,42678689,,,42910000,,,,,b4ff086ed3149452556a;2be7e07f2e02586d6eed,2,
a05aef29e785283cab80,SRC192,03-institutional-report,b8d5bf56addec5df8757,5,Largest Equity Holdings,Alphabet,ac5fabc0166faef30b1f,CO_0001,investment,1,"December 31, 2021",2021-12-31,USD,absolute,1,171038345,,,,59039,,,,3532ed3dafb5a259fc5e;288f2b94e9a99535bdf3,2,
2417d8a9dc5b17549a98,SRC192,03-institutional-report,b8d5bf56addec5df8757,5,Largest Equity Holdings,Alphabet,ac5fabc0166faef30b1f,CO_0001,investment,2,"December 31, 2021",2021-12-31,USD,absolute,1,104658257,,,,36169,,,,4bec33b36dbdf86f73e3;2338ca407660af246576,2,
e25aec84bcd51285bde4,SRC192,03-institutional-report,b8d5bf56addec5df8757,5,Largest Equity Holdings,Amazon,5787c6858f0dc0a8f15d,CO_0002,investment,1,"December 31, 2021",2021-12-31,USD,absolute,1,186359651,,,,55945,,,,6670cfb43186eed6c117;6312b050c4e463390d6f,2,
04560728c5fcf6f30358,SRC192,03-institutional-report,b8d5bf56addec5df8757,5,Largest Equity Holdings,Apple,d1e4ae2149a8bfdffe37,CO_0004,investment,1,"December 31, 2021",2021-12-31,USD,absolute,1,354247888,,,,1994976,,,,9934728139a9e044a952;c608dea9e9d97c3371ed,2,
da3bc1377afe9ccfd976,SRC192,03-institutional-report,b8d5bf56addec5df8757,5,Largest Equity Holdings,Embraer,826f6d1c471fd5382ee2,CO_0011,investment,1,"December 31, 2021",2021-12-31,USD,absolute,1,79375095,,,,17813025,,,,315df34b76713e83ff8a;e9fdf706f7798bab1903,2,
b4880e7e2c161b83709c,SRC192,03-institutional-report,b8d5bf56addec5df8757,5,Largest Equity Holdings,Meta Platforms,dd8eaa15b400905fc017,CO_0033,investment,1,"December 31, 2021",2021-12-31,USD,absolute,1,102730708,,,,305428,,,,fbf802628508b9215ac0;ca75be76c2b00939d5ab,2,
d9a7bc34fe7187395af4,SRC192,03-institutional-report,b8d5bf56addec5df8757,5,Largest Equity Holdings,Microsoft,0668e73d1795e601a21e,CO_0034,investment,1,"December 31, 2021",2021-12-31,USD,absolute,1,327589469,,,,974041,,,,304512a4078d7b2852a3;a37e37e9481db3f4af23,2,
