observation_id,document_id,route,canonical_doc_type,product_tier,page_id,source_page,source_structure_type,source_section,source_table,source_row_label,source_column_label,source_occurrence,record_family,metric_id,metric_category,metric_name,subject_type,subject_alias_id,subject_entity_id,subject_name,subject_standardized_name,subject_manager_name,manager_alias_id,manager_entity_id,investor_alias_id,investor_entity_id,portfolio_name,asset_class,strategy,geography,vintage_year,horizon,date_precision,as_of_date_raw,as_of_date,period_start_raw,period_start,period_end_raw,period_end,value_kind,value_raw,value_numeric,value_text,value_sign,currency,unit,unit_scale,unit_scale_multiplier,currency_scale_raw,term_category,basis_raw,condition_raw,evidence_quote,evidence_class,adjudication_status,source_agents,extractor_model,contract_version,notes
1d5fb618817ecfdc6df5,SRC034,01-financials,Financials,CORE,be772b1c0dcf636b24c5,3,DOCUMENT,"Combined Statement of Assets, Liabilities, and Partners' Capital",,DOCUMENT,,1,document_context,document_context,,,document,5c89295c912b799011d1,,"VERSA CAPITAL FUND II, L.P. AND VERSA CAPITAL FUND II-A, L.P.",,,,,,,,,,,,,day,"March 31, 2018",2018-03-31,,,,,none,,,,,,,absolute,1,,,,,"VERSA CAPITAL FUND II, L.P. AND VERSA CAPITAL FUND II-A, L.P. (Delaware Limited Partnerships)",actual,RESOLVED,A+B+ADJUDICATOR,claude-sonnet-5+GPT-5+claude-opus-5,2026-08-22.2,
c051cd3576db18ad4b32,SRC034,01-financials,Financials,CORE,be772b1c0dcf636b24c5,3,TABLE,"Combined Statement of Assets, Liabilities, and Partners' Capital","Combined Statement of Assets, Liabilities, and Partners' Capital",Cash,Total,1,financial_statement_observation,financial_statement_observation.cash,cash,Cash,asset_class,c7c23a14591c1ccff9ce,,Cash,,,,,,,,,,,,,day,"March 31, 2018",2018-03-31,,,,,number,"13,307,614",13307614,,positive,USD,,absolute,1,$,,,,"Cash 13,307,614",actual,RESOLVED,A+B+ADJUDICATOR,claude-sonnet-5+GPT-5+claude-opus-5,2026-08-22.2,
e7ba55bef0f2f5ba97d2,SRC034,01-financials,Financials,CORE,be772b1c0dcf636b24c5,3,TABLE,"Combined Statement of Assets, Liabilities, and Partners' Capital","Combined Statement of Assets, Liabilities, and Partners' Capital",General Partner,Total,1,financial_statement_observation,financial_statement_observation.partners_capital,partners_capital,General Partner,investor,5880d63ce50854dad457,LP_0010,General Partner,General Partner,,,,,,,,,,,,day,"March 31, 2018",2018-03-31,,,,,number,"26,095,710",26095710,,positive,USD,,absolute,1,$,,,,"General Partner 26,095,710",actual,RESOLVED,A+B+ADJUDICATOR,claude-sonnet-5+GPT-5+claude-opus-5,2026-08-22.2,
cf69cb0bdf953a3356ed,SRC034,01-financials,Financials,CORE,be772b1c0dcf636b24c5,3,NARRATIVE,"Combined Statement of Assets, Liabilities, and Partners' Capital","Combined Statement of Assets, Liabilities, and Partners' Capital","Investments, at fair value (cost $415,489,109)",,1,financial_statement_observation,financial_statement_observation.investment_cost,investment_cost,cost,asset_class,eedbe5a35fa97059aaf0,,"Investments, at fair value (cost $415,489,109)",,,,,,,,,,,,,day,"March 31, 2018",2018-03-31,,,,,currency,"$415,489,109",415489109,,positive,USD,,absolute,1,$,,,,"Investments, at fair value (cost $415,489,109)",actual,RESOLVED,A+B+ADJUDICATOR,claude-sonnet-5+GPT-5+claude-opus-5,2026-08-22.2,
a405b270004e359a6d16,SRC034,01-financials,Financials,CORE,be772b1c0dcf636b24c5,3,TABLE,"Combined Statement of Assets, Liabilities, and Partners' Capital","Combined Statement of Assets, Liabilities, and Partners' Capital","Investments, at fair value (cost $415,489,109)",Total,1,financial_statement_observation,financial_statement_observation.investment_fair_value,investment_fair_value,"Investments, at fair value (cost $415,489,109)",asset_class,eedbe5a35fa97059aaf0,,"Investments, at fair value (cost $415,489,109)",,,,,,,,,,,,,day,"March 31, 2018",2018-03-31,,,,,currency,"$425,000,000",425000000,,positive,USD,,absolute,1,$,,,,"Investments, at fair value (cost $415,489,109) $ 425,000,000",actual,RESOLVED,A+B+ADJUDICATOR,claude-sonnet-5+GPT-5+claude-opus-5,2026-08-22.2,
1719e3ee788f98f1e6f7,SRC034,01-financials,Financials,CORE,be772b1c0dcf636b24c5,3,TABLE,"Combined Statement of Assets, Liabilities, and Partners' Capital","Combined Statement of Assets, Liabilities, and Partners' Capital",Limited Partners,Total,1,financial_statement_observation,financial_statement_observation.partners_capital,partners_capital,Limited Partners,investor,237b08b00c0edaa3bed7,LP_0015,Limited Partners,Limited Partners,,,,,,,,,,,,day,"March 31, 2018",2018-03-31,,,,,number,"412,301,446",412301446,,positive,USD,,absolute,1,$,,,,"Limited Partners 412,301,446",actual,RESOLVED,A+B+ADJUDICATOR,claude-sonnet-5+GPT-5+claude-opus-5,2026-08-22.2,
2a3636f3eb3bde58ce23,SRC034,01-financials,Financials,CORE,be772b1c0dcf636b24c5,3,TABLE,"Combined Statement of Assets, Liabilities, and Partners' Capital","Combined Statement of Assets, Liabilities, and Partners' Capital",Total assets,Total,1,financial_statement_observation,financial_statement_observation.total_assets,total_assets,Total assets,reporting_entity,d46d69c8b54a3f0a11df,PLAN_0047,Total assets,Total assets,,,,,,,,,,,,day,"March 31, 2018",2018-03-31,,,,,currency,"$438,924,905",438924905,,positive,USD,,absolute,1,$,,,,"Total assets $ 438,924,905",actual,RESOLVED,A+B+ADJUDICATOR,claude-sonnet-5+GPT-5+claude-opus-5,2026-08-22.2,
b394a2674a4e69145f02,SRC034,01-financials,Financials,CORE,be772b1c0dcf636b24c5,3,TABLE,"Combined Statement of Assets, Liabilities, and Partners' Capital","Combined Statement of Assets, Liabilities, and Partners' Capital",Total liabilities,Total,1,financial_statement_observation,financial_statement_observation.total_liabilities,total_liabilities,Total liabilities,reporting_entity,075e5e5f74aaf822414f,PLAN_0056,Total liabilities,Total liabilities,,,,,,,,,,,,day,"March 31, 2018",2018-03-31,,,,,number,"527,749",527749,,positive,USD,,absolute,1,$,,,,"Total liabilities 527,749",actual,RESOLVED,A+B+ADJUDICATOR,claude-sonnet-5+GPT-5+claude-opus-5,2026-08-22.2,
dcae1bbc2a5b5e66671c,SRC034,01-financials,Financials,CORE,be772b1c0dcf636b24c5,3,TABLE,"Combined Statement of Assets, Liabilities, and Partners' Capital","Combined Statement of Assets, Liabilities, and Partners' Capital",Total partners' capital,Total,1,financial_statement_observation,financial_statement_observation.partners_capital,partners_capital,Total partners' capital,reporting_entity,57a63cde6c8704c28614,PLAN_0057,Total partners' capital,Total partners' capital,,,,,,,,,,,,day,"March 31, 2018",2018-03-31,,,,,number,"438,397,156",438397156,,positive,USD,,absolute,1,$,,,,"Total partners' capital 438,397,156",actual,RESOLVED,A+B+ADJUDICATOR,claude-sonnet-5+GPT-5+claude-opus-5,2026-08-22.2,
c0382c3e21afbdf80451,SRC034,01-financials,Financials,CORE,fd18d421ead487521a9a,4,TABLE,Combined Schedule of Investments,Combined Schedule of Investments,REDACTED,% of Partners' Capital,1,position_observation,position_observation.portfolio_weight,portfolio_weight,% of Partners' Capital,investment,,,REDACTED,,,,,,,,Defense,,"Philadelphia, PA",2009,,day,"March 31, 2018",2018-03-31,,,,,percent,34.22%,34.22,,positive,,%,absolute,1,,,,,34.22%,actual,RESOLVED,A+B+ADJUDICATOR,claude-sonnet-5+GPT-5+claude-opus-5,2026-08-22.2,"IMAGE_ONLY: verified against page-004.png; investment name is redacted (blacked out) in the source PDF, so subject_name is recorded as REDACTED and distinguished by Industry, Headquarters, and vintage_year instead."
