metric_id,record_family,metric_category,in_catalogue,value_kind,observation_count,standard_measure,measure_scope,note
allocation_observation.actual_allocation,allocation_observation,actual_allocation,true,percent,258,actual_allocation_weight,allocation_bucket,"Share of a portfolio in one bucket, as printed."
allocation_observation.market_value,allocation_observation,market_value,true,currency,19,allocation_bucket_market_value,allocation_bucket,Market value of one allocation bucket. The same heading at holding grain is holding_market_value and at fund grain fund_residual_value.
allocation_observation.target_allocation,allocation_observation,target_allocation,true,percent,20,target_allocation_weight,allocation_bucket,Target or policy weight of one bucket.
cash_flow_observation.distribution,cash_flow_observation,distribution,true,currency,1,distribution_cash_flow,cash_flow_event,One dated distribution.
cash_flow_observation.expense,cash_flow_observation,expense,true,number,13,expense_cash_flow,cash_flow_event,One expense or tax charge in a capital-account or cash-flow statement.
cash_flow_observation.interest,cash_flow_observation,interest,true,number,3,interest_cash_flow,cash_flow_event,Interest paid or charged in a capital-account statement.
ddq_quantitative_observation.aum,ddq_quantitative_observation,aum,true,currency,14,reported_assets_under_management,mixed,"Assets under management reported for a manager, fund, feeder, asset class, or related investment vehicle."
ddq_quantitative_observation.leverage,ddq_quantitative_observation,leverage,true,multiple,6,leverage_ratio,ddq_answer,Leverage ratio or policy limit.
ddq_quantitative_observation.liquidity,ddq_quantitative_observation,liquidity,true,percent,4,redemption_liquidity_terms,ddq_answer,"Four rows: two print days to receive proceeds, two print a percent of proceeds or of NAV; the unit column separates them."
ddq_quantitative_observation.lockup,ddq_quantitative_observation,lockup,true,number,1,lockup_period,ddq_answer,Lock-up period.
ddq_quantitative_observation.management_fee,ddq_quantitative_observation,management_fee,true,percent,1,management_fee_rate,ddq_answer,"One row, a percent. The amount form is management_fee_amount under fee_observation."
ddq_quantitative_observation.minimum_investment,ddq_quantitative_observation,minimum_investment,true,currency,1,minimum_investment,ddq_answer,Minimum initial investment.
ddq_quantitative_observation.ownership_percentage,ddq_quantitative_observation,ownership_percentage,true,percent,4,ownership_percentage,ddq_answer,Share of the firm or vehicle held by the subject.
ddq_quantitative_observation.performance_fee,ddq_quantitative_observation,performance_fee,true,percent,1,performance_fee_rate,ddq_answer,Incentive or performance fee rate.
ddq_quantitative_observation.position_limit,ddq_quantitative_observation,position_limit,true,percent,3,position_limit,ddq_answer,Position or exposure limit.
ddq_quantitative_observation.redemption_notice,ddq_quantitative_observation,redemption_notice,true,number,6,redemption_notice_days,ddq_answer,Redemption notice period in days.
ddq_quantitative_observation.service_provider_count,ddq_quantitative_observation,service_provider_count,true,number,1,service_provider_count,ddq_answer,Number of service providers or counterparties stated.
ddq_quantitative_observation.staff_count,ddq_quantitative_observation,staff_count,true,number,6,staff_count,ddq_answer,Employees or investment professionals at the firm.
document_context,document_context,,true,none,28,document_context,document,One context row per document.
fee_observation.cost_bps,fee_observation,cost_bps,true,number,17,fee_in_basis_points,fee_line,A fee or cost expressed in basis points.
