observation_id,document_id,source_page,pair_id,pair_status,a_row_number,b_row_number,difference_fields,resolution_decision,resolution_reason,adjudication_status,source_agents,source_sha256
1d5fb618817ecfdc6df5,SRC034,3,PAIR_877F970CEDBC2E6004507E95,CLASSIFICATION_CONFLICT,1,1,source_table|subject_name|investor_name|as_of_date|evidence_quote,MERGE,"source_section is the statement's own printed title, which A left blank on every row; currency_scale is the printed `$`; the value keeps its printed currency symbol.",RESOLVED,A+B+ADJUDICATOR,c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8
c051cd3576db18ad4b32,SRC034,3,PAIR_E194AAF183988158AF0A203C,CLASSIFICATION_CONFLICT,2,2,source_section|source_column_label|subject_type|currency_scale|metric_name,MERGE,"source_section is the statement's own printed title, which A left blank on every row; currency_scale is the printed `$`; the value keeps its printed currency symbol.",RESOLVED,A+B+ADJUDICATOR,c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8
e7ba55bef0f2f5ba97d2,SRC034,3,PAIR_CBF06C34CFF9573D7B7198AA,CLASSIFICATION_CONFLICT,3,3,source_section|source_column_label|subject_type|currency_scale|metric_name,MERGE,"source_section is the statement's own printed title, which A left blank on every row; currency_scale is the printed `$`; the value keeps its printed currency symbol.",RESOLVED,A+B+ADJUDICATOR,c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8
cf69cb0bdf953a3356ed,SRC034,3,PAIR_F72B7EBC998AEA95DAC3B927,A_ONLY,6,,,MERGE,"source_section is the statement's own printed title, which A left blank on every row; currency_scale is the printed `$`; the value keeps its printed currency symbol; one-sided row confirmed printed on page 3 from the page image.",RESOLVED,A+B+ADJUDICATOR,c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8
a405b270004e359a6d16,SRC034,3,PAIR_D38771E420BF8785E3EBAED1,B_ONLY,,4,,MERGE,"source_section is the statement's own printed title, which A left blank on every row; currency_scale is the printed `$`; the value keeps its printed currency symbol; one-sided row confirmed printed on page 3 from the page image.",RESOLVED,A+B+ADJUDICATOR,c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8
1719e3ee788f98f1e6f7,SRC034,3,PAIR_6074E9B9414499D4CDF33B3E,CLASSIFICATION_CONFLICT,4,5,source_section|source_column_label|subject_type|currency_scale|metric_name,MERGE,"source_section is the statement's own printed title, which A left blank on every row; currency_scale is the printed `$`; the value keeps its printed currency symbol.",RESOLVED,A+B+ADJUDICATOR,c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8
2a3636f3eb3bde58ce23,SRC034,3,PAIR_BFB1663DA224D66607BF2F90,CONTEXT_CONFLICT,5,6,source_section|source_column_label|currency_scale|metric_name,MERGE,"source_section is the statement's own printed title, which A left blank on every row; currency_scale is the printed `$`; the value keeps its printed currency symbol.",RESOLVED,A+B+ADJUDICATOR,c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8
b394a2674a4e69145f02,SRC034,3,PAIR_7B1ED6BC2E4C6AA2371B94FE,CONTEXT_CONFLICT,8,7,source_section|source_column_label|currency_scale|metric_name,MERGE,"source_section is the statement's own printed title, which A left blank on every row; currency_scale is the printed `$`; the value keeps its printed currency symbol.",RESOLVED,A+B+ADJUDICATOR,c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8
dcae1bbc2a5b5e66671c,SRC034,3,PAIR_1D7B45FB5B3C8273F3A25971,CONTEXT_CONFLICT,9,8,source_section|source_column_label|currency_scale|metric_name,MERGE,"source_section is the statement's own printed title, which A left blank on every row; currency_scale is the printed `$`; the value keeps its printed currency symbol.",RESOLVED,A+B+ADJUDICATOR,c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8
c0382c3e21afbdf80451,SRC034,4,PAIR_620EFD18A2568E79CE7A73DF,A_ONLY,10,,,MERGE,"source_section is the statement's own printed title, which A left blank on every row; currency_scale is the printed `$`; the value keeps its printed currency symbol; the Schedule of Investments is a position_observation table, the only family carrying portfolio_weight for the printed `% of Partners' Capital` column that B dropped; one-sided row confirmed printed on page 4 from the page image.",RESOLVED,A+B+ADJUDICATOR,c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8
d3b29abe7a965d72ce3c,SRC034,4,PAIR_2B58B77B8E729D514B4F729B,A_ONLY,11,,,MERGE,"source_section is the statement's own printed title, which A left blank on every row; currency_scale is the printed `$`; the value keeps its printed currency symbol; the Schedule of Investments is a position_observation table, the only family carrying portfolio_weight for the printed `% of Partners' Capital` column that B dropped; one-sided row confirmed printed on page 4 from the page image.",RESOLVED,A+B+ADJUDICATOR,c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8
391ce5f4fc89a7cc8fed,SRC034,4,PAIR_9111DE7FF2F0E142D277527C,A_ONLY,12,,,MERGE,"source_section is the statement's own printed title, which A left blank on every row; currency_scale is the printed `$`; the value keeps its printed currency symbol; the Schedule of Investments is a position_observation table, the only family carrying portfolio_weight for the printed `% of Partners' Capital` column that B dropped; one-sided row confirmed printed on page 4 from the page image.",RESOLVED,A+B+ADJUDICATOR,c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8
4fabe15ddc3855edbb47,SRC034,4,PAIR_3319AA38F0EEDBCBB84A46C3,A_ONLY,13,,,MERGE,"source_section is the statement's own printed title, which A left blank on every row; currency_scale is the printed `$`; the value keeps its printed currency symbol; the Schedule of Investments is a position_observation table, the only family carrying portfolio_weight for the printed `% of Partners' Capital` column that B dropped; one-sided row confirmed printed on page 4 from the page image.",RESOLVED,A+B+ADJUDICATOR,c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8
9f21df366069298c5133,SRC034,4,PAIR_AF24208D72CDB6F33659B9E5,A_ONLY,14,,,MERGE,"source_section is the statement's own printed title, which A left blank on every row; currency_scale is the printed `$`; the value keeps its printed currency symbol; the Schedule of Investments is a position_observation table, the only family carrying portfolio_weight for the printed `% of Partners' Capital` column that B dropped; one-sided row confirmed printed on page 4 from the page image.",RESOLVED,A+B+ADJUDICATOR,c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8
c928a37f2244812fddc0,SRC034,4,PAIR_4B57CEC8F5398E0B5863F9B0,A_ONLY,15,,,MERGE,"source_section is the statement's own printed title, which A left blank on every row; currency_scale is the printed `$`; the value keeps its printed currency symbol; the Schedule of Investments is a position_observation table, the only family carrying portfolio_weight for the printed `% of Partners' Capital` column that B dropped; one-sided row confirmed printed on page 4 from the page image.",RESOLVED,A+B+ADJUDICATOR,c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8
