file_id,filename,file_ext,container_route,parser_route,doc_type,fund_type,tier,issuer,issuer_type,period_covered,default_perspective,fund_name_requirement,may_contain_multiple_funds,primary_fund_name,fund_name_status,manager_name,expected_fields,observed_fields,extraction_status,extraction_module_id,extraction_batch_id,extractor_a_status,extractor_b_status,extraction_adjudication_status,dates_provenance_audit_status,schema_math_audit_status,promotion_status,agent_a_status,agent_b_status,adjudication_status,source_url,sha256,notes,report_subtype
SRC001,PPM_Fundsmith_Equity_Fund.pdf,pdf,physical page,legal_sections,PPM,n_a,D,Fundsmith LLP,gp,,fund_total,EXACT_NAME_OR_EXPLICIT_NO_FUND_DISPOSITION,FALSE,,PENDING_DOUBLE_REVIEW,,fee_terms|strategy|risk_factors,,NOT_STARTED,02I,02I-PPM-001,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,BLOCKED_PENDING_AUDITS,PENDING_DOUBLE_REVIEW,PENDING_DOUBLE_REVIEW,PENDING_DOUBLE_REVIEW,https://www.fundsmith.us/media/gfjlpng1/ssonlp-confidential-private-placement-memorandum.pdf,079892c6d2772e3e036464e4686ee8bfbe0eff51ab8c7deeda545f365d5ea203,,
SRC002,PPM_Worcester_Fund_LLC.pdf,pdf,physical page,legal_sections,PPM,real_estate,D,Worcester Investments,gp,,fund_total,EXACT_NAME_OR_EXPLICIT_NO_FUND_DISPOSITION,FALSE,,PENDING_DOUBLE_REVIEW,,fee_terms|strategy|risk_factors,,NOT_STARTED,02I,02I-PPM-001,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,BLOCKED_PENDING_AUDITS,PENDING_DOUBLE_REVIEW,PENDING_DOUBLE_REVIEW,PENDING_DOUBLE_REVIEW,https://www.worcesterinvestments.com/wp-content/uploads/2021/08/private-placement-memorandum.pdf,b0799aab9ffd44e2dfe654bf8c1d583999bfb1b19eda37568bc818a87bf57960,,
SRC003,LPA_ILPA_Model_Whole_of_Fund.pdf,pdf,physical page,legal_sections,LPA,multi,D,ILPA,standards_body,,fund_total,EXACT_NAME_OR_EXPLICIT_NO_FUND_DISPOSITION,FALSE,,PENDING_DOUBLE_REVIEW,,fee_rate|hurdle|catch_up|waterfall_type|term,,NOT_STARTED,02I,02I-LPA-001,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,BLOCKED_PENDING_AUDITS,PENDING_DOUBLE_REVIEW,PENDING_DOUBLE_REVIEW,PENDING_DOUBLE_REVIEW,https://ilpa.org/wp-content/uploads/2020/07/ILPA-Model-Limited-Partnership-Agreement-WOF.pdf,6a56506e7e89910d351abdf7e2a600b0563aee04f34ad7fa03f12ae3bdc4856f,Possible model or illustrative document; reviewers must confirm its disposition and available fields.,
SRC004,LPA_SCP_Private_Equity_Partners_II_Public_FOIA.pdf,pdf,physical page,legal_sections,LPA,buyout,D,"SCP Private Equity Partners II, LP",gp,,fund_total,EXACT_NAME_OR_EXPLICIT_NO_FUND_DISPOSITION,FALSE,,PENDING_DOUBLE_REVIEW,,fee_rate|hurdle|term,,NOT_STARTED,02I,02I-LPA-001,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,BLOCKED_PENDING_AUDITS,PENDING_DOUBLE_REVIEW,PENDING_DOUBLE_REVIEW,PENDING_DOUBLE_REVIEW,https://jsg.legis.state.pa.us/resources/documents/ftp/act5/pdf/Appendix%202/PSERS%20Data%20Request%20Responses/PSERS%20-%20Aug%20Sep%20Oct%20Additional%20Response/Request6%20Part%207/SCP%20Private%20Equity%20Partners%20II%2C%20LP%20-%20Limited%20Partnership%20Agreement.pdf,0f54ff66a1917b7de72dd937483953775aa0f4bfd972034dfdeca13332de94f5,,
SRC005,Subscription_ILPA_Model_Subscription_Agreement.pdf,pdf,physical page,form_or_legal,Subscription,multi,D,ILPA,standards_body,,lp_position,EXACT_NAME_OR_EXPLICIT_NO_FUND_DISPOSITION,FALSE,,PENDING_DOUBLE_REVIEW,,commitment,,NOT_STARTED,02J,02J-SUB-001,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,BLOCKED_PENDING_AUDITS,PENDING_DOUBLE_REVIEW,PENDING_DOUBLE_REVIEW,PENDING_DOUBLE_REVIEW,https://ilpa.org/wp-content/uploads/2018/05/ILPA-Model-Subscription-Agreement-Final.pdf,14cb4fdc672cbec685ad53163b8dc6c407dad6e0db1d69beaac6de542b7af75d,Possible model or illustrative document; reviewers must confirm its disposition and available fields.,
SRC006,Subscription_Hedge_Fund_Template.pdf,pdf,physical page,form_or_legal,Subscription,hedge_fund,D,RegComplianceWatch,other,,lp_position,EXACT_NAME_OR_EXPLICIT_NO_FUND_DISPOSITION,FALSE,,PENDING_DOUBLE_REVIEW,,commitment,,NOT_STARTED,02J,02J-SUB-001,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,BLOCKED_PENDING_AUDITS,PENDING_DOUBLE_REVIEW,PENDING_DOUBLE_REVIEW,PENDING_DOUBLE_REVIEW,https://media.regcompliancewatch.com/uploads/rcw/media/260970/HedgeFundSubAgreement.PDF,c6385abbe8feb85b95bcae726457ad336e7b383bdcbe1a13ce7cb90ba88d582f,Possible model or illustrative document; reviewers must confirm its disposition and available fields.,
SRC007,Side_Letter_MEABF_Sample.pdf,pdf,physical page,legal_sections,Side_Letter,buyout,D,MEABF,pension,,lp_position,EXACT_NAME_OR_EXPLICIT_NO_FUND_DISPOSITION,FALSE,,PENDING_DOUBLE_REVIEW,,terms_overrides,,NOT_STARTED,02I,02I-SIDE-001,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,BLOCKED_PENDING_AUDITS,PENDING_DOUBLE_REVIEW,PENDING_DOUBLE_REVIEW,PENDING_DOUBLE_REVIEW,https://www.meabf.org/wp-content/uploads/2025/10/6.-MEABF-Sample-Side-Letter-7.22.2022.pdf,854b6ccd9d9cbca4de2c38f4a6569532a555e2a8129cd3cf67c73dd099903bd0,,
SRC008,Side_Letter_Fiducient_Private_Fund_Sample.pdf,pdf,physical page,legal_sections,Side_Letter,multi,D,Fiducient Advisors,other,,lp_position,EXACT_NAME_OR_EXPLICIT_NO_FUND_DISPOSITION,FALSE,,PENDING_DOUBLE_REVIEW,,terms_overrides,,NOT_STARTED,02I,02I-SIDE-001,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,BLOCKED_PENDING_AUDITS,PENDING_DOUBLE_REVIEW,PENDING_DOUBLE_REVIEW,PENDING_DOUBLE_REVIEW,https://www.fiducientadvisors.com/wp-content/uploads/2025/04/MA-Sample-Side-Letter-Private-Fund.pdf,4e5f7764f80547c28432f1b28e380547f0ed02e62dd05ca41ea59059950fecc3,Possible model or illustrative document; reviewers must confirm its disposition and available fields.,
SRC009,Capital_Call_Distribution_ILPA_Template_v1_1.xlsx,xlsx,visible worksheet,notice_layout,Capital_Call,multi,C,ILPA,standards_body,,lp_position,EXACT_NAME_OR_EXPLICIT_NO_FUND_DISPOSITION,FALSE,,PENDING_DOUBLE_REVIEW,,call_amount|due_date|distribution_amount,,NOT_STARTED,02J,02J-CALL-001,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,BLOCKED_PENDING_AUDITS,PENDING_DOUBLE_REVIEW,PENDING_DOUBLE_REVIEW,PENDING_DOUBLE_REVIEW,https://ilpa.org/wp-content/uploads/2018/03/ILPA-Best-Practices-Capital-Call-and-Distribution-Notice-Template-v1.1.xlsx,0b2a7f7e7d0051a2a1818f58042fdadeeadce2350bd3b229055ea7e597154e9a,Possible model or illustrative document; reviewers must confirm its disposition and available fields.,
SRC010,Capital_Call_Distribution_ILPA_Best_Practices.pdf,pdf,physical page,notice_layout,Capital_Call,multi,C,ILPA,standards_body,,lp_position,EXACT_NAME_OR_EXPLICIT_NO_FUND_DISPOSITION,FALSE,,PENDING_DOUBLE_REVIEW,,call_amount|due_date|distribution_amount,,NOT_STARTED,02J,02J-CALL-001,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,BLOCKED_PENDING_AUDITS,PENDING_DOUBLE_REVIEW,PENDING_DOUBLE_REVIEW,PENDING_DOUBLE_REVIEW,https://ilpa.org/wp-content/uploads/2018/03/ILPA-Best-Practices-Capital-Calls-Distribution-Notices_Version-1.1.pdf,d624fb8cf4e69a9321a047dd8f59873aa408ad0b4db99daafec3f601f63d0c2f,,
