field,group,channel_hint,files_with_label,share_of_corpus,total_occurrences,top_doc_types,example_file_id,example_line
distributions,capital,pdf_table,345,59.6%,5394,Financials=131; Performance=75; Schedule_Inv=57,SRC001,"ith their opening Capital Accounts for the applicable monthly period. Distributions; Withdrawals Upon sixty calendar days’ prior notice, a Limited Partne"
contributions,capital,pdf_table,292,50.4%,4316,Financials=125; Performance=62; Schedule_Inv=38,SRC002,rest of the Fund to do so. No Guaranteed Return of Investor’s Capital Contributions Investment in the Fund is speculative and involves a high degree of r
commitment,capital,pdf_table,184,31.8%,1435,Performance=58; Schedule_Inv=45; Financials=42,SRC003,"rest” means, as of the date of any determination, that portion of the Commitment or Capital Contributions of a BHCA Partner that exceeds 4.99% (or if"
unfunded_commitment,capital,pdf_table,34,5.9%,131,Performance=12; Schedule_Inv=6; Reporting=5,SRC003,"Code. “Regulatory Issue” has the meaning set forth in Section 8.6.1. “Remaining Commitment” means, with respect to any Partner, determined at any date, the amou"
capital_call_amount,capital,pdf_table,23,4.0%,139,Capital_Call=4; Reporting=4; Schedule_Inv=4,SRC003,apital Contributions) from time to time by the Partners pursuant to a Drawdown Notice. “Drawdown Notice” has the meaning set forth in Section 6.2.1. “Due D
recallable_distributions,capital,pdf_table,14,2.4%,53,Reporting=4; Performance=3; Capital_Call=2,SRC010,"eived $10,000,000 in distributions, of which $5,000,000 is considered Recallable Capital per Section 3.3 of the LPA. Please refer to the Schedule for"
as_of_date,date,txt,242,41.8%,7323,Financials=102; Schedule_Inv=54; Performance=53,SRC004,"all changes through , 2000 which such changes have an effective date as of June 15,2000. SCP PRIVATE EQUITY PARTNERS ll, L.P. LIMITED PARTNERSHIP AGREEMENT L"
report_date,date,txt,190,32.8%,1721,Financials=88; Schedule_Inv=41; Performance=18,SRC002,"ption Documents, all of which, including the Promissory Note, will be dated as of the Transfer Date. An Investor’s obligation to purchase a Note"
period_end_date,date,txt,159,27.5%,5385,Financials=84; Schedule_Inv=51; Performance=11,SRC012,"440 Supplemental cash flow information Cash paid for interest for the period ended December 31, 2015 $ 21,779 87,116 191,656 Version 1.1 Revised September 2016 21 ======"
cashflow_due_date,date,txt,137,23.7%,334,Financials=71; Schedule_Inv=37; Regulatory=15,SRC001,eduction for all or part of that portion before the applicable filing due date of the Partners for the of its distributive share of the Partnership’
fiscal_year,date,txt,96,16.6%,419,Financials=45; Schedule_Inv=38; Performance=7,SRC039,"cticut Innovations, Incorporated's (CI) financial performance for the fiscal year ended June 30, 2021. The information contained in this MD&A should be consi"
management_fee,fee,pdf_table,105,18.1%,620,Schedule_Inv=38; Financials=22; Reporting=11,SRC001,"nd regulated by the United reduce, waive or calculate differently the Management Fee with Kingdom Financial Conduct Authority (the “FCA”). The respect to"
partnership_expenses,fee,pdf_table,99,17.1%,579,Financials=44; Schedule_Inv=25; Reporting=8,SRC002,"t Facility, the Notes, or any other amounts borrowed by the Fund, (b) Fund Expenses, and (c) such amounts as the Manager deems reasonable in order to pro"
carried_interest,fee,both,33,5.7%,209,Financials=8; Reporting=6; Performance=5,SRC003,as the context may require) pursuant to the terms of this Agreement. “Carried Interest” means the aggregate distributions received by the General Partner pu
expense_ratio,fee,pdf_table,23,4.0%,146,Schedule_Inv=7; Performance=6; Reporting=4,SRC023,on a whole fund basis as well what percentage offset applies. • Total Expense Ratio. as at the level of the partnership/entity in which they are invested
parenthesised_negative,hazard,pdf_table,383,66.1%,51523,Financials=166; Performance=78; Schedule_Inv=55,SRC003,"which are reasonably expected to close within [one hundred and twenty (120)] days following the termination of the Commitment Period, provided th"
split_number_artifact,hazard,pdf_table,338,58.4%,33240,Financials=156; Performance=86; Schedule_Inv=52,SRC010,"te 2.19 Unfunded Commitment Unfunded Balance (Prior to Current Notice)1 47,500,000 Impact on Unfunded Balance (Current Notice) (250,000) Unfunded Balanc"
not_disclosed_marker,hazard,pdf_table,279,48.2%,16967,Financials=104; Performance=62; Schedule_Inv=55,SRC001,===================================================================== Confidential Private Placement Memorandum Investment Manager Fundsmith LLP January
continued_table_marker,hazard,pdf_table,133,23.0%,5929,Financials=63; Schedule_Inv=25; Performance=17,SRC012,"ncial Statements December 31, 2015 ($ Unaudited) Note 7: Carry Detail (cont.) Other Distributions and Portfolio Investment Distributions Other Dist"
table_scale_qualifier,hazard,pdf_table,103,17.8%,1240,Financials=57; Schedule_Inv=34; Performance=4,SRC026,"out the Fund’s assets measured at fair value as of December 31, 20XX: (in thousands) Level 1 Level 2 Level 3(1) Total Investments, at fair value Common st"
fund_legal_name,identity,txt,318,54.9%,12778,Financials=122; Performance=68; Schedule_Inv=59,SRC001,P. INCLUDING THE MERITS AND RISKS INVOLVED. THESE SECURITIES HAVE c/o Fundsmith Partners U.S. LLC NOT BEEN RECOMMENDED BY ANY FEDERAL OR STATE SECURITIES 46 Southfield
geography,identity,both,311,53.7%,3067,Financials=115; Performance=95; Schedule_Inv=39,SRC002,rtainty how courts will respond. Risk of Lack of Knowledge in Distant Geographic Markets Although the Fund intends to focus its investments in locatio
strategy,identity,both,286,49.4%,2449,Financials=110; Performance=81; Schedule_Inv=38,SRC002,"uding the sections titled “Investment Objectives and Overview of Fund Strategy” and “Risk Factors.” Those sections of this PPM, in addition to other"
manager_managed_by,identity,txt,276,47.7%,1526,Financials=138; Performance=51; Schedule_Inv=43,SRC001,"As such investors may not Partnership, the UK Fund or other accounts managed by the get back the amount they invested and a subscription for Investme"
