source,file_id,pages,damaged_pages,repaired_pages,example,error
Capital_Call_Distribution_ILPA_Best_Practices.pdf,SRC010,17,1,1,"p13: 1 47,500,000",
PCAP_Invest_Europe_Individual_Capital_Account_Statement.pdf,SRC011,3,2,0,"p2: 831 36,370",
PCAP_ILPA_Quarterly_Reporting_Standards.pdf,SRC012,36,5,0,"p22: 0 5,000,000",
PPM_Blackcommerce_LLC_SEC_EDGAR.pdf,SRC014,112,2,0,"p66: 3 2,666,667",
Quarterly_Report_Hamilton_Lane_PSERS_4Q17_Public_FOIA.pdf,SRC017,41,1,0,"p32: 13 48,684,393",
Reporting_Invest_Europe_Investor_Reporting_Guidelines_2024.pdf,SRC023,42,5,0,"p32: 50 52,144",
Fee_Report_PSERS_Aon_Base_Management_Fees_FY2017.pdf,SRC028,1,1,1,"p1: 1 ,494,000",
Performance_PSERS_Direct_Alpha_Buyout_Funds_2017.pdf,SRC029,5,5,5,"p1: 4 34,516",
Performance_Ohio_Capital_Fund_Annual_Report_2022.pdf,SRC036,32,1,0,"p28: 22 7,245,000",
Financials_Utah_Fund_of_Funds_LLC_FY2021.pdf,SRC037,38,5,4,"p7: 221 5,896",
Financials_Connecticut_Innovations_FY2021.pdf,SRC039,44,16,14,"p7: 6 1,071",
Financials_TEDCO_Maryland_Annual_Report_FY2021.pdf,SRC040,17,1,1,"p16: 2 7,159,078",
Schedule_Inv_FS_KKR_Capital_Corp_ARS_FY2025.pdf,SRC041,208,6,0,"p83: 2 3,212",
Schedule_Inv_Blackstone_Secured_Lending_Fund_ARS_FY2025.pdf,SRC042,318,12,0,"p172: 25 665,235",
Schedule_Inv_Blackstone_Private_Credit_Fund_ARS_FY2025.pdf,SRC043,522,24,0,"p220: 203 54,923",
Schedule_Inv_Sixth_Street_Specialty_Lending_ARS_FY2025.pdf,SRC044,151,8,0,"p96: 970 1,087",
Schedule_Inv_MidCap_Financial_Investment_Corp_ARS_FY2025.pdf,SRC045,262,94,0,"p108: 558 4,190",
Schedule_Inv_Apollo_Debt_Solutions_BDC_ARS_FY2025.pdf,SRC046,220,12,0,"p73: 2 24,258,409",
Schedule_Inv_BlackRock_TCP_Capital_Corp_ARS_FY2025.pdf,SRC047,172,6,0,"p110: 3
41,346,557",
Schedule_Inv_AB_Private_Credit_Investors_Corp_ARS_FY2025.pdf,SRC048,181,8,0,"p105: 73 1,850,609",
Schedule_Inv_Franklin_BSP_Capital_Corp_ARS_FY2025.pdf,SRC049,195,21,0,"p69: 599 4,599",
Schedule_Inv_Monroe_Capital_Corp_ARS_FY2023.pdf,SRC050,194,33,0,"p89: 806 1,405",
NAV_Statement_SREIT_NAV_Supplement_May2025.pdf,SRC051,54,12,0,"p29: 284 66,919",
NAV_Statement_BREIT_Prospectus_With_Supplements.pdf,SRC052,501,25,0,"p33: 636 898,110",
Quarterly_Report_JLLIPT_10Q_3Q2025.pdf,SRC055,59,17,0,"p4: 831 2,642",
Performance_LACERS_Real_Estate_Portfolio_Q4_2021.pdf,SRC059,43,13,0,"p16: 0 5,572,018",
Reporting_NJ_Division_of_Investment_Reporting_Package_Apr2026.pdf,SRC061,24,11,1,"p11: 3 2,361,628,091",
Performance_MSBI_Private_Markets_Asset_Listing_Q4_2025.pdf,SRC065,16,12,0,"p3: 6 100,000,000",
Performance_HVPE_Annual_Report.pdf,SRC066,116,5,0,"p12: 600
14,396",
Performance_Pantheon_International_Annual_Report.pdf,SRC067,190,16,1,"p10: 100 1,000",
Performance_Landmark_Real_Estate_Fund_IX_Secondaries.pdf,SRC069,25,2,1,"p7: 629 1,022",
Performance_WSIB_Private_Equity_Portfolio_Overview.pdf,SRC070,7,3,0,"p2: 1 877,308",
Performance_CalPERS_PERF_Partnership_Report.pdf,SRC071,20,3,3,"p15: 2 4,222.17",
Performance_GIPS_Standards_For_Firms_2020.pdf,SRC073,146,8,0,"p103: 445 1,032",
Reporting_NCREIF_PREA_Standards_Handbook_Volume_II.pdf,SRC076,376,3,0,"p103: 100 10,500",
Regulatory_InvestEurope_Professional_Standards_Handbook_2018.pdf,SRC077,140,4,0,"p99: 732 6,153",
Financials_CohnReznick_Hedge_Fund_Illustrative_2025.pdf,SRC086,145,29,26,"p9: 2 ,951,000",
Financials_CohnReznick_Private_Equity_Illustrative_2025.pdf,SRC087,31,4,4,"p19: 5 6,909,000",
Financials_PwC_Investment_Fund_Illustrative_2025.pdf,SRC088,91,22,0,"p11: 11 1,620",
Financials_EY_Good_Investment_Fund_Illustrative_2018.pdf,SRC090,85,23,1,"p10: 5 18,223",
Financials_KPMG_Alternative_Investment_Fund_Illustrative_2015.pdf,SRC092,116,7,0,"p9: 1 1,499,611",
