source,file_id,doc_type,issuer_type,page,locus_class,trigger,candidate_manager,quote,already_mapped_manager
PPM_Worcester_Fund_LLC.pdf,SRC002,PPM,gp,2,managed_by,is managed by,Worcester Fund Manager LLC,"cester Fund LLC (the “Fund”, the “Company”, or “we”), which is managed by Worcester Fund Manager LLC (the “Manager” or “WFM”). If you are not an “accredited investor” as defined by the Securities and Exchange Commission, please immediately return this PPM. In making an investment decision, prospective Investors must rely on their own examination of the Units and Notes and the t",
PPM_Worcester_Fund_LLC.pdf,SRC002,PPM,gp,20,printed_label,Manager,Worcester Fund Manager LLC,"re limited liability company (the “Fund” or the “Company”). Manager: Worcester Fund Manager LLC, a Delaware limited liability company (the “Manager” or “WFM”). The principals of the Manager are Paul Worcester and Joel Worcester. The Members, upon a vote of 80% of the total Ownership Interest, may remove the Manager with Cause and, upon a vote of the Members holding a Majority,",
Financials_KPMG_PE_Illustrative_2025.pdf,SRC026,Financials,auditor,12,managed_by,is managed by,"General Partner, LLC","description of the Fund’s investment objectives]. The Fund is managed by General Partner, LLC (the General Partner) and Investment Manager, LLC (the U.S. Investment Manager). [If applicable:] The U.S. Investment Manager is registered with the U.S. Securities and Exchange Commission as an investment adviser under the Investment Advisers Act of 1940. The Fund commenced on [Month",
Financials_KPMG_PE_Illustrative_2025.pdf,SRC026,Financials,auditor,38,defined_term,"(the ""Manager"")","Investment Manager, LLC","s managed by General Partner, LLC (the General Partner) and Investment Manager, LLC (the Investment Manager). [If applicable:] The Investment Manager is registered with the U.S. Securities and Exchange Commission as an investment adviser under the Investment Advisers Act of 1940. [Include the following paragraph to the Private investment companies section of Fair value— Valuati",
Financials_KPMG_PE_Illustrative_2025.pdf,SRC026,Financials,auditor,38,managed_by,is managed by,"General Partner, LLC","olely through investments in private equity funds. The Fund is managed by General Partner, LLC (the General Partner) and Investment Manager, LLC (the Investment Manager). [If applicable:] The Investment Manager is registered with the U.S. Securities and Exchange Commission as an investment adviser under the Investment Advisers Act of 1940. [Include the following paragraph to th",
Schedule_Inv_FS_KKR_Capital_Corp_ARS_FY2025.pdf,SRC041,Schedule_Inv,gp,8,managed_by,is managed by,"FS/KKR Advisor, LLC","025, we had total assets of approximately $13.7 billion. We are managed by FS/KKR Advisor, LLC, or the Adviser, a registered investment adviser under the Investment Advisers Act of 1940, as amended, or the Advisers Act, which oversees the management of our operations and is responsible for making investment decisions with respect to our portfolio. Our investment objectives are",
Schedule_Inv_FS_KKR_Capital_Corp_ARS_FY2025.pdf,SRC041,Schedule_Inv,gp,10,managed_by,is managed by,Kohlberg Kravis Roberts & Co.,"s and accounts in KKR & Co.’s private markets business line are managed by Kohlberg Kravis Roberts & Co. L.P., or together with its affiliates, KKR, an SEC-registered investment adviser, or one of its subsidiaries. KKR Credit is a subsidiary of KKR & Co., a leading global investment firm with approximately $744 billion in assets under management as of December 31, 2025, that ma",
Schedule_Inv_FS_KKR_Capital_Corp_ARS_FY2025.pdf,SRC041,Schedule_Inv,gp,155,managed_by,is managed by,"FS/KKR Advisor, LLC","ng total return swaps and credit default swaps. The Company is externally managed by FS/KKR Advisor, LLC, or the Adviser, pursuant to an investment advisory agreement, dated as of June 16, 2021, or the Advisory Agreement. Note 2. Summary of Significant Accounting Policies Basis of Presentation: The accompanying audited consolidated financial statements of the Company have been",
Schedule_Inv_Blackstone_Secured_Lending_Fund_ARS_FY2025.pdf,SRC042,Schedule_Inv,gp,3,defined_term,"(the ""Manager"")",Blackstone Private Credit Strategies LLC,"parties; • actual and potential conflicts of interest with Blackstone Private Credit Strategies LLC (the “Adviser”), Blackstone Credit BDC Advisors LLC (the “Sub-Adviser” and together with the Adviser, the “Advisers”) or any of their affiliates; • the dependence of our future success on the general economy and its effect on the industries in which we may invest; • our use of f",
Schedule_Inv_Blackstone_Secured_Lending_Fund_ARS_FY2025.pdf,SRC042,Schedule_Inv,gp,8,managed_by,is managed by,Blackstone Private Credit Strategies LLC,"les and regulations promulgated thereunder, the “Code”). We are externally managed by Blackstone Private Credit Strategies LLC (the “Adviser”) and Blackstone Credit BDC Advisors LLC (the “Sub-Adviser” and, together with the Adviser, the “Advisers”). The Advisers are affiliates of Blackstone Alternative Credit Advisors LP (the “Sub-Administrator” and, collectively with its affil",
Schedule_Inv_Blackstone_Secured_Lending_Fund_ARS_FY2025.pdf,SRC042,Schedule_Inv,gp,248,managed_by,is managed by,Blackstone Private Credit Strategies LLC,"egulations promulgated thereunder, the “Code”). The Company is externally managed by Blackstone Private Credit Strategies LLC (the “Adviser”) and Blackstone Credit BDC Advisors LLC (the “Sub-Adviser” and, together with the Adviser, the “Advisers”). The Advisers are affiliates of Blackstone Alternative Credit Advisors LP (the “Sub-Administrator” and, collectively with its affili",
Schedule_Inv_Blackstone_Private_Credit_Fund_ARS_FY2025.pdf,SRC043,Schedule_Inv,gp,4,defined_term,"(the ""Manager"")",Blackstone Private Credit Strategies LLC,"ustees”); • actual and potential conflicts of interest with Blackstone Private Credit Strategies LLC (the “Adviser”), Blackstone Credit BDC Advisors LLC (the “Sub-Adviser,” and together with the Adviser, the “Advisers”) or any of their affiliates; • the dependence of our future success on the general economy and its effect on the industries in which we may invest; • our use of",
Schedule_Inv_Blackstone_Private_Credit_Fund_ARS_FY2025.pdf,SRC043,Schedule_Inv,gp,9,managed_by,is managed by,Blackstone Private Credit Strategies LLC,"les and regulations promulgated thereunder, the “Code”). We are externally managed by Blackstone Private Credit Strategies LLC (the “Adviser”) and Blackstone Credit BDC Advisors LLC (the “Sub-Adviser” and, together with the Adviser, the “Advisers”). The Advisers are affiliates of Blackstone Alternative Credit Advisors LP (the “Sub-Administrator” and, collectively with its affil",
Schedule_Inv_Blackstone_Private_Credit_Fund_ARS_FY2025.pdf,SRC043,Schedule_Inv,gp,329,managed_by,is managed by,Blackstone Private Credit Strategies LLC,"egulations promulgated thereunder, the “Code”). The Company is externally managed by Blackstone Private Credit Strategies LLC (the “Adviser”) and Blackstone Credit BDC Advisors LLC (the “Sub-Adviser” and, together with the Adviser, the “Advisers”). The Advisers are affiliates of Blackstone Alternative Credit Advisors LP (the “Sub-Administrator” and, collectively with its affili",
Schedule_Inv_Sixth_Street_Specialty_Lending_ARS_FY2025.pdf,SRC044,Schedule_Inv,gp,116,managed_by,is managed by,Sixth Street Specialty Lending Advisers,"l Revenue Code of 1986, as amended (the “Code”).The Company is managed by Sixth Street Specialty Lending Advisers, LLC (the“Adviser”). On June 1, 2011, the Company formed a wholly-owned subsidiary, TC Lending, LLC, a Delaware limited liability company. On March 22, 2012, the Company formed a wholly-owned subsidiary, Sixth Street SL SPV, LLC, a Delaware limited liability company",
Schedule_Inv_MidCap_Financial_Investment_Corp_ARS_FY2025.pdf,SRC045,Schedule_Inv,gp,6,managed_by,is managed by,Apollo Capital,"company, and its applicable subsidiaries. MidCap Financial is managed by Apollo Capital Management, L.P., a subsidiary of Apollo Global Management, Inc., pursuant to an investment management agreement. MidCap Financial is not an investment adviser, subadviser or fiduciary to the Company or to Apollo Investment Management, L.P., the Company’s Investment Adviser. MidCap Financia",
Schedule_Inv_Apollo_Debt_Solutions_BDC_ARS_FY2025.pdf,SRC046,Schedule_Inv,gp,4,defined_term,"(the ""Manager"")","Apollo Credit Management, LLC","to the Adviser and Its Affiliates; Conflicts of Interest • Apollo Credit Management, LLC (the ""Adviser"") and its affiliates, including our officers and some of our Trustees, face conflicts of interest caused by compensation arrangements with us and our affiliates, which could result in actions that are not in the best interests of our shareholders. • We may be obligated to pay",
Schedule_Inv_Apollo_Debt_Solutions_BDC_ARS_FY2025.pdf,SRC046,Schedule_Inv,gp,6,managed_by,is managed by,Apollo Credit Management,"ompany Act of 1940, as amended (the""1940 Act""). The Company is externally managed by Apollo Credit Management, LLC (the ""Adviser""). The Adviser is an affiliate of Apollo Global Management, Inc. and its consolidated subsidiaries (""AGM"", or""Apollo""). The Company has elected to be treated for federal income tax purposes, and intends to qualify annually thereafter, as a regulated i",
Schedule_Inv_Apollo_Debt_Solutions_BDC_ARS_FY2025.pdf,SRC046,Schedule_Inv,gp,7,managed_by,is managed by,Apollo Credit Management,"r and the Administrator The Company’s investment activities are managed by Apollo Credit Management, LLC, an investment adviser registered with the SEC under the Investment Advisers Act of 1940, as amended (the ""Advisers Act""). Pursuant to the advisory agreement between us and the Adviser, as amended (the ""Advisory Agreement""), the Adviser is responsible for originating prospec",
Schedule_Inv_Apollo_Debt_Solutions_BDC_ARS_FY2025.pdf,SRC046,Schedule_Inv,gp,69,defined_term,"(the ""Manager"")","Apollo Credit Management, LLC","ties; • actual and potential conflicts of interest with the Apollo Credit Management, LLC (the ""Adviser"") or any of its affiliates; • the elevating levels of inflation, and its impact on our portfolio companies and on the industries in which we invest; • the dependence of our future success on the general economy and its effect on the industries in which we may invest; • our us",
Schedule_Inv_AB_Private_Credit_Investors_Corp_ARS_FY2025.pdf,SRC048,Schedule_Inv,gp,4,advised_by,is advised by,AB Private Credit Investors LLC,"nt operations on November 15, 2017(“Commencement”).The Fund is advised by AB Private Credit Investors LLC (the“Adviser”), which is registered with the Securities and Exchange Commission(“SEC”)under the Investment Advisers Act of 1940, as amended (the“AdvisersAct”).The Adviser is responsible for sourcing potential investments, conducting due diligence on prospective investments,",
Schedule_Inv_AB_Private_Credit_Investors_Corp_ARS_FY2025.pdf,SRC048,Schedule_Inv,gp,66,advised_by,is advised by,AB Private Credit Investors LLC,"menced investment operations on November 15, 2017. The Fund is advised by AB Private Credit Investors LLC (the“Adviser”),which is registered with the Securities and Exchange Commission(“SEC”)under the Investment Advisers Act of 1940, as amended. The Adviser is responsible for sourcing potential investments, conducting due diligence on prospective investments, analyzing investme",
Schedule_Inv_Franklin_BSP_Capital_Corp_ARS_FY2025.pdf,SRC049,Schedule_Inv,gp,6,managed_by,is managed by,Franklin BSP Capital,"iness of Franklin BSP Capital L.L.C. (the “Conversion”). We are managed by Franklin BSP Capital Adviser L.L.C. (the “Adviser”), an affiliate of Benefit Street Partners L.L.C. (“Benefit Street Partners” or “BSP”). Our Adviser is a Delaware limited liability company that is registered as an investment adviser under the Investment Advisers Act of 1940, as amended (the “Advisers Ac",
Schedule_Inv_Franklin_BSP_Capital_Corp_ARS_FY2025.pdf,SRC049,Schedule_Inv,gp,125,managed_by,is managed by,Franklin BSP Capital,"enced investment operations on January 7, 2021. The Company is managed by Franklin BSP Capital Adviser L.L.C. (the “Adviser”), a Delaware limited liability company and an affiliate of Benefit Street Partners L.L.C. (“Benefit Street Partners” or “BSP”) pursuant to an investment advisory agreement (the “Investment Advisory Agreement”). The Adviser is registered as an investment a",
Schedule_Inv_Franklin_BSP_Capital_Corp_ARS_FY2025.pdf,SRC049,Schedule_Inv,gp,125,managed_by,is managed by,"Franklin BSP Lending Adviser, L.L.C.","ith FBLC for additional information about the Mergers. FBLC was managed by Franklin BSP Lending Adviser, L.L.C., a subsidiary of BSP since 2016. F-34",
