doc_type,file_count,description,typical_grain,default_perspective,fund_name_rule,may_contain_multiple_funds,provided_data_fields,parser_route,downstream_use
Performance,162,"Fund or portfolio performance schedules, often published by pension plans",one fund position or dated cash flow per table row,lp_position,Every performance row requires the source-reported fund name,true,commitment;unfunded_commitment;contributions_itd;distributions_itd;period_contributions;period_distributions;recallable_distributions;dated_cashflow;net_cash_flow;distribution_rate;nav;nav_per_share;total_assets;property_count;occupancy;leverage;irr;tvpi;dpi;rvpi;moic;period_return;benchmark_return;direct_alpha;nav_per_share_change;vintage_year;commitment_year;strategy;sub_strategy;fund_size;currency;geography;share_class;liquidated_status;fees;terms;maximum_offering;holdings;combined_gain;benchmark_name,table_text_or_ocr,fund metrics;dated cash flows;cohorts;PME
Financials,191,Audited or illustrative financial statements,fund statement plus note tables,fund_total,Require fund name unless the document is an explicit blank model,false,net_assets;total_assets;nav;nav_per_share;capital_rollforward;realized_gain;unrealized_gain;net_income;management_fee;carried_interest;partnership_expenses;expense_ratio;fair_value_hierarchy;period_return;currency,financial_statement_sections,NAV;rollforwards;fees;valuation
Schedule_Inv,58,Schedules of investments listing portfolio assets,one holding per table row,portfolio_company,Require the reporting fund name and retain every holding name,false,holding_cost;fair_value;principal;interest_rate;maturity;security_type;sector;strategy;currency;geography;net_assets;nav_per_share,long_table,holdings;risk;concentration
Foundations_Annual,4,Filled IRS Form 990-PF private foundation annual returns,form field or aggregate table,fund_total,Fund name required when the filing concerns a specific fund; otherwise record the field as inapplicable,true,contributions;distributions;capital_balances;nav;strategy;currency;geography;regulatory_attributes,form_or_table,identity;terms;market context
Regulatory,2,Remaining SEC reference forms (13F and N-PORT),form field or aggregate table,fund_total,Fund name required when the filing concerns a specific fund; otherwise record the field as inapplicable,true,contributions;distributions;capital_balances;nav;strategy;currency;geography;regulatory_attributes,form_or_table,identity;terms;market context
Reporting,48,"Ledger bucket for 26 report subtypes: live plan packs, stewardship yearbooks, and blank standards. Classify report_subtype before extracting.",varies by report_subtype,varies,Completed live reports require fund name; blank standards templates are exempt,true,see ledgers/report_subtype_schema.csv,template_or_table,cashflows;fees;period snapshots;obligations;ESG
Quarterly_Report,14,Quarterly investor or pension reports,fund table row plus narrative,lp_position,Every fund-level row requires the source-reported fund name,true,commitment;contributions_itd;distributions_itd;nav;irr;tvpi;dpi;rvpi;moic;capital_rollforward;gains;strategy;sub_strategy;fund_size;currency;geography;benchmark_return,multi_page_table,fund metrics;time series;benchmarks
Fee_Report,16,Fee and expense disclosure reports,one fund or manager fee row,lp_position,Fund name required for fund-level fees; manager-only totals remain manager_total,true,management_fee;carried_interest;partnership_expenses;offsets;commitment;contributions;nav;irr;currency,table_text_or_ocr,fee benchmarking;net-gross bridge
PCAP,6,Partner capital account statements,one LP position for one fund and period,lp_position,Fund name is mandatory,false,beginning_balance;ending_balance;period_contributions;period_distributions;realized_gain;unrealized_gain;management_fee;carried_interest;commitment;unfunded_commitment;currency,pcap_layout,capital rollforward;LP performance
NAV_Statement,10,Net asset value statements and supplements,fund or share class per date,share_class,Fund name is mandatory; share class is a separate field,false,nav;nav_per_share;period_return;period_distributions;management_fee;expense_ratio;currency,nav_layout,valuation;share-class returns
Valuation,6,Valuation policies and fair-value reports,fund policy or holding valuation,fund_total,Specific-fund reports require fund name; general guidance leaves the field inapplicable,true,level1;level2;level3;holding_fair_value;valuation_method,narrative_plus_tables,valuation;fair-value hierarchy
LPA,3,Limited partnership agreements,one legal fund,fund_total,Legal fund name is mandatory unless the file is an explicit model agreement,false,management_fee_rate;hurdle_rate;carry_rate;catch_up_rate;waterfall_type;fund_term;commitment;strategy;sub_strategy;fund_size;currency;geography,legal_sections,terms;cashflow waterfall
PPM,5,Private placement memoranda,one offering fund,fund_total,Offering fund name is mandatory,false,management_fee_rate;carry_rate;hurdle_rate;expense_ratio;strategy;sub_strategy;fund_size;currency;geography;risks,legal_sections,identity;strategy;terms
Capital_Call,5,Capital call notices or examples,one LP position and call date,lp_position,Fund name is mandatory,false,contribution_amount;commitment;unfunded_commitment;management_fee;due_date;currency,notice_layout,dated cashflows;unfunded
DDQ,5,Due diligence questionnaires,manager response with optional fund sections,manager_total,Record named funds only; a manager name alone falls short of a fund name,true,aum;management_fee_rate;carry_rate;nav;strategy;sub_strategy;fund_size;currency;geography;operations,question_answer,manager diligence;named-fund attributes
Subscription,4,Subscription agreements and closing binders,one investor subscription to one fund,lp_position,Fund name is mandatory unless the document is a blank model,false,commitment;investor_name;share_class;subscription_date;currency,form_or_legal,identity;commitment
Side_Letter,2,Side-letter examples or executed amendments,one LP and fund relationship,lp_position,Fund name required when executed; blank examples leave the field inapplicable,false,management_fee_rate;carry_rate;special_terms;effective_date,legal_sections,terms overrides
Distribution,1,Distribution notice or worked distribution example,one LP position and distribution date,lp_position,Fund name is mandatory for a completed notice,false,distribution_amount;recallable_distribution;carried_interest;distribution_date;currency,notice_layout,dated cashflows;DPI
