"source_page","a_page_status","b_page_status","a_layout_checked","b_layout_checked","a_expected_observation_count","b_expected_observation_count","a_source_structures","b_source_structures","a_relevant_record_families","b_relevant_record_families","difference_fields"
"1","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","43","39","Analysis of Revenue and Expenses | Return of Private Foundation","990-PF Return of Private Foundation | Part I Analysis of Revenue and Expenses","document_context | financial_statement_observation","document_context | financial_statement_observation","expected_observation_count|source_structures"
"2","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","31","38","Analysis of Changes in Net Assets or Fund Balances | Balance Sheets","Part II Balance Sheets | Part III Analysis of Changes in Net Assets or Fund Balances","financial_statement_observation","financial_statement_observation","expected_observation_count|source_structures"
"3","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","4","4","Capital Gains and Losses for Tax on Investment Income","Part IV Capital Gains and Losses for Tax on Investment Income","financial_statement_observation","financial_statement_observation","source_structures"
"6","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","Part VI-B Statements Regarding Activities for Which Form 4720 May Be Required (continued) | Part VII Information About Officers, Directors, Trustees, Foundation Managers, Highly Paid Employees, and Contractors","Part VI-B Statements Regarding Activities for Which Form 4720 May Be Required | Part VII Information About Officers, Directors, Trustees, Foundation Managers, Highly Paid Employees, and Contractors","","","layout_checked|source_structures"
"7","ELIGIBLE_DATA_EXTRACTED","NO_ELIGIBLE_DATA","YES","YES","4","0","Summary of Program-Related Investments (see instructions)","Part VII Information About Officers, Directors, Trustees, Foundation Managers, Highly Paid Employees, and Contractors | Part VIII-A Summary of Direct Charitable Activities | Part VIII-B Summary of Program-Related Investments","position_observation","","page_status|expected_observation_count|source_structures|relevant_record_families"
"8","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","7","3","Minimum Investment Return","Part IX Minimum Investment Return","financial_statement_observation","financial_statement_observation","expected_observation_count|source_structures"
"9","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part XII Undistributed Income (see instructions)","Part XII Undistributed Income","","","source_structures"
"10","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part XIII Private Operating Foundations (see instructions) | Part XIV Supplementary Information","Part XIII Private Operating Foundations | Part XIV Supplementary Information","","","source_structures"
"11","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","Part XIV Supplementary Information (continued)","Part XIV Supplementary Information (continued)","","","layout_checked"
"12","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","10","2","Analysis of Income-Producing Activities","Part XV-A Analysis of Income-Producing Activities","financial_statement_observation","financial_statement_observation","expected_observation_count|source_structures"
"14","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part I Required Annual Payment | Part II Reasons for Filing—Check the boxes below that apply. | Part III Figuring the Underpayment","Form 2220 Part I Required Annual Payment | Form 2220 Part III Figuring the Underpayment","","","source_structures"
"15","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part IV Figuring the Penalty","Form 2220 Part IV Figuring the Penalty","","","source_structures"
"16","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part I Adjusted Seasonal Installment Method | Schedule A Adjusted Seasonal Installment Method and Annualized Income Installment Method","Form 2220 Schedule A Part I Adjusted Seasonal Installment Method","","","source_structures"
"17","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part II Annualized Income Installment Method | Part III Required Installments","Form 2220 Schedule A Part II Annualized Income Installment Method | Form 2220 Schedule A Part III Required Installments","","","source_structures"
"19","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","7","2","Part I, Line 6a Net gain or (loss) from sale of assets","Part I, Line 6a Net gain or (loss) from sale of assets","financial_statement_observation","financial_statement_observation","expected_observation_count"
"20","ELIGIBLE_DATA_EXTRACTED","NO_ELIGIBLE_DATA","YES","YES","4","0","Part I, Line 11 Other income","Part I, Line 11 Other income","financial_statement_observation","","page_status|expected_observation_count|relevant_record_families"
"21","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","7","4","Part I, Line 16a Legal fees","Part I, Line 16a Legal fees","financial_statement_observation","financial_statement_observation","expected_observation_count"
"22","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","7","4","Part I, Line 16b Accounting fees","Part I, Line 16b Accounting fees","financial_statement_observation","financial_statement_observation","expected_observation_count"
"23","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","7","4","Part I, Line 16c Other professional fees","Part I, Line 16c Other professional fees","financial_statement_observation","financial_statement_observation","expected_observation_count"
"25","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","7","3","Part I, Line 19 Depreciation and depletion","Part I, Line 19 Depreciation and depletion","financial_statement_observation","financial_statement_observation","expected_observation_count"
"27","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","6","3","Investments—U.S. and State Government Obligations (continued)","Part II, Line 10a Investments-U.S. and State Government Obligations","financial_statement_observation","financial_statement_observation","expected_observation_count|source_structures"
"28","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","9","4","Investments - Land, Buildings, and Equipment (continued)","Part II, Line 11 Investments-Land, Buildings, and Equipment","financial_statement_observation","financial_statement_observation","expected_observation_count|source_structures"
"29","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","24","24","Investments—Other (continued)","Part II, Line 13 Investments-Other","financial_statement_observation","financial_statement_observation","source_structures"
"30","ELIGIBLE_DATA_EXTRACTED","NO_ELIGIBLE_DATA","YES","YES","19","0","Land, Buildings, and Equipment (continued)","Part II, Line 14 Land, Buildings, and Equipment","financial_statement_observation","","page_status|expected_observation_count|source_structures|relevant_record_families"
"31","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","9","9","Other Assets (continued)","Part II, Line 15 Other Assets","financial_statement_observation","financial_statement_observation","source_structures"
"32","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Other Liabilities (continued)","Part II, Line 22 Other Liabilities","","","source_structures"
"33","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","2","1","Part III, Line 3 Other Increases","Part III, Line 3 Other Increases","financial_statement_observation","financial_statement_observation","expected_observation_count"
"35","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Statement of Information Regarding Transfer To/From a Controlled Entity (continued)","Part VI, Section A, Line 11 Statement of Information Regarding Transfer To/From a Controlled Entity","","","source_structures"
"36","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"37","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"38","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"39","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"40","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"41","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"42","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"43","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"44","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"45","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"46","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"47","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"48","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"49","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"50","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"51","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"52","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"53","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
