evaluated_fund_id,policy_id,peer_fund_id,included,reason
FUND_SYNTH_000001,reference_v1_10_5,FUND_SYNTH_000006,true,V1_EXPLICIT_PEER
FUND_SYNTH_000001,reference_v1_10_5,FUND_SYNTH_000046,true,V1_EXPLICIT_PEER
FUND_SYNTH_000001,reference_v1_10_5,FUND_SYNTH_000048,true,V1_EXPLICIT_PEER
FUND_SYNTH_000001,reference_v1_10_5,FUND_SYNTH_000049,true,V1_EXPLICIT_PEER
FUND_SYNTH_000001,reference_v1_10_5,FUND_SYNTH_000074,true,V1_EXPLICIT_PEER
FUND_SYNTH_000001,reference_v1_10_5,FUND_SYNTH_000087,true,V1_EXPLICIT_PEER
FUND_SYNTH_000001,reference_v1_10_5,FUND_SYNTH_000089,true,V1_EXPLICIT_PEER
FUND_SYNTH_000001,reference_v1_10_5,FUND_SYNTH_000124,true,V1_EXPLICIT_PEER
FUND_SYNTH_000001,reference_v1_10_5,FUND_SYNTH_000129,true,V1_EXPLICIT_PEER
FUND_SYNTH_000001,reference_v1_10_5,FUND_SYNTH_000148,true,V1_EXPLICIT_PEER
FUND_SYNTH_000001,reference_v1_10_5,FUND_SYNTH_000179,true,V1_EXPLICIT_PEER
FUND_SYNTH_000001,reference_v1_10_5,FUND_SYNTH_000225,true,V1_EXPLICIT_PEER
FUND_SYNTH_000001,reference_v1_10_5,FUND_SYNTH_000230,true,V1_EXPLICIT_PEER
FUND_SYNTH_000001,reference_v1_10_5,FUND_SYNTH_000242,true,V1_EXPLICIT_PEER
FUND_SYNTH_000001,reference_v1_10_5,FUND_SYNTH_000274,true,V1_EXPLICIT_PEER
FUND_SYNTH_000001,reference_v1_10_5,FUND_SYNTH_000291,true,V1_EXPLICIT_PEER
FUND_SYNTH_000001,reference_v1_10_5,FUND_SYNTH_000299,true,V1_EXPLICIT_PEER
FUND_SYNTH_000001,reference_v1_10_5,FUND_SYNTH_000315,true,V1_EXPLICIT_PEER
FUND_SYNTH_000001,reference_v1_10_5,FUND_SYNTH_000323,true,V1_EXPLICIT_PEER
