entity_level,entity_id,strategy,dimension,supported_fields,required_fields,coverage,supported_field_names,missing_field_names,status,population
fund,FUND_SYNTH_000001,buyout,track_record,5,5,1.0,"[""tvpi"",""dpi"",""xirr"",""ks_pme"",""direct_alpha""]",[],READY,fixture
fund,FUND_SYNTH_000001,buyout,realization,3,3,1.0,"[""realized_share"",""nav_reliance"",""distribution_recency_months""]",[],READY,fixture
fund,FUND_SYNTH_000001,buyout,portfolio,5,5,1.0,"[""company_hhi"",""top_company_share"",""top3_company_share"",""sector_hhi"",""top_sector_share""]",[],READY,fixture
fund,FUND_SYNTH_000001,buyout,terms,2,2,1.0,"[""management_fee_rate"",""waterfall_type""]",[],READY,fixture
fund,FUND_SYNTH_000002,infrastructure,track_record,3,5,0.6,"[""tvpi"",""dpi"",""xirr""]","[""ks_pme"",""direct_alpha""]",PARTIAL,fixture
fund,FUND_SYNTH_000002,infrastructure,realization,3,3,1.0,"[""realized_share"",""nav_reliance"",""distribution_recency_months""]",[],READY,fixture
fund,FUND_SYNTH_000002,infrastructure,portfolio,5,5,1.0,"[""company_hhi"",""top_company_share"",""top3_company_share"",""sector_hhi"",""top_sector_share""]",[],READY,fixture
fund,FUND_SYNTH_000002,infrastructure,terms,2,2,1.0,"[""management_fee_rate"",""waterfall_type""]",[],READY,fixture
fund,FUND_SYNTH_000003,venture,track_record,5,5,1.0,"[""tvpi"",""dpi"",""xirr"",""ks_pme"",""direct_alpha""]",[],READY,fixture
fund,FUND_SYNTH_000003,venture,realization,3,3,1.0,"[""realized_share"",""nav_reliance"",""distribution_recency_months""]",[],READY,fixture
fund,FUND_SYNTH_000003,venture,portfolio,5,5,1.0,"[""company_hhi"",""top_company_share"",""top3_company_share"",""sector_hhi"",""top_sector_share""]",[],READY,fixture
fund,FUND_SYNTH_000003,venture,terms,2,2,1.0,"[""management_fee_rate"",""waterfall_type""]",[],READY,fixture
fund,FUND_SYNTH_000004,venture,track_record,5,5,1.0,"[""tvpi"",""dpi"",""xirr"",""ks_pme"",""direct_alpha""]",[],READY,fixture
fund,FUND_SYNTH_000004,venture,realization,3,3,1.0,"[""realized_share"",""nav_reliance"",""distribution_recency_months""]",[],READY,fixture
fund,FUND_SYNTH_000004,venture,portfolio,5,5,1.0,"[""company_hhi"",""top_company_share"",""top3_company_share"",""sector_hhi"",""top_sector_share""]",[],READY,fixture
fund,FUND_SYNTH_000004,venture,terms,2,2,1.0,"[""management_fee_rate"",""waterfall_type""]",[],READY,fixture
fund,FUND_SYNTH_000005,real_estate,track_record,3,5,0.6,"[""tvpi"",""dpi"",""xirr""]","[""ks_pme"",""direct_alpha""]",PARTIAL,fixture
fund,FUND_SYNTH_000005,real_estate,realization,3,3,1.0,"[""realized_share"",""nav_reliance"",""distribution_recency_months""]",[],READY,fixture
fund,FUND_SYNTH_000005,real_estate,portfolio,5,5,1.0,"[""company_hhi"",""top_company_share"",""top3_company_share"",""sector_hhi"",""top_sector_share""]",[],READY,fixture
fund,FUND_SYNTH_000005,real_estate,terms,2,2,1.0,"[""management_fee_rate"",""waterfall_type""]",[],READY,fixture
fund,FUND_SYNTH_000006,buyout,track_record,5,5,1.0,"[""tvpi"",""dpi"",""xirr"",""ks_pme"",""direct_alpha""]",[],READY,fixture
fund,FUND_SYNTH_000006,buyout,realization,3,3,1.0,"[""realized_share"",""nav_reliance"",""distribution_recency_months""]",[],READY,fixture
fund,FUND_SYNTH_000006,buyout,portfolio,5,5,1.0,"[""company_hhi"",""top_company_share"",""top3_company_share"",""sector_hhi"",""top_sector_share""]",[],READY,fixture
fund,FUND_SYNTH_000006,buyout,terms,2,2,1.0,"[""management_fee_rate"",""waterfall_type""]",[],READY,fixture
fund,FUND_SYNTH_000007,growth,track_record,0,5,0.0,[],"[""tvpi"",""dpi"",""xirr"",""ks_pme"",""direct_alpha""]",UNKNOWN,fixture
fund,FUND_SYNTH_000007,growth,realization,0,3,0.0,[],"[""realized_share"",""nav_reliance"",""distribution_recency_months""]",UNKNOWN,fixture
fund,FUND_SYNTH_000007,growth,portfolio,0,5,0.0,[],"[""company_hhi"",""top_company_share"",""top3_company_share"",""sector_hhi"",""top_sector_share""]",UNKNOWN,fixture
fund,FUND_SYNTH_000007,growth,terms,2,2,1.0,"[""management_fee_rate"",""waterfall_type""]",[],READY,fixture
fund,FUND_SYNTH_000008,venture,track_record,3,5,0.6,"[""tvpi"",""dpi"",""xirr""]","[""ks_pme"",""direct_alpha""]",PARTIAL,fixture
fund,FUND_SYNTH_000008,venture,realization,3,3,1.0,"[""realized_share"",""nav_reliance"",""distribution_recency_months""]",[],READY,fixture
fund,FUND_SYNTH_000008,venture,portfolio,5,5,1.0,"[""company_hhi"",""top_company_share"",""top3_company_share"",""sector_hhi"",""top_sector_share""]",[],READY,fixture
fund,FUND_SYNTH_000008,venture,terms,2,2,1.0,"[""management_fee_rate"",""waterfall_type""]",[],READY,fixture
fund,FUND_SYNTH_000009,venture,track_record,5,5,1.0,"[""tvpi"",""dpi"",""xirr"",""ks_pme"",""direct_alpha""]",[],READY,fixture
fund,FUND_SYNTH_000009,venture,realization,3,3,1.0,"[""realized_share"",""nav_reliance"",""distribution_recency_months""]",[],READY,fixture
fund,FUND_SYNTH_000009,venture,portfolio,5,5,1.0,"[""company_hhi"",""top_company_share"",""top3_company_share"",""sector_hhi"",""top_sector_share""]",[],READY,fixture
fund,FUND_SYNTH_000009,venture,terms,2,2,1.0,"[""management_fee_rate"",""waterfall_type""]",[],READY,fixture
fund,FUND_SYNTH_000010,fund_of_funds,track_record,5,5,1.0,"[""tvpi"",""dpi"",""xirr"",""ks_pme"",""direct_alpha""]",[],READY,fixture
fund,FUND_SYNTH_000010,fund_of_funds,realization,3,3,1.0,"[""realized_share"",""nav_reliance"",""distribution_recency_months""]",[],READY,fixture
