population,fund_id,manager_id,manager_name,strategy,sub_strategy,vintage_year,currency,as_of_date,current_status,v1_status,v1_fund_score,v1_tvpi_percentile,v1_dpi_percentile,dpi,rvpi,tvpi,xirr,xirr_status,xirr_basis,realized_share,nav_reliance,ks_pme,direct_alpha,benchmark_id,benchmark_status,distribution_recency_months,distribution_velocity_1y,call_50_months,call_75_months,company_hhi,top_company_share,top3_company_share,sector_hhi,top_sector_share,top_sector,geography_hhi,geography_status,holdings_status,economic_loss_status,management_fee_rate,waterfall_type,term_status,size_step_up,size_predecessor_fund_id,size_step_status,strict_20_10_eligible,reference_peer_count,reference_peer_manager_count,size_peer_count,size_peer_manager_count,tvpi_peer_median,tvpi_peer_q25,tvpi_peer_q75,tvpi_robust_z,tvpi_size_percentile,dpi_peer_median,dpi_peer_q25,dpi_peer_q75,dpi_robust_z,dpi_size_percentile,trailing_1y_xirr,trailing_1y_status,trailing_3y_xirr,trailing_3y_status,trailing_5y_xirr,trailing_5y_status,trailing_10y_xirr,trailing_10y_status,age_3_status,age_3_date,age_3_lag_days,age_3_tvpi,age_3_dpi,age_3_tvpi_percentile,age_3_dpi_percentile,age_5_status,age_5_date,age_5_lag_days,age_5_tvpi,age_5_dpi,age_5_tvpi_percentile,age_5_dpi_percentile,age_7_status,age_7_date,age_7_lag_days,age_7_tvpi,age_7_dpi,age_7_tvpi_percentile,age_7_dpi_percentile,age_10_status,age_10_date,age_10_lag_days,age_10_tvpi,age_10_dpi,age_10_tvpi_percentile,age_10_dpi_percentile
fixture,FUND_SYNTH_000001,MANAGER_SYNTH_00001,Synthetic Alternatives Manager 0001,buyout,middle_market,2018,USD,2026-06-30,AVAILABLE,RANKABLE_FUND,42.0338983051,40.6779661017,44.0677966102,1.259557,0.49819,1.757747,0.1053596239,AVAILABLE,unstated,0.7165745729942455,0.2834254270057544,1.1521771028,0.0258068722,BM_SYNTH_PUBLIC_EQUITY,AVAILABLE,0.3613963039014374,0.5997224083468938,9.13347022587269,17.281314168377822,0.29048547149155285,0.3530242789965488,0.8994127025772467,0.29048547149155285,0.3530242789965488,Industrials,1.0,AVAILABLE_CONSTANT,AVAILABLE,UNSUPPORTED_DEFINITION,0.018,whole_fund,AVAILABLE,,,PREDECESSOR_UNAVAILABLE,true,59,53,19,19,1.8319060455,1.53796903383,2.03688900572,-0.18561840212058953,36.8421052631579,1.30913183564,1.112296951295,1.6659367697,-0.1297979070240253,47.36842105263158,0.09964225269751442,AVAILABLE,0.08296442696523397,AVAILABLE,0.08412952551925124,AVAILABLE,,OPENING_NAV_UNAVAILABLE,AVAILABLE,2021-06-30,56,1.322002,0.017641,50.847457627118644,69.49152542372882,AVAILABLE,2023-06-30,56,1.514207,0.318366,45.76271186440678,76.27118644067797,AVAILABLE,2025-06-30,56,1.680006,0.629612,46.15384615384615,40.38461538461539,FUND_TOO_YOUNG,,,,,,
fixture,FUND_SYNTH_000002,MANAGER_SYNTH_00001,Synthetic Alternatives Manager 0001,infrastructure,core_plus,2024,EUR,2026-06-30,AVAILABLE,,,,,0.158469,1.17455,1.333019,0.1694117854,AVAILABLE,unstated,0.11888012963129671,0.8811198703687033,,,,BENCHMARK_CURRENCY_UNSUPPORTED,1.2813141683778233,0.11014205679315288,2.3983572895277208,2.3983572895277208,0.2669062838793147,0.31660220389695687,0.8577683718893674,0.35696797772667205,0.4588338320075896,Energy Transition,1.0,AVAILABLE_CONSTANT,AVAILABLE,UNSUPPORTED_DEFINITION,0.018,whole_fund,AVAILABLE,,,PREDECESSOR_UNAVAILABLE,,,,,,,,,,,,,,,,0.12589618949185724,AVAILABLE,,OPENING_NAV_UNAVAILABLE,,OPENING_NAV_UNAVAILABLE,,OPENING_NAV_UNAVAILABLE,FUND_TOO_YOUNG,,,,,,,FUND_TOO_YOUNG,,,,,,,FUND_TOO_YOUNG,,,,,,,FUND_TOO_YOUNG,,,,,,
fixture,FUND_SYNTH_000003,MANAGER_SYNTH_00001,Synthetic Alternatives Manager 0001,venture,early_stage,2017,USD,2026-06-30,AVAILABLE,RANKABLE_FUND,64.4444444444,62.962962963,66.6666666667,2.014224,0.548079,2.562303,0.1911732864,AVAILABLE,unstated,0.7860989230155564,0.21390107698444352,5.4462866521,0.3901133853,BM_SYNTH_SMALL_CAP_EQUITY,AVAILABLE,9.69199178644764,0.4181952480610612,15.507186858316222,23.42505133470226,0.5507930418886131,0.6593628593628594,1.0,1.0,1.0,Consumer,1.0,AVAILABLE_CONSTANT,AVAILABLE,UNSUPPORTED_DEFINITION,0.018,deal_by_deal,AVAILABLE,0.4143185467367692,FUND_SYNTH_000004,AVAILABLE,true,27,25,9,9,2.14175572925,0.7570043546945,3.18198772144,0.2411169363827798,,1.51179538118,0.594677614356,2.35635105287,0.3933800992830885,,0.31350824301826036,AVAILABLE,0.17125630280964424,AVAILABLE,0.1269210959909918,AVAILABLE,,OPENING_NAV_UNAVAILABLE,AVAILABLE,2020-09-30,46,1.634969,0.0,62.96296296296296,29.62962962962963,AVAILABLE,2022-09-30,46,1.989268,0.164211,62.96296296296296,51.851851851851855,AVAILABLE,2024-09-30,46,2.304659,1.348096,68.0,88.0,FUND_TOO_YOUNG,,,,,,
fixture,FUND_SYNTH_000004,MANAGER_SYNTH_00001,Synthetic Alternatives Manager 0001,venture,early_stage,2016,USD,2026-06-30,AVAILABLE,RANKABLE_FUND,83.7037037037,77.7777777778,92.5925925926,2.818046,0.505799,3.323845,0.2099721279,AVAILABLE,unstated,0.8478271991486837,0.15217280085131635,8.6104428985,0.4214206563,BM_SYNTH_SMALL_CAP_EQUITY,AVAILABLE,0.75564681724846,0.6642052931715162,15.014373716632443,26.84188911704312,0.2698778907607062,0.3335126412049489,0.8519365250134481,0.4019167977716825,0.5184238838084991,Energy Transition,1.0,AVAILABLE_CONSTANT,AVAILABLE,UNSUPPORTED_DEFINITION,0.018,deal_by_deal,AVAILABLE,,,PREDECESSOR_UNAVAILABLE,true,27,25,9,8,2.14175572925,0.7570043546945,3.18198772144,0.6777397372133166,,1.51179538118,0.594677614356,2.35635105287,1.0227388298273696,,0.25748122050592,AVAILABLE,0.1594197074909371,AVAILABLE,0.1269780593133531,AVAILABLE,,OPENING_NAV_UNAVAILABLE,AVAILABLE,2019-09-30,46,1.855847,0.0,77.77777777777777,29.62962962962963,AVAILABLE,2021-09-30,46,2.345611,0.193926,74.07407407407408,51.851851851851855,AVAILABLE,2023-09-30,46,2.778322,0.925008,76.0,76.0,FUND_TOO_YOUNG,,,,,,
fixture,FUND_SYNTH_000005,MANAGER_SYNTH_00002,Synthetic Alternatives Manager 0002,real_estate,value_add,2019,EUR,2026-06-30,AVAILABLE,PEERS_INSUFFICIENT,,,,0.657111,0.45233,1.109441,0.0214766033,AVAILABLE,unstated,0.592289978300341,0.407710021699659,,,,BENCHMARK_CURRENCY_UNSUPPORTED,0.7885010266940452,0.24142620373124815,5.848049281314168,14.620123203285422,0.18459195124788294,0.21039482973985774,0.6096779449302123,0.28644367891960987,0.4153044044968229,Energy Transition,0.9999999999999998,AVAILABLE_CONSTANT,AVAILABLE,UNSUPPORTED_DEFINITION,0.018,whole_fund,AVAILABLE,,,PREDECESSOR_UNAVAILABLE,false,1,1,0,0,0.908629047294,0.908629047294,0.908629047294,,,0.538173513144,0.538173513144,0.538173513144,,,0.024307441979347602,AVAILABLE,0.020847410552357795,AVAILABLE,0.026522188881255505,AVAILABLE,,OPENING_NAV_UNAVAILABLE,AVAILABLE,2022-09-30,46,1.045152,0.054683,,,AVAILABLE,2024-09-30,46,1.084384,0.205911,,,FUND_TOO_YOUNG,,,,,,,FUND_TOO_YOUNG,,,,,,
fixture,FUND_SYNTH_000006,MANAGER_SYNTH_00002,Synthetic Alternatives Manager 0002,buyout,middle_market,2016,USD,2026-06-30,AVAILABLE,RANKABLE_FUND,34.9152542373,22.0338983051,54.2372881356,1.331888,0.134771,1.46666,0.0610783008,AVAILABLE,unstated,0.9081101243848902,0.09188987561510982,1.071809194,0.0112886394,BM_SYNTH_PUBLIC_EQUITY,AVAILABLE,0.9527720739219713,0.8073187070842405,11.498973305954825,23.16221765913758,0.37086651053864167,0.487743950039032,1.0,0.591702959424386,0.7141295862607338,Healthcare,1.0,AVAILABLE_CONSTANT,AVAILABLE,UNSUPPORTED_DEFINITION,0.018,whole_fund,AVAILABLE,,,PREDECESSOR_UNAVAILABLE,true,59,53,19,17,1.8319060455,1.5519903637949999,2.03688900572,-0.9426168956369307,26.31578947368421,1.30814930934,1.112296951295,1.6659367697,0.06239211522524705,63.1578947368421,0.08965655856826803,AVAILABLE,0.060824703547239366,AVAILABLE,0.05081056702741774,AVAILABLE,,OPENING_NAV_UNAVAILABLE,AVAILABLE,2019-06-30,46,1.156817,0.0,18.64406779661017,32.20338983050848,AVAILABLE,2021-06-30,46,1.261378,0.151752,16.949152542372882,16.949152542372882,AVAILABLE,2023-06-30,46,1.3491,0.472509,19.23076923076923,17.307692307692307,FUND_TOO_YOUNG,,,,,,
fixture,FUND_SYNTH_000007,MANAGER_SYNTH_00002,Synthetic Alternatives Manager 0002,growth,growth_equity,2012,USD,,NO_COMMON_DATE_RECORD,,,,,,,,,RETURN_UNAVAILABLE,unstated,,,,,,NO_CURRENT_PERIOD,,,,,,,,,,,,UNKNOWN,HOLDINGS_UNAVAILABLE,UNSUPPORTED_DEFINITION,0.018,whole_fund,AVAILABLE,,,PREDECESSOR_UNAVAILABLE,,,,,,,,,,,,,,,,,UNAVAILABLE,,UNAVAILABLE,,UNAVAILABLE,,UNAVAILABLE,AVAILABLE,2015-06-30,61,1.160199,0.0,52.63157894736842,50.0,AVAILABLE,2017-06-30,61,1.31386,0.033817,52.63157894736842,31.57894736842105,AVAILABLE,2019-06-30,61,1.434845,0.185506,57.89473684210526,31.57894736842105,AVAILABLE,2022-06-30,61,1.589,0.741403,57.89473684210526,47.36842105263158
fixture,FUND_SYNTH_000008,MANAGER_SYNTH_00002,Synthetic Alternatives Manager 0002,venture,early_stage,2022,EUR,2026-06-30,AVAILABLE,PEERS_INSUFFICIENT,,,,0.270197,0.746533,1.016729,0.0046353016,AVAILABLE,unstated,0.2657509844365273,0.7342490155634728,,,,BENCHMARK_CURRENCY_UNSUPPORTED,3.8767967145790556,0.18175124901393638,0.0,12.02464065708419,0.3071544588251407,0.4520845304220137,0.8587116133563175,0.43490304668492696,0.5933729170656963,Industrials,1.0,AVAILABLE_CONSTANT,AVAILABLE,UNSUPPORTED_DEFINITION,0.018,deal_by_deal,AVAILABLE,,,PREDECESSOR_UNAVAILABLE,false,3,3,0,0,2.03339500463,1.8897691381800001,2.083448308655,-6.850012745549748,,0.566961155518,0.44454671492099995,0.6449976915425,-1.2825068586025583,,0.006116248681475755,AVAILABLE,0.017917704732672735,AVAILABLE,,OPENING_NAV_UNAVAILABLE,,OPENING_NAV_UNAVAILABLE,AVAILABLE,2024-12-31,51,1.007483,0.105476,,,FUND_TOO_YOUNG,,,,,,,FUND_TOO_YOUNG,,,,,,,FUND_TOO_YOUNG,,,,,,
fixture,FUND_SYNTH_000009,MANAGER_SYNTH_00003,Synthetic Alternatives Manager 0003,venture,early_stage,2014,USD,2026-06-30,AVAILABLE,PEERS_INSUFFICIENT,,,,1.687071,0.302828,1.989899,0.087814369,AVAILABLE,unstated,0.8478172588832488,0.15218274111675126,5.3944864731,0.2230255818,BM_SYNTH_SMALL_CAP_EQUITY,AVAILABLE,1.1498973305954825,0.6334482398412201,10.513347022587268,24.11498973305955,0.5001958412815818,0.5098954858794752,1.0,0.5001958412815818,0.5098954858794752,Energy Transition,1.0,AVAILABLE_CONSTANT,AVAILABLE,UNSUPPORTED_DEFINITION,0.018,deal_by_deal,AVAILABLE,,,PREDECESSOR_UNAVAILABLE,false,4,4,1,1,2.72046195192,2.0822878562939997,3.08753342264,-0.840742043689721,,2.30649075108,1.7654205979845,2.6176982109900004,-0.8407941863184172,,0.13279276426877057,AVAILABLE,0.09404967650342072,AVAILABLE,0.07162095675859059,AVAILABLE,0.08185250369725089,AVAILABLE,AVAILABLE,2017-06-30,63,1.291044,0.0,41.1764705882353,50.0,AVAILABLE,2019-06-30,63,1.478165,0.024452,41.1764705882353,11.764705882352942,AVAILABLE,2021-06-30,63,1.63899,0.245051,41.1764705882353,41.1764705882353,AVAILABLE,2024-06-30,63,1.855354,1.108148,41.1764705882353,47.05882352941177
fixture,FUND_SYNTH_000010,MANAGER_SYNTH_00003,Synthetic Alternatives Manager 0003,fund_of_funds,diversified,2015,USD,2026-06-30,AVAILABLE,RANKABLE_FUND,21.3333333333,13.3333333333,33.3333333333,1.058046,0.117552,1.175598,0.0269531969,AVAILABLE,unstated,0.9000069912958366,0.09999300870416332,0.8596185994,-0.0255029608,BM_SYNTH_PUBLIC_EQUITY,AVAILABLE,6.669404517453799,0.3692193858675546,8.213552361396303,39.063655030800824,0.2109623752831552,0.24086698129697603,0.7033735360950882,0.3684554715679797,0.4803356056633455,Software,0.9999999999999998,AVAILABLE_CONSTANT,AVAILABLE,UNSUPPORTED_DEFINITION,0.018,whole_fund,AVAILABLE,,,PREDECESSOR_UNAVAILABLE,false,15,15,5,5,1.53708323086,1.402589252685,1.8096056545399999,-0.9392865304651392,,1.1186770428,0.9380696573135,1.42591270521,-0.1687486671818525,,0.09356263439262964,AVAILABLE,0.051155576260671014,AVAILABLE,0.03529789345465176,AVAILABLE,0.03261889776245444,AVAILABLE,AVAILABLE,2017-12-31,46,1.030131,0.0,13.333333333333334,33.333333333333336,AVAILABLE,2019-12-31,46,1.079704,0.109958,13.333333333333334,26.666666666666668,AVAILABLE,2021-12-31,46,1.114757,0.453789,15.384615384615385,23.076923076923077,AVAILABLE,2024-12-31,46,1.156735,0.996527,,
