"contract_version","file_id","source_sha256","canonical_doc_type","route","product_tier","agent_role","record_family","source_page","source_structure_type","source_section","source_table","source_row_label","source_column_label","source_occurrence","subject_type","subject_name","asset_class","strategy","geography","manager_name","investor_name","portfolio_name","vintage_year","period_start","period_end","as_of_date","horizon","currency_scale","metric_category","metric_name","metric_value_raw","unit","term_category","text_raw","basis_raw","condition_raw","evidence_quote","evidence_class","notes","source_agents","adjudication_status","definition_keys","method","fee_basis","value_scope","sector"
"2026-08-22.2","SRC363","37f3b1a46d11cdb22e38d276fda163e197904df1b0793d02a7af3ad40c050277","Performance","02-performance","CORE","ADJUDICATED","cash_flow_observation","1","FIGURE","QUARTERLY SHARE VALUE AND DISTRIBUTIONS","QUARTERLY SHARE VALUE AND DISTRIBUTIONS","Distributions per Share","FY 2024","1","portfolio","University Endowment Fund","","","","","","","","","","June 30, 2024","","","distribution","Distributions per Share","$0.20","","","","","","At June 30, 2024, the distribution per share was $0.20.","actual","Post-extraction identity review classified the printed label at its source grain; the literal label remains in source_row_label and evidence_quote.","B+ADJUDICATOR","RESOLVED","","","","",""
"2026-09-01.2","SRC363","37f3b1a46d11cdb22e38d276fda163e197904df1b0793d02a7af3ad40c050277","Performance","02-performance","CORE","ADJUDICATED","definition_context","1","FOOTNOTE","INVESTMENT PERFORMANCE","INVESTMENT PERFORMANCE","*","","1","","","","","","","","","","","","","","","","","","","","Based on Cambridge Associates' survey of about 167 college and university endowments.","","Median College and University Endowment","* Based on Cambridge Associates' survey of about 167 college and university endowments.","actual","","A+B+ADJUDICATOR","RESOLVED","*","","","",""
"2026-09-01.2","SRC363","37f3b1a46d11cdb22e38d276fda163e197904df1b0793d02a7af3ad40c050277","Performance","02-performance","CORE","ADJUDICATED","definition_context","1","TABLE","INVESTMENT PERFORMANCE","INVESTMENT PERFORMANCE","Annualized","Annualized","1","","","","","","","","","","","","","","","","","","","","Annualized","","5 YEARS | 10 YEARS | 20 YEARS","Annualized","actual","","A+B+ADJUDICATOR","RESOLVED","HEADING:Annualized","","","",""
"2026-09-01.2","SRC363","37f3b1a46d11cdb22e38d276fda163e197904df1b0793d02a7af3ad40c050277","Performance","02-performance","CORE","ADJUDICATED","definition_context","1","TABLE","INVESTMENT PERFORMANCE","INVESTMENT PERFORMANCE","Net of Fees and Expenses","Net of Fees and Expenses","1","","","","","","","","","","","","","","","","","","","","Net of Fees and Expenses","","1 YEAR | 5 YEARS | 10 YEARS | 20 YEARS","Net of Fees and Expenses Periods Ended June 30, 2024","actual","","A+B+ADJUDICATOR","RESOLVED","HEADING:Net of Fees and Expenses","","","",""
"2026-08-22.2","SRC363","37f3b1a46d11cdb22e38d276fda163e197904df1b0793d02a7af3ad40c050277","Performance","02-performance","CORE","ADJUDICATED","document_context","1","DOCUMENT","INVESTMENT PERFORMANCE","","DOCUMENT","","1","document","University Endowment Fund Profile","","","","","University of Michigan","University Long Term Portfolio","","","","June 30, 2024","","","","","","","","","","","UNIVERSITY ENDOWMENT FUND PROFILE JUNE 30, 2024","actual","","A+B+ADJUDICATOR","RESOLVED","","","","",""
"2026-08-22.2","SRC363","37f3b1a46d11cdb22e38d276fda163e197904df1b0793d02a7af3ad40c050277","Performance","02-performance","CORE","ADJUDICATED","performance_observation","1","TABLE","INVESTMENT PERFORMANCE","INVESTMENT PERFORMANCE","Median College and University Endowment","1 YEAR","1","peer_group","Median College and University Endowment","","","","","","","","","","June 30, 2024","1 YEAR","","return","INVESTMENT PERFORMANCE","10.1%","%","","","","","Median College and University Endowment* 10.1% 9.0% 7.2% 7.3%","actual","","A+B+ADJUDICATOR","RESOLVED","*|HEADING:Net of Fees and Expenses","unstated","net","",""
"2026-08-22.2","SRC363","37f3b1a46d11cdb22e38d276fda163e197904df1b0793d02a7af3ad40c050277","Performance","02-performance","CORE","ADJUDICATED","performance_observation","1","TABLE","INVESTMENT PERFORMANCE","INVESTMENT PERFORMANCE","Median College and University Endowment","10 YEARS","1","peer_group","Median College and University Endowment","","","","","","","","","","June 30, 2024","10 YEARS","","return","INVESTMENT PERFORMANCE","7.2%","%","","","","","Median College and University Endowment* 10.1% 9.0% 7.2% 7.3%","actual","","A+B+ADJUDICATOR","RESOLVED","*|HEADING:Net of Fees and Expenses|HEADING:Annualized","annualized","net","",""
"2026-08-22.2","SRC363","37f3b1a46d11cdb22e38d276fda163e197904df1b0793d02a7af3ad40c050277","Performance","02-performance","CORE","ADJUDICATED","performance_observation","1","TABLE","INVESTMENT PERFORMANCE","INVESTMENT PERFORMANCE","Median College and University Endowment","20 YEARS","1","peer_group","Median College and University Endowment","","","","","","","","","","June 30, 2024","20 YEARS","","return","INVESTMENT PERFORMANCE","7.3%","%","","","","","Median College and University Endowment* 10.1% 9.0% 7.2% 7.3%","actual","","A+B+ADJUDICATOR","RESOLVED","*|HEADING:Net of Fees and Expenses|HEADING:Annualized","annualized","net","",""
"2026-08-22.2","SRC363","37f3b1a46d11cdb22e38d276fda163e197904df1b0793d02a7af3ad40c050277","Performance","02-performance","CORE","ADJUDICATED","performance_observation","1","TABLE","INVESTMENT PERFORMANCE","INVESTMENT PERFORMANCE","Median College and University Endowment","5 YEARS","1","peer_group","Median College and University Endowment","","","","","","","","","","June 30, 2024","5 YEARS","","return","INVESTMENT PERFORMANCE","9.0%","%","","","","","Median College and University Endowment* 10.1% 9.0% 7.2% 7.3%","actual","","A+B+ADJUDICATOR","RESOLVED","*|HEADING:Net of Fees and Expenses|HEADING:Annualized","annualized","net","",""
"2026-08-22.2","SRC363","37f3b1a46d11cdb22e38d276fda163e197904df1b0793d02a7af3ad40c050277","Performance","02-performance","CORE","ADJUDICATED","performance_observation","1","TABLE","INVESTMENT PERFORMANCE","INVESTMENT PERFORMANCE","University Long Term Portfolio","1 YEAR","1","portfolio","University Long Term Portfolio","","","","","","","","","","June 30, 2024","1 YEAR","","return","INVESTMENT PERFORMANCE","8.9%","%","","","","","University Long Term Portfolio 8.9% 11.0% 8.7% 9.3%","actual","","A+B+ADJUDICATOR","RESOLVED","HEADING:Net of Fees and Expenses","unstated","net","",""
"2026-08-22.2","SRC363","37f3b1a46d11cdb22e38d276fda163e197904df1b0793d02a7af3ad40c050277","Performance","02-performance","CORE","ADJUDICATED","performance_observation","1","TABLE","INVESTMENT PERFORMANCE","INVESTMENT PERFORMANCE","University Long Term Portfolio","10 YEARS","1","portfolio","University Long Term Portfolio","","","","","","","","","","June 30, 2024","10 YEARS","","return","INVESTMENT PERFORMANCE","8.7%","%","","","","","University Long Term Portfolio 8.9% 11.0% 8.7% 9.3%","actual","","A+B+ADJUDICATOR","RESOLVED","HEADING:Net of Fees and Expenses|HEADING:Annualized","annualized","net","",""
"2026-08-22.2","SRC363","37f3b1a46d11cdb22e38d276fda163e197904df1b0793d02a7af3ad40c050277","Performance","02-performance","CORE","ADJUDICATED","performance_observation","1","TABLE","INVESTMENT PERFORMANCE","INVESTMENT PERFORMANCE","University Long Term Portfolio","20 YEARS","1","portfolio","University Long Term Portfolio","","","","","","","","","","June 30, 2024","20 YEARS","","return","INVESTMENT PERFORMANCE","9.3%","%","","","","","University Long Term Portfolio 8.9% 11.0% 8.7% 9.3%","actual","","A+B+ADJUDICATOR","RESOLVED","HEADING:Net of Fees and Expenses|HEADING:Annualized","annualized","net","",""
"2026-08-22.2","SRC363","37f3b1a46d11cdb22e38d276fda163e197904df1b0793d02a7af3ad40c050277","Performance","02-performance","CORE","ADJUDICATED","performance_observation","1","TABLE","INVESTMENT PERFORMANCE","INVESTMENT PERFORMANCE","University Long Term Portfolio","5 YEARS","1","portfolio","University Long Term Portfolio","","","","","","","","","","June 30, 2024","5 YEARS","","return","INVESTMENT PERFORMANCE","11.0%","%","","","","","University Long Term Portfolio 8.9% 11.0% 8.7% 9.3%","actual","","A+B+ADJUDICATOR","RESOLVED","HEADING:Net of Fees and Expenses|HEADING:Annualized","annualized","net","",""
"2026-08-22.2","SRC363","37f3b1a46d11cdb22e38d276fda163e197904df1b0793d02a7af3ad40c050277","Performance","02-performance","CORE","ADJUDICATED","performance_observation","1","FIGURE","QUARTERLY SHARE VALUE AND DISTRIBUTIONS","QUARTERLY SHARE VALUE AND DISTRIBUTIONS","Share Value","FY 2024","1","portfolio","University Endowment Fund","","","","","","","","","","June 30, 2024","","","fair_value","Share Value","$21.80","","","","","","$21.80","actual","Post-extraction identity review classified the printed label at its source grain; the literal label remains in source_row_label and evidence_quote.","B+ADJUDICATOR","RESOLVED","","","","unstated",""
