"source_page","final_page_status","final_expected_observation_count","reason"
"1","REFERENCE_ONLY","0","Counted from page-001.png: a cover printing only the year and the report title. Both lanes said NO_ELIGIBLE_DATA; a cover is reference content under the coverage rule, so the zero is right and the label is corrected."
"2","REFERENCE_ONLY","0","Counted from page-002.png: a table of contents with page numbers only. Both lanes said NO_ELIGIBLE_DATA; a table of contents is reference content under the coverage rule, so the zero is right and the label is corrected."
"3","NO_ELIGIBLE_DATA","0","NO_ELIGIBLE_REASON: counted from page-003.png. The Foreword prints no figure. B extracted five sentences as stewardship_policy and all five are rejected under the document ruling recorded in resolution.csv: they are mission language, beliefs about ESG, and a stated goal, none of them a rule that binds. A's zero stands."
"4","NO_ELIGIBLE_DATA","0","NO_ELIGIBLE_REASON: counted from page-004.png. No figure is printed. B's three policy rows are rejected: a description of what this report contains, a closing aspiration, and a statement of how the Guardians views stewardship."
"5","NO_ELIGIBLE_DATA","0","NO_ELIGIBLE_REASON: counted from page-005.png. The digits are the financial year end, the PRI founding year and a principle number. B extracted the six PRI principles as policy rows and all six are rejected: they are an external framework's own principles, which the adjudicator rule names as narrative, and they bind PRI signatories generally rather than stating the Guardians' own rule."
"6","ELIGIBLE_DATA_EXTRACTED","4","Counted from page-006.png: under GUARDIANS' PURPOSE the page prints the three requirements the New Zealand Superannuation and Retirement Income Act 2001 imposes on the Guardians, which are the entity's own statutory obligations and not an external framework's principles, so three policy rows. The nine Stewardship Code principles printed as a graphic on the same page are excluded on the same ground as page 5. The single document_context row is filed here, not on page 1: page 1 is a bare cover with no observation and the contract rejects a page whose only record family is document_context, and page 6 is the earliest page in the document carrying a surviving record. Three plus the context row is 4; both lanes reached zero."
"7","NO_ELIGIBLE_DATA","0","NO_ELIGIBLE_REASON: counted from page-007.png. No figure is printed. The OUR PURPOSE, OUR VISION and SUSTAINABLE FINANCE GOAL panels are printed as three design blocks of purpose, vision and goal language and are excluded together; the surrounding text is history and a stated investment belief. All eight of B's policy rows are rejected."
"8","NO_ELIGIBLE_DATA","0","NO_ELIGIBLE_REASON: counted from page-008.png. No figure is printed. B's eleven policy rows are rejected: four are bare policy-document names in the list 'We address stewardship through several of our policies, including:', and the rest describe what those documents contain, where they are published, and who is responsible for what."
"9","NO_ELIGIBLE_DATA","0","NO_ELIGIBLE_REASON: counted from page-009.png. The digits are dates, a staff count and an award year, none in an allowed stewardship category. B's twelve policy rows are rejected: they describe team structure, reporting lines, what the Statement of Intent sets out, and an incentive practice applied where appropriate."
"10","ELIGIBLE_DATA_EXTRACTED","6","Counted from page-010.png: the CONFLICTS OF INTEREST section prints six statements that bind the Board, staff and suppliers, being the requirement to disclose conflicts, how they must be disclosed, the Securities Trading Procedure's scope, the six-monthly attestation, the attestation as a prerequisite for incentive payment, and the requirement on suppliers during procurement. The other five sentences describe the codes, the policy and the report and are rejected. A's zero for this page is overridden."
"11","ELIGIBLE_DATA_EXTRACTED","6","Counted from page-011.png: the lead-in 'We integrate sustainable investment into our investment processes by:' introduces six bulleted process requirements, each with its own scope, and all six are kept. The rest of the page introduces the section and narrates the 2022 index change and is rejected. A's zero for this page is overridden."
"12","NO_ELIGIBLE_DATA","0","NO_ELIGIBLE_REASON: counted from page-012.png. The digits are years in a narrative of index changes made in 2023 and January 2025. All nine of B's policy rows are rejected as history and description of what the indices and benchmarks do; A's zero stands."
"13","ELIGIBLE_DATA_EXTRACTED","6","Counted from page-013.png: one bounded figure, that the Fund holds shares in more than 1,000 companies, which is the population its engagement programme covers; the Guardians' stated engagement priority areas; and the four bulleted factors under 'Other factors we take into account include:', which are the printed criteria of the engagement prioritisation policy. The remaining ten sentences B extracted describe asset ownership, the monitoring tool, the service provider and the CFI collaboration and are rejected. A's zero for this page is overridden."
"14","ELIGIBLE_DATA_EXTRACTED","8","Counted from page-014.png: the page prints ten figures and eight are eligible, being 543 engagement activities, 352 companies, 34 countries, 304 climate activities, 214 companies, 46 milestones, more than 6,400 companies engaged and US$732 billion under engagement. Two are excluded as out of category: the reo service's 25 years of operation and its 45 responsible investment specialists have no allowed stewardship category. A reached seven and B ten; the sixteen policy rows B took from the reo narrative are all rejected as vendor description. The single document_context row A filed here is merged onto page 6."
"15","ELIGIBLE_DATA_EXTRACTED","51","Counted from page-015.png: four values in Engagement activities on behalf of NZ Super Fund, seven labelled percentages in the Engagements by issue donut, seven in Milestones achieved by issue including the printed Total, three in Climate change engagement, and thirty in SDGs Engagements by goal, being fifteen populated rows across the Sum and % columns. SDG rows 1, 4 and 17 print a dash in both columns and yield no row. Fifty-one in total; B reached all fifty-one and A twenty, having skipped the donut, the milestones-by-issue table and the whole % column."
"16","ELIGIBLE_DATA_EXTRACTED","29","Counted from page-016.png: eleven sector rows, nine sub theme rows across the two tables that share the title Climate engagement breakdown by sub theme, six in Climate milestone breakdown by sub theme, and three in Progress on NZ Super Fund engagement objectives. Twenty-nine in total; B reached all of them and A twenty-three, having skipped the milestone breakdown table entirely."
"17","NO_ELIGIBLE_DATA","0","NO_ELIGIBLE_REASON: counted from page-017.png. The reo case-study table prints companies, business descriptions, engagement issues and quarterly report references, with no value column and no figure of any kind. Both lanes reached zero."
"18","ELIGIBLE_DATA_EXTRACTED","1","Counted from page-018.png: the one bounded figure is 'we engaged with 10 companies' in the 2024 calendar year. The parallel 'including seven in the 2024/25 financial year' is printed as a word and cannot be a metric_value_raw. The COLLABORATIVE ENGAGEMENT and NZX50 blocks narrate one initiative, which the route's excluded scope names as case-study narration, so all eleven of B's policy rows are rejected. A's zero for this page is overridden."
"19","ELIGIBLE_DATA_EXTRACTED","3","Counted from page-019.png: two bounded figures, more than 530 signatory investors and the $29 trillion they represent, plus one operative rule, that the Guardians adheres to strict political neutrality when commenting on public policy. B's 'two investor statements' is printed as a word and is rejected, and the 2050 date is what the statement encouraged governments to achieve, not a target binding the Fund. A reached one."
"20","ELIGIBLE_DATA_EXTRACTED","14","Counted from page-020.png: the seven bulleted product exclusions, the rule that introduces them, and six further exclusion-policy statements covering the grounds for exclusion, the basis of product exclusions, the six-monthly disclosure obligation, the Sustainable Investment Framework basis, and the CONDUCT provision with its last-resort qualification. A reached eight."
"21","ELIGIBLE_DATA_EXTRACTED","5","Counted from page-021.png: the SOVEREIGN BONDS provision, taken in the fuller printed form that includes the two statutory obligations to comply with New Zealand Government and UN Security Council sanctions which A's text dropped, and the four HOW WE APPLY EXCLUSIONS statements on direct holdings and ISINs, Collective Investment Vehicles, indirect exposure and ongoing compliance monitoring. A reached one."
"22","ELIGIBLE_DATA_EXTRACTED","8","Counted from page-022.png: eight statements set a rule, being the commitment to exercise voting rights across the Fund's listed equities, what the votes must reflect, the adoption of the stronger ISS policies, the case-by-case departure rule, the two labelled execution arrangements for global and New Zealand equities, the reserved right to direct ISS or vote manually, and the rule on not disclosing voting intentions ahead of meetings. B extracted eighteen and the other ten describe why voting matters, what policies exist and where they are published. A reached one."
"23","ELIGIBLE_DATA_EXTRACTED","13","Counted from page-023.png: the Voting statistics 2024/25 table prints four measures across a Global and a New Zealand column, so eight values, on which both lanes agree; plus five operative voting provisions, being the Do Not Vote instruction with its 5% threshold, the guidelines on withholding and recalling lent securities, the recall rule for specified votes, the constraint on voting shares that are on loan, and the preference for segregated funds. Both lanes held two of those five as duplicates of each other and each duplicate is published once."
"24","ELIGIBLE_DATA_EXTRACTED","6","Counted from page-024.png: four bulleted key stewardship performance indicators under a lead-in that names them as such, each a reporting obligation with a frequency and a standard, plus the two SOI Measure entries that begin the SOI Measure Outcome 2024/25 table. The three narrative sentences B also took are rejected. A's zero for this page is overridden."
