"pair_id","decision","reason","contract_version","file_id","source_sha256","canonical_doc_type","route","product_tier","agent_role","record_family","source_page","source_structure_type","source_section","source_table","source_row_label","source_column_label","source_occurrence","subject_type","subject_name","asset_class","strategy","geography","manager_name","investor_name","portfolio_name","vintage_year","period_start","period_end","as_of_date","horizon","currency_scale","metric_category","metric_name","metric_value_raw","unit","term_category","text_raw","basis_raw","condition_raw","evidence_quote","evidence_class","notes","source_agents","adjudication_status","definition_keys","method","fee_basis","value_scope","sector"
"PAIR_6FF9A7EDDAAF87717B02E124","ACCEPT_B","Convention, applied once to all 465 pairs that differ on source_section and subject_type only (every other field byte-identical). source_section: 'Alternatives Portfolio' is the section heading printed above the table on both pages, so the populated side is right and A's blank is wrong. subject_type: every row label is a named partnership vehicle, so 'fund', not A's 'investment'. Values confirmed against page-001.png and page-002.png.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAIR_36A86B129F1596BB4A12BA05","MERGE","Convention, applied once to all 465 pairs that differ on source_section and subject_type only (every other field byte-identical). source_section: 'Alternatives Portfolio' is the section heading printed above the table on both pages, so the populated side is right and A's blank is wrong. subject_type: every row label is a named partnership vehicle, so 'fund', not A's 'investment'. Values confirmed against page-001.png and page-002.png.; Source review: p1: Retirement Fund (The portfolio report distinguishes investor positions from its aggregate rows.) | p1: Retirement Fund (Printed heading or definition supporting the source-reviewed qualifier.)","2026-08-22.2","SRC060","716b2b3028d4222c5bd8dbe183698cc7ea61e5f7a4d37e799da36d64c0e2dac3","Performance","02-performance","CORE","B","fund_economics_observation","1","TABLE","Alternatives Portfolio","Alternatives Portfolio","Alinda Infrastructure Fund II","Fair Market Value","1","fund","Alinda Infrastructure Fund II","","","","","","","2008","","","September 30, 2022","","($ in millions)","nav","Fair Market Value","$37.3","","","","Retirement Fund","","2008 Alinda Infrastructure Fund II $129.6 $255.3 $240.9 $37.3 1.09x -1.5% 1.9%","actual","","","","","","","fund_position",""
"PAIR_88E8EF0F31116B4E93F87A99","MERGE","Convention, applied once to all 465 pairs that differ on source_section and subject_type only (every other field byte-identical). source_section: 'Alternatives Portfolio' is the section heading printed above the table on both pages, so the populated side is right and A's blank is wrong. subject_type: every row label is a named partnership vehicle, so 'fund', not A's 'investment'. Values confirmed against page-001.png and page-002.png.; Source review: p2: Figures are net of fees. (Footnote 2 applies to the portfolio performance columns.) | p2: Figures are net of fees. (Printed heading or definition supporting the source-reviewed qualifier.)","2026-08-22.2","SRC060","716b2b3028d4222c5bd8dbe183698cc7ea61e5f7a4d37e799da36d64c0e2dac3","Performance","02-performance","CORE","B","fund_economics_observation","1","TABLE","Alternatives Portfolio","Alternatives Portfolio","Alinda Infrastructure Fund II","IRR","1","fund","Alinda Infrastructure Fund II","","","","","","","2008","","","September 30, 2022","","","irr","IRR","1.9%","%","","","Figures are net of fees.","","2008 Alinda Infrastructure Fund II $129.6 $255.3 $240.9 $37.3 1.09x -1.5% 1.9%","actual","","","","","","net","",""
"PAIR_ABE3DC11DD93423CC525C83F","ACCEPT_B","Convention, applied once to all 465 pairs that differ on source_section and subject_type only (every other field byte-identical). source_section: 'Alternatives Portfolio' is the section heading printed above the table on both pages, so the populated side is right and A's blank is wrong. subject_type: every row label is a named partnership vehicle, so 'fund', not A's 'investment'. Values confirmed against page-001.png and page-002.png.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAIR_CF1BF6A518C6BDB021A1BA31","ACCEPT_B","Convention, applied once to all 465 pairs that differ on source_section and subject_type only (every other field byte-identical). source_section: 'Alternatives Portfolio' is the section heading printed above the table on both pages, so the populated side is right and A's blank is wrong. subject_type: every row label is a named partnership vehicle, so 'fund', not A's 'investment'. Values confirmed against page-001.png and page-002.png.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAIR_816446FD44A452A5845A3642","ACCEPT_B","Convention, applied once to all 465 pairs that differ on source_section and subject_type only (every other field byte-identical). source_section: 'Alternatives Portfolio' is the section heading printed above the table on both pages, so the populated side is right and A's blank is wrong. subject_type: every row label is a named partnership vehicle, so 'fund', not A's 'investment'. Values confirmed against page-001.png and page-002.png.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAIR_FE1673AACA28A77ABACBC0B5","ACCEPT_B","Convention, applied once to all 465 pairs that differ on source_section and subject_type only (every other field byte-identical). source_section: 'Alternatives Portfolio' is the section heading printed above the table on both pages, so the populated side is right and A's blank is wrong. subject_type: every row label is a named partnership vehicle, so 'fund', not A's 'investment'. Values confirmed against page-001.png and page-002.png.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAIR_57201B7488B4F389F86991DE","MERGE","Convention, applied once to all 465 pairs that differ on source_section and subject_type only (every other field byte-identical). source_section: 'Alternatives Portfolio' is the section heading printed above the table on both pages, so the populated side is right and A's blank is wrong. subject_type: every row label is a named partnership vehicle, so 'fund', not A's 'investment'. Values confirmed against page-001.png and page-002.png.; Source review: p1: Retirement Fund (The portfolio report distinguishes investor positions from its aggregate rows.) | p1: Retirement Fund (Printed heading or definition supporting the source-reviewed qualifier.)","2026-08-22.2","SRC060","716b2b3028d4222c5bd8dbe183698cc7ea61e5f7a4d37e799da36d64c0e2dac3","Performance","02-performance","CORE","B","fund_economics_observation","1","TABLE","Alternatives Portfolio","Alternatives Portfolio","Alterna Core Capital Assets Fund II","Fair Market Value","1","fund","Alterna Core Capital Assets Fund II","","","","","","","2012","","","September 30, 2022","","($ in millions)","nav","Fair Market Value","$71.9","","","","Retirement Fund","","2012 Alterna Core Capital Assets Fund II $100.0 $165.5 $111.4 $71.9 1.11x 1.5% 3.5%","actual","","","","","","","fund_position",""
"PAIR_ED77190903221FE40AD45B25","MERGE","Convention, applied once to all 465 pairs that differ on source_section and subject_type only (every other field byte-identical). source_section: 'Alternatives Portfolio' is the section heading printed above the table on both pages, so the populated side is right and A's blank is wrong. subject_type: every row label is a named partnership vehicle, so 'fund', not A's 'investment'. Values confirmed against page-001.png and page-002.png.; Source review: p2: Figures are net of fees. (Footnote 2 applies to the portfolio performance columns.) | p2: Figures are net of fees. (Printed heading or definition supporting the source-reviewed qualifier.)","2026-08-22.2","SRC060","716b2b3028d4222c5bd8dbe183698cc7ea61e5f7a4d37e799da36d64c0e2dac3","Performance","02-performance","CORE","B","fund_economics_observation","1","TABLE","Alternatives Portfolio","Alternatives Portfolio","Alterna Core Capital Assets Fund II","IRR","1","fund","Alterna Core Capital Assets Fund II","","","","","","","2012","","","September 30, 2022","","","irr","IRR","3.5%","%","","","Figures are net of fees.","","2012 Alterna Core Capital Assets Fund II $100.0 $165.5 $111.4 $71.9 1.11x 1.5% 3.5%","actual","","","","","","net","",""
"PAIR_D9758CE3792C9F525BF9B0CF","ACCEPT_B","Convention, applied once to all 465 pairs that differ on source_section and subject_type only (every other field byte-identical). source_section: 'Alternatives Portfolio' is the section heading printed above the table on both pages, so the populated side is right and A's blank is wrong. subject_type: every row label is a named partnership vehicle, so 'fund', not A's 'investment'. Values confirmed against page-001.png and page-002.png.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
